Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Grambling St,5-0-0,100.0%,-2.0,7.8,1-0-0,100.0%,-2.0,22.0,1-0-0,100.0%,14.0,+1.5,4-0-0,100.0%,-15.0,+4.3,1-0-0,100.0%,-2.0,22.0,5-0-0,100.0%,-12.4,7.8,5-0-0,100.0%,-12.4,7.8,,,,,0-0-0,0.0%,50.0,--,,,,,1-0-0,100.0%,-3.0,+3.0,1-0-0,100.0%,14.0,+1.5,3-0-0,100.0%,-12.7,5.2,3-0-0,100.0%,-12.3,+11.5
Oregon St,6-0-0,100.0%,19.0,11.7,4-0-0,100.0%,20.3,15.1,3-0-0,100.0%,17.7,+13.0,2-0-0,100.0%,15.0,+12.0,3-0-0,100.0%,20.0,10.8,1-0-0,100.0%,-3.0,2.0,2-0-0,100.0%,-3.0,2.8,4-0-0,100.0%,25.8,16.1,5-0-0,100.0%,22.7,+13.6,,,,,,,,,2-0-0,100.0%,17.3,+4.8,,,,,3-0-0,100.0%,20.0,+10.3
Idaho St,5-0-0,100.0%,8.4,11.2,1-0-0,100.0%,-7.0,11.0,2-0-0,100.0%,18.7,+13.3,2-0-0,100.0%,13.8,+14.0,2-0-0,100.0%,5.5,8.5,5-0-0,100.0%,-3.2,11.2,5-0-0,100.0%,-3.2,11.2,,,,,0-0-0,0.0%,37.5,--,,,,,3-0-0,100.0%,-7.0,+9.8,1-0-0,100.0%,29.0,+15.5,3-0-0,100.0%,-7.0,9.8,0-0-0,0.0%,24.0,--
St Bonavent,7-0-0,100.0%,11.9,4.9,4-0-0,100.0%,13.5,4.8,2-0-0,100.0%,11.5,+3.8,1-0-0,100.0%,12.0,+10.0,5-0-0,100.0%,11.5,3.6,2-0-0,100.0%,9.0,3.8,1-0-0,100.0%,-5.0,1.5,6-0-0,100.0%,13.0,5.4,3-0-0,100.0%,17.5,+5.0,1-0-0,100.0%,12.0,10.0,,,,,1-0-0,100.0%,18.5,+7.5,2-0-0,100.0%,2.0,3.8,4-0-0,100.0%,12.0,+4.1
TX-Pan Am,6-0-0,100.0%,9.9,11.2,2-0-0,100.0%,2.5,10.5,3-0-0,100.0%,3.3,+5.0,2-0-0,100.0%,19.0,+11.3,3-0-0,100.0%,10.7,13.8,3-0-0,100.0%,-12.0,12.3,3-0-0,100.0%,-12.0,12.3,3-0-0,100.0%,18.3,10.0,1-0-0,100.0%,35.0,+6.5,1-0-0,100.0%,25.0,18.0,2-0-0,100.0%,-8.0,+17.0,2-0-0,100.0%,26.7,+6.0,2-0-0,100.0%,-8.0,17.0,0-0-0,0.0%,50.0,--
Hsn Christian,6-0-0,100.0%,-4.1,3.2,2-0-0,100.0%,-19.0,4.0,2-0-0,100.0%,-3.7,+4.5,4-0-0,100.0%,-5.2,+2.0,2-0-0,100.0%,-17.0,5.5,3-0-0,100.0%,-24.3,2.8,6-0-0,100.0%,-13.3,3.2,,,,,3-0-0,100.0%,8.0,+3.5,,,,,1-0-0,100.0%,-3.0,+0.5,3-0-0,100.0%,1.2,+3.2,1-0-0,100.0%,-1.0,1.5,3-0-0,100.0%,-4.8,+3.2
IPFW,6-1-0,85.7%,10.8,2.0,1-1-0,50.0%,-10.0,-7.8,1-0-0,100.0%,29.0,+0.5,3-0-0,100.0%,16.0,+7.2,3-1-0,75.0%,-3.5,-1.9,3-0-0,100.0%,0.0,6.8,2-0-0,100.0%,-10.0,4.3,4-1-0,80.0%,10.8,1.1,2-0-0,100.0%,31.0,+6.5,0-1-0,0.0%,-13.0,-20.0,,,,,3-0-0,100.0%,24.8,+4.5,2-0-0,100.0%,3.5,8.0,5-0-0,100.0%,8.2,+6.7
Memphis,6-1-0,85.7%,5.4,6.5,3-1-0,75.0%,2.0,4.4,4-0-0,100.0%,10.5,+7.4,,,,,5-1-0,83.3%,5.0,6.8,1-0-0,100.0%,6.0,7.5,4-1-0,80.0%,1.2,5.9,2-0-0,100.0%,16.0,8.0,2-0-0,100.0%,16.0,+8.0,1-1-0,50.0%,-3.0,2.8,,,,,2-0-0,100.0%,14.0,+8.8,1-0-0,100.0%,2.0,10.5,1-0-0,100.0%,2.0,+10.5
Utah,6-1-0,85.7%,26.7,4.1,2-1-0,66.7%,14.7,1.8,4-0-0,100.0%,24.5,+8.5,1-0-0,100.0%,31.0,+6.5,4-1-0,80.0%,23.0,0.9,,,,,1-0-0,100.0%,-5.0,2.5,5-1-0,83.3%,32.0,4.3,5-1-0,83.3%,32.0,+4.3,,,,,,,,,3-0-0,100.0%,37.3,+5.5,1-0-0,100.0%,31.0,6.5,2-1-0,66.7%,29.7,-1.8
Nevada,6-1-0,85.7%,13.6,6.3,4-1-0,80.0%,11.0,5.5,2-1-0,66.7%,8.0,+1.5,1-0-0,100.0%,3.0,+1.5,4-1-0,80.0%,15.2,7.4,,,,,,,,,6-1-0,85.7%,13.6,6.3,4-0-0,100.0%,20.5,+10.1,1-0-0,100.0%,3.0,1.5,1-0-0,100.0%,12.0,+6.5,1-0-0,100.0%,10.0,+3.5,1-0-0,100.0%,30.0,13.0,2-0-0,100.0%,28.0,+15.8
