Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
New York,9-6-0,60.0%,40.0%,7.3,8-2-0,80.0%,20.0%,13.6,1-0-0,100.0%,0.0%,19.5,3-3-0,50.0%,50.0%,4.3,5-3-0,62.5%,37.5%,8.0,6-2-0,75.0%,25.0%,11.0,1-0-0,100.0%,0.0%,19.5,8-6-0,57.1%,42.9%,6.4,3-4-0,42.9%,57.1%,3.0,2-0-0,100.0%,0.0%,11.0,6-3-0,66.7%,33.3%,10.6,0-4-0,0.0%,100.0%,-10.4,1-0-0,100.0%,0.0%,15.0,0-3-0,0.0%,100.0%,-9.3
Toronto,9-6-0,60.0%,40.0%,4.3,6-2-0,75.0%,25.0%,6.5,1-0-0,100.0%,0.0%,17.0,7-5-0,58.3%,41.7%,3.8,1-1-0,50.0%,50.0%,1.0,3-5-0,37.5%,62.5%,-1.3,9-6-0,60.0%,40.0%,4.3,,,,,6-1-0,85.7%,14.3%,10.7,2-2-0,50.0%,50.0%,6.6,6-2-0,75.0%,25.0%,8.7,1-2-0,33.3%,66.7%,-12.2,2-2-0,50.0%,50.0%,12.3,0-2-0,0.0%,100.0%,-24.3
LA Lakers,8-6-0,57.1%,42.9%,4.4,5-4-0,55.6%,44.4%,3.7,0-1-0,0.0%,100.0%,-11.0,3-1-0,75.0%,25.0%,12.9,5-4-0,55.6%,44.4%,2.4,4-3-0,57.1%,42.9%,2.8,2-2-0,50.0%,50.0%,0.8,6-4-0,60.0%,40.0%,5.9,4-3-0,57.1%,42.9%,6.1,1-1-0,50.0%,50.0%,4.8,4-3-0,57.1%,42.9%,4.9,2-2-0,50.0%,50.0%,0.5,1-0-0,100.0%,0.0%,27.0,3-1-0,75.0%,25.0%,7.4
Chicago,9-7-0,56.3%,43.8%,5.2,6-5-0,54.6%,45.5%,3.2,1-0-0,100.0%,0.0%,9.0,6-3-0,66.7%,33.3%,11.7,2-4-0,33.3%,66.7%,-5.2,6-4-0,60.0%,40.0%,6.3,8-7-0,53.3%,46.7%,3.5,1-0-0,100.0%,0.0%,31.5,3-3-0,50.0%,50.0%,3.5,1-2-0,33.3%,66.7%,1.3,6-5-0,54.6%,45.5%,3.5,2-1-0,66.7%,33.3%,14.5,1-1-0,50.0%,50.0%,2.3,1-0-0,100.0%,0.0%,31.5
Miami,7-6-0,53.9%,46.2%,0.9,6-4-0,60.0%,40.0%,2.6,1-0-0,100.0%,0.0%,5.0,3-4-0,42.9%,57.1%,-1.7,3-2-0,60.0%,40.0%,3.8,5-3-0,62.5%,37.5%,4.5,5-1-0,83.3%,16.7%,4.3,2-5-0,28.6%,71.4%,-1.9,2-3-0,40.0%,60.0%,-4.8,0-1-0,0.0%,100.0%,-17.0,5-3-0,62.5%,37.5%,3.6,1-1-0,50.0%,50.0%,1.5,0-1-0,0.0%,100.0%,-17.0,1-2-0,33.3%,66.7%,-1.7
Boston,8-7-0,53.3%,46.7%,4.7,3-3-0,50.0%,50.0%,4.6,1-0-0,100.0%,0.0%,19.5,1-2-0,33.3%,66.7%,8.0,6-5-0,54.6%,45.5%,2.5,3-5-0,37.5%,62.5%,4.3,,,,,8-7-0,53.3%,46.7%,4.7,5-2-0,71.4%,28.6%,5.2,1-1-0,50.0%,50.0%,9.0,4-6-0,40.0%,60.0%,1.2,3-2-0,60.0%,40.0%,3.5,2-2-0,50.0%,50.0%,6.4,2-0-0,100.0%,0.0%,10.5
Brooklyn,8-7-0,53.3%,46.7%,5.8,5-4-0,55.6%,44.4%,1.2,1-0-0,100.0%,0.0%,12.5,4-5-0,44.4%,55.6%,0.4,3-2-0,60.0%,40.0%,14.2,4-4-0,50.0%,50.0%,2.5,5-6-0,45.5%,54.6%,8.3,3-1-0,75.0%,25.0%,-0.9,4-3-0,57.1%,42.9%,9.6,0-3-0,0.0%,100.0%,-10.0,7-3-0,70.0%,30.0%,11.4,2-1-0,66.7%,33.3%,29.5,1-2-0,33.3%,66.7%,-4.0,0-1-0,0.0%,100.0%,-9.0
Sacramento,8-7-0,53.3%,46.7%,1.3,3-4-0,42.9%,57.1%,2.2,1-0-0,100.0%,0.0%,10.0,4-2-0,66.7%,33.3%,5.2,3-5-0,37.5%,62.5%,-2.8,4-3-0,57.1%,42.9%,4.0,4-1-0,80.0%,20.0%,16.4,4-6-0,40.0%,60.0%,-6.3,4-4-0,50.0%,50.0%,-1.1,2-2-0,50.0%,50.0%,-0.5,4-5-0,44.4%,55.6%,0.9,4-2-0,66.7%,33.3%,0.6,1-1-0,50.0%,50.0%,0.0,1-0-0,100.0%,0.0%,2.5
Philadelphia,7-7-0,50.0%,50.0%,-2.4,4-5-0,44.4%,55.6%,-1.0,1-0-0,100.0%,0.0%,10.5,6-5-0,54.6%,45.5%,-2.0,0-2-0,0.0%,100.0%,-11.0,4-4-0,50.0%,50.0%,-3.9,4-5-0,44.4%,55.6%,-2.8,3-2-0,60.0%,40.0%,-1.7,3-3-0,50.0%,50.0%,-0.5,1-0-0,100.0%,0.0%,1.5,4-5-0,44.4%,55.6%,-1.9,2-2-0,50.0%,50.0%,-6.6,1-0-0,100.0%,0.0%,1.5,1-2-0,33.3%,66.7%,-9.5
Dallas,7-8-0,46.7%,53.3%,-4.3,3-3-0,50.0%,50.0%,-2.3,1-0-0,100.0%,0.0%,2.5,2-5-0,28.6%,71.4%,-11.9,4-3-0,57.1%,42.9%,2.3,4-2-0,66.7%,33.3%,3.7,4-0-0,100.0%,0.0%,9.5,3-8-0,27.3%,72.7%,-9.3,3-6-0,33.3%,66.7%,-9.6,3-0-0,100.0%,0.0%,17.2,3-7-0,30.0%,70.0%,-9.2,0-3-0,0.0%,100.0%,-22.3,4-2-0,66.7%,33.3%,2.7,0-1-0,0.0%,100.0%,-27.0
Houston,7-8-1,46.7%,53.3%,-2.0,6-4-1,60.0%,40.0%,-0.5,0-1-0,0.0%,100.0%,-15.5,2-3-0,40.0%,60.0%,-4.5,5-4-1,55.6%,44.4%,0.6,2-5-0,28.6%,71.4%,-7.3,1-3-0,25.0%,75.0%,-10.0,6-5-1,54.6%,45.5%,0.7,5-3-1,62.5%,37.5%,2.1,0-3-0,0.0%,100.0%,-21.2,7-3-1,70.0%,30.0%,5.7,0-1-0,0.0%,100.0%,-16.0,1-3-0,25.0%,75.0%,-2.8,0-1-0,0.0%,100.0%,-16.0
San Antonio,7-8-0,46.7%,53.3%,-2.8,5-2-0,71.4%,28.6%,7.7,1-0-0,100.0%,0.0%,2.5,2-6-0,25.0%,75.0%,-10.7,4-2-0,66.7%,33.3%,6.8,3-3-0,50.0%,50.0%,-10.0,5-6-0,45.5%,54.6%,-5.9,2-2-0,50.0%,50.0%,5.8,4-5-0,44.4%,55.6%,2.0,1-2-0,33.3%,66.7%,-15.7,5-5-0,50.0%,50.0%,1.2,1-3-0,25.0%,75.0%,-6.5,1-3-0,25.0%,75.0%,-17.5,0-1-0,0.0%,100.0%,-9.0
Okla City,7-9-0,43.8%,56.3%,-6.3,4-3-0,57.1%,42.9%,-5.3,0-1-0,0.0%,100.0%,-39.5,2-2-0,50.0%,50.0%,7.9,5-6-0,45.5%,54.6%,-8.5,2-4-0,33.3%,66.7%,-7.2,0-1-0,0.0%,100.0%,-39.5,7-8-0,46.7%,53.3%,-4.1,5-5-0,50.0%,50.0%,-5.8,2-2-0,50.0%,50.0%,1.6,5-5-0,50.0%,50.0%,-4.5,1-3-0,25.0%,75.0%,-15.4,2-3-0,40.0%,60.0%,-0.5,0-1-0,0.0%,100.0%,-23.0
Portland,6-8-1,42.9%,57.1%,-1.9,5-3-0,62.5%,37.5%,5.7,1-0-0,100.0%,0.0%,22.0,3-4-1,42.9%,57.1%,-3.4,2-4-0,33.3%,66.7%,-3.9,2-4-1,33.3%,66.7%,-8.4,6-8-1,42.9%,57.1%,-1.9,,,,,4-4-0,50.0%,50.0%,3.7,1-3-0,25.0%,75.0%,-14.4,3-3-1,50.0%,50.0%,3.2,1-2-1,33.3%,66.7%,-4.0,0-3-0,0.0%,100.0%,-19.5,1-2-0,33.3%,66.7%,-5.3
Utah,6-8-0,42.9%,57.1%,-1.5,1-5-0,16.7%,83.3%,-6.3,1-0-0,100.0%,0.0%,20.5,3-7-0,30.0%,70.0%,-4.6,2-1-0,66.7%,33.3%,1.7,4-4-0,50.0%,50.0%,3.9,6-8-0,42.9%,57.1%,-1.5,,,,,2-4-0,33.3%,66.7%,-8.6,0-2-0,0.0%,100.0%,-13.0,4-4-0,50.0%,50.0%,1.3,3-2-0,60.0%,40.0%,-4.3,2-1-0,66.7%,33.3%,13.0,1-2-0,33.3%,66.7%,-8.5
Orlando,6-10-0,37.5%,62.5%,-8.8,5-6-0,45.5%,54.6%,-4.4,1-0-0,100.0%,0.0%,5.0,3-3-0,50.0%,50.0%,-6.7,2-7-0,22.2%,77.8%,-11.7,4-5-0,44.4%,55.6%,-6.8,4-2-0,66.7%,33.3%,-3.9,2-8-0,20.0%,80.0%,-11.7,2-5-0,28.6%,71.4%,-11.2,1-2-0,33.3%,66.7%,-18.8,4-7-0,36.4%,63.6%,-7.7,1-1-0,50.0%,50.0%,2.5,0-3-0,0.0%,100.0%,-32.3,0-1-0,0.0%,100.0%,-4.0
Charlotte,5-9-0,35.7%,64.3%,-1.4,2-8-0,20.0%,80.0%,-8.8,0-1-0,0.0%,100.0%,-15.5,3-5-0,37.5%,62.5%,1.5,2-3-0,40.0%,60.0%,-3.3,3-4-0,42.9%,57.1%,0.2,4-9-0,30.8%,69.2%,-5.1,1-0-0,100.0%,0.0%,46.0,2-5-0,28.6%,71.4%,-3.1,1-2-0,33.3%,66.7%,-1.0,2-6-0,25.0%,75.0%,-7.1,2-0-0,100.0%,0.0%,27.8,1-1-0,50.0%,50.0%,6.3,2-0-0,100.0%,0.0%,27.8
Milwaukee,5-10-0,33.3%,66.7%,-4.2,4-5-0,44.4%,55.6%,-1.9,1-0-0,100.0%,0.0%,10.5,1-8-0,11.1%,88.9%,-12.3,3-2-0,60.0%,40.0%,7.5,3-4-0,42.9%,57.1%,-2.4,1-3-0,25.0%,75.0%,-6.4,4-7-0,36.4%,63.6%,-3.4,2-6-0,25.0%,75.0%,-5.7,1-2-0,33.3%,66.7%,5.0,2-6-0,25.0%,75.0%,-9.9,0-3-0,0.0%,100.0%,-12.3,1-2-0,33.3%,66.7%,-2.8,1-2-0,33.3%,66.7%,-3.0
LA Clippers,5-10-1,33.3%,66.7%,-2.0,3-3-1,50.0%,50.0%,-2.1,1-0-0,100.0%,0.0%,4.5,3-3-1,50.0%,50.0%,1.4,1-7-0,12.5%,87.5%,-5.8,2-3-1,40.0%,60.0%,4.5,4-6-1,40.0%,60.0%,0.0,1-4-0,20.0%,80.0%,-6.3,3-7-0,30.0%,70.0%,-5.9,1-3-0,25.0%,75.0%,-5.9,3-5-1,37.5%,62.5%,0.0,1-4-0,20.0%,80.0%,1.2,1-3-0,25.0%,75.0%,-5.9,0-2-0,0.0%,100.0%,-6.5
Detroit,5-11-0,31.3%,68.8%,-2.8,4-8-0,33.3%,66.7%,-0.3,0-1-0,0.0%,100.0%,-12.0,3-5-0,37.5%,62.5%,-4.4,2-5-0,28.6%,71.4%,0.3,1-7-0,12.5%,87.5%,-9.6,4-7-0,36.4%,63.6%,-1.5,1-4-0,20.0%,80.0%,-5.6,4-4-0,50.0%,50.0%,4.0,2-2-0,50.0%,50.0%,10.5,3-8-0,27.3%,72.7%,-6.8,,,,,1-3-0,25.0%,75.0%,-10.3,,,,
