Team,ATS Record,Cover %,MOV,ATS +/-
Indiana,76-59-5,56.3%,2.4,+2.5
Chicago,77-61-4,55.8%,0.1,+2.0
Miami,89-71-2,55.6%,2.6,+1.5
Brooklyn,87-70-4,55.4%,-0.4,+1.4
Portland,83-68-3,55.0%,1.0,+1.3
Golden State,111-94-6,54.2%,6.3,+0.5
Okla City,79-70-4,53.0%,2.5,+1.3
Houston,80-71-1,53.0%,1.9,+0.3
Boston,89-83-6,51.7%,4.0,+0.4
New Orleans,80-76-1,51.3%,1.3,+1.4
LA Lakers,73-71-2,50.7%,-0.2,+0.3
Milwaukee,86-84-6,50.6%,3.2,-0.2
Detroit,72-71-3,50.4%,-2.4,+1.2
Cleveland,87-90-2,49.2%,1.3,-0.3
Orlando,68-71-0,48.9%,-4.0,-1.4
Memphis,76-80-5,48.7%,0.3,+0.8
Atlanta,76-80-0,48.7%,0.2,-0.1
New York,73-78-0,48.3%,-2.4,+0.1
Philadelphia,80-86-4,48.2%,-0.4,-0.4
LA Clippers,79-85-2,48.2%,2.0,-1.6
Denver,73-81-4,47.4%,2.1,-0.4
Utah,73-81-5,47.4%,2.3,-0.4
Dallas,72-80-4,47.4%,0.8,+0.3
San Antonio,70-80-3,46.7%,2.0,+0.1
Toronto,73-86-2,45.9%,2.3,-0.5
Minnesota,67-79-1,45.9%,0.0,0.0
Charlotte,60-73-3,45.1%,-3.8,-2.1
Washington,68-84-1,44.7%,-3.1,-2.3
Sacramento,64-80-6,44.4%,-2.9,-1.0
Phoenix,59-90-4,39.6%,-3.3,-3.1
