Team,Over Record,Over %,Under %,Total +/-
Minnesota,254-211-3,54.6%,45.4%,+0.8
Washington,247-206-8,54.5%,45.5%,+1.8
San Antonio,253-212-4,54.4%,45.6%,+1.2
Denver,247-216-6,53.4%,46.7%,+1.2
Sacramento,211-195-8,52.0%,48.0%,+1.2
Milwaukee,258-239-8,51.9%,48.1%,+1.1
Atlanta,254-238-6,51.6%,48.4%,+1.0
Toronto,254-240-8,51.4%,48.6%,+0.3
Okla City,231-220-6,51.2%,48.8%,+0.6
Utah,232-221-9,51.2%,48.8%,+0.6
Indiana,244-240-5,50.4%,49.6%,+1.1
Detroit,210-207-8,50.4%,49.6%,+0.8
Portland,229-226-1,50.3%,49.7%,+0.7
Miami,253-251-3,50.2%,49.8%,+0.1
Boston,273-272-3,50.1%,49.9%,+0.2
LA Lakers,225-225-2,50.0%,50.0%,+0.3
Cleveland,245-245-3,50.0%,50.0%,+0.3
New Orleans,212-218-3,49.3%,50.7%,+0.8
Phoenix,217-226-7,49.0%,51.0%,-0.9
New York,218-231-9,48.6%,51.5%,+0.8
Memphis,227-241-5,48.5%,51.5%,+0.7
Houston,242-257-9,48.5%,51.5%,-0.6
Chicago,216-230-4,48.4%,51.6%,+0.4
Golden State,249-267-9,48.3%,51.7%,-0.8
Charlotte,222-239-7,48.2%,51.8%,+0.6
Philadelphia,223-243-4,47.9%,52.2%,-0.8
Dallas,232-256-3,47.5%,52.5%,+0.3
Orlando,223-247-6,47.5%,52.6%,-0.5
Brooklyn,215-240-9,47.3%,52.8%,+0.3
LA Clippers,204-239-8,46.1%,54.0%,-1.3
