Team,Over Record,Over %,Under %,Total +/-
Utah,474-412-13,53.5%,46.5%,+1.6
Minnesota,458-406-12,53.0%,47.0%,+1.9
LA Clippers,465-423-14,52.4%,47.6%,+0.8
Chicago,461-428-12,51.9%,48.1%,+1.6
LA Lakers,474-446-10,51.5%,48.5%,+0.7
Toronto,454-432-9,51.2%,48.8%,+0.6
Phoenix,457-436-12,51.2%,48.8%,+0.8
Charlotte,413-398-10,50.9%,49.1%,+0.8
New York,440-428-10,50.7%,49.3%,+0.2
Washington,442-434-12,50.5%,49.5%,+0.6
Indiana,456-449-14,50.4%,49.6%,+0.2
Milwaukee,448-442-12,50.3%,49.7%,+0.3
San Antonio,466-467-19,50.0%,50.1%,-0.1
Denver,452-453-8,49.9%,50.1%,+0.3
Philadelphia,442-444-16,49.9%,50.1%,+0.2
Cleveland,463-465-6,49.9%,50.1%,+0.3
Atlanta,451-457-9,49.7%,50.3%,+0.2
Memphis,441-450-10,49.5%,50.5%,+0.1
Houston,441-451-12,49.4%,50.6%,+1.2
Portland,434-448-10,49.2%,50.8%,-0.6
Dallas,453-471-12,49.0%,51.0%,-0.3
Okla City,442-462-9,48.9%,51.1%,+0.1
Brooklyn,431-452-13,48.8%,51.2%,+1.1
Boston,458-493-8,48.2%,51.8%,+0.5
Miami,457-493-9,48.1%,51.9%,-1.2
Sacramento,408-443-18,47.9%,52.1%,-0.4
Orlando,419-463-15,47.5%,52.5%,-0.6
Golden State,439-486-9,47.5%,52.5%,+0.2
New Orleans,409-458-13,47.2%,52.8%,-0.3
Detroit,421-477-11,46.9%,53.1%,-0.3
