Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Okla City,948-860-31,52.4%,1.0,0.3,501-434-14,53.6%,1.4,0.5,35-25-2,58.3%,0.8,-0.1,435-388-19,52.9%,-0.6,0.5,501-463-11,52.0%,2.3,0.1,468-422-17,52.6%,-2.1,0.1,432-386-21,52.8%,-5.7,0.5,509-473-10,51.8%,6.6,0.0,470-430-14,52.2%,4.1,0.4,174-164-7,51.5%,-1.7,0.1,567-521-15,52.1%,1.5,0.3,214-206-9,51.0%,2.6,0.2,233-220-8,51.4%,-1.4,-0.1,172-150-7,53.4%,1.9,0.6
San Antonio,976-895-38,52.2%,3.7,0.5,529-481-21,52.4%,3.3,0.3,39-32-0,54.9%,5.2,2.2,365-331-18,52.4%,2.2,0.8,599-554-20,52.0%,4.6,0.3,471-460-17,50.6%,0.6,0.3,291-295-8,49.7%,-5.6,0.0,681-594-30,53.4%,8.0,0.7,500-427-20,53.9%,7.0,0.8,175-168-8,51.0%,2.4,0.5,582-528-23,52.4%,3.8,0.4,219-196-8,52.8%,6.0,0.9,228-218-9,51.1%,2.5,0.6,180-167-7,51.9%,4.5,0.4
Boston,993-921-38,51.9%,3.0,0.6,564-522-19,51.9%,2.3,0.3,38-33-1,53.5%,4.1,2.5,423-374-8,53.1%,1.7,0.7,556-540-29,50.7%,3.8,0.5,510-431-15,54.2%,0.6,1.1,371-307-15,54.7%,-3.1,2.0,617-608-23,50.4%,6.4,-0.1,468-479-22,49.4%,5.2,0.1,194-161-6,54.7%,2.1,1.7,583-554-18,51.3%,3.1,0.3,195-193-10,50.3%,5.2,0.9,234-206-9,53.2%,2.5,1.3,178-173-13,50.7%,3.1,0.2
Golden State,946-882-38,51.8%,2.3,0.3,487-440-20,52.5%,2.4,0.4,31-37-0,45.6%,0.4,-2.7,428-362-13,54.2%,1.3,1.4,507-509-25,49.9%,3.1,-0.5,453-457-19,49.8%,-1.2,-0.1,393-354-16,52.6%,-5.3,0.6,550-523-22,51.3%,7.6,0.1,492-425-19,53.7%,5.7,0.7,186-170-8,52.3%,-0.1,0.6,533-512-22,51.0%,2.7,0.2,240-217-13,52.5%,4.5,0.3,219-225-5,49.3%,-0.4,0.0,196-163-8,54.6%,3.9,0.7
Dallas,941-887-39,51.5%,2.1,0.1,496-474-21,51.1%,1.7,0.2,29-35-1,45.3%,0.1,-1.1,420-339-20,55.3%,2.4,1.4,510-537-19,48.7%,1.9,-0.7,498-416-14,54.5%,-0.6,0.4,384-318-10,54.7%,-3.8,1.3,552-562-29,49.6%,5.8,-0.6,437-462-24,48.6%,4.9,-0.1,176-165-7,51.6%,0.3,0.2,556-526-24,51.4%,2.4,0.1,210-200-8,51.2%,4.7,0.2,235-213-10,52.5%,0.6,0.0,180-161-7,52.8%,3.0,0.6
Denver,930-879-35,51.4%,1.9,0.2,482-435-13,52.6%,1.9,0.4,43-23-2,65.2%,4.4,3.4,403-365-10,52.5%,1.6,0.5,513-507-24,50.3%,2.0,-0.2,445-442-20,50.2%,-2.0,-0.3,381-350-16,52.1%,-4.4,0.8,543-526-19,50.8%,6.2,-0.3,468-427-14,52.3%,5.9,0.6,162-187-7,46.4%,-2.0,-1.2,564-499-20,53.1%,2.9,0.6,233-205-13,53.2%,4.6,0.5,215-239-9,47.4%,-0.9,-0.7,161-170-6,48.6%,2.3,-0.4
Miami,977-928-43,51.3%,1.8,0.1,542-508-22,51.6%,2.0,0.2,40-30-0,57.1%,3.6,1.0,436-366-18,54.4%,1.5,0.9,530-551-25,49.0%,2.1,-0.5,495-441-20,52.9%,-0.9,0.3,376-350-17,51.8%,-4.6,0.9,598-575-26,51.0%,5.8,-0.4,461-477-23,49.2%,4.6,-0.1,168-161-13,51.1%,-0.5,-0.4,575-559-23,50.7%,2.1,0.1,213-205-8,51.0%,3.1,0.1,222-215-13,50.8%,0.1,-0.1,194-178-7,52.2%,2.7,0.6
Memphis,909-864-31,51.3%,-0.4,0.3,466-484-19,49.1%,-0.6,0.1,16-34-1,32.0%,-4.4,-4.0,442-436-13,50.3%,-1.6,0.2,462-411-18,52.9%,1.0,0.7,444-437-16,50.4%,-3.1,0.4,476-454-15,51.2%,-5.2,0.9,425-404-16,51.3%,5.0,-0.4,462-421-15,52.3%,2.4,0.2,206-173-2,54.4%,-2.1,0.3,502-477-21,51.3%,0.1,0.4,209-207-7,50.2%,1.6,0.0,234-173-5,57.5%,-2.0,1.2,185-180-7,50.7%,0.6,0.6
Indiana,915-879-42,51.0%,0.6,0.3,510-471-28,52.0%,0.9,0.6,39-20-3,66.1%,4.6,2.3,456-395-23,53.6%,0.7,1.2,444-477-19,48.2%,0.4,-0.5,446-450-17,49.8%,-2.7,-0.1,438-423-24,50.9%,-4.5,0.9,468-449-18,51.0%,5.4,-0.2,462-421-25,52.3%,4.0,0.8,175-208-5,45.7%,-2.1,-0.9,506-499-24,50.4%,0.8,0.2,206-205-10,50.1%,2.6,0.5,199-203-4,49.5%,-2.2,-0.5,195-152-10,56.2%,2.3,1.6
New York,875-850-24,50.7%,-2.1,0.2,467-444-13,51.3%,-2.0,0.1,29-24-1,54.7%,-4.1,-0.9,497-493-14,50.2%,-3.0,0.1,366-348-9,51.3%,-0.7,0.3,450-409-14,52.4%,-4.3,0.7,542-543-18,50.0%,-5.9,0.5,323-302-6,51.7%,4.5,-0.4,424-440-10,49.1%,0.1,-0.4,175-176-7,49.9%,-3.5,0.2,516-488-12,51.4%,-1.5,0.4,201-203-4,49.8%,-0.9,-0.2,207-203-7,50.5%,-3.5,0.6,155-162-4,48.9%,-2.0,-0.5
