Team,Over Record,Over %,Under %,Total +/-
Minnesota,98-76-2,56.3%,43.7%,+2.8
Toronto,108-89-1,54.8%,45.2%,+2.4
Indiana,96-84-4,53.3%,46.7%,+1.8
Boston,116-104-5,52.7%,47.3%,+1.7
Charlotte,90-82-1,52.3%,47.7%,+0.5
LA Clippers,118-108-3,52.2%,47.8%,+1.0
New Orleans,107-98-4,52.2%,47.8%,-0.2
Miami,97-90-1,51.9%,48.1%,-0.6
Denver,113-106-0,51.6%,48.4%,+0.5
Orlando,94-89-3,51.4%,48.6%,0.0
Golden State,101-97-3,51.0%,49.0%,+1.3
Atlanta,99-98-1,50.3%,49.8%,+0.9
Philadelphia,106-105-3,50.2%,49.8%,+0.6
LA Lakers,107-107-2,50.0%,50.0%,-0.1
Dallas,100-101-3,49.8%,50.3%,-0.4
Brooklyn,95-96-2,49.7%,50.3%,+0.7
San Antonio,96-99-3,49.2%,50.8%,+0.4
Houston,94-97-1,49.2%,50.8%,+0.8
Memphis,91-94-5,49.2%,50.8%,-0.1
Washington,90-94-3,48.9%,51.1%,+1.1
Phoenix,91-96-2,48.7%,51.3%,+0.9
Okla City,106-113-4,48.4%,51.6%,-0.5
Portland,104-111-4,48.4%,51.6%,-0.6
Cleveland,98-105-3,48.3%,51.7%,-0.1
Utah,92-106-3,46.5%,53.5%,0.0
Milwaukee,88-105-0,45.6%,54.4%,-1.3
Sacramento,89-109-2,45.0%,55.1%,-1.6
Detroit,88-109-4,44.7%,55.3%,+0.1
New York,83-103-1,44.6%,55.4%,-1.9
Chicago,82-102-2,44.6%,55.4%,-0.8
