Team,Over Record,Over %,Under %,Total +/-
San Antonio,47-25-0,65.3%,34.7%,+5.3
New York,33-18-3,64.7%,35.3%,+5.5
Philadelphia,37-21-2,63.8%,36.2%,+4.1
Miami,45-26-0,63.4%,36.6%,+4.5
Brooklyn,37-23-0,61.7%,38.3%,+6.4
Golden State,40-28-0,58.8%,41.2%,+1.1
Portland,37-26-0,58.7%,41.3%,+4.1
Sacramento,35-25-0,58.3%,41.7%,+3.1
Chicago,32-24-1,57.1%,42.9%,+1.9
New Orleans,32-24-0,57.1%,42.9%,+1.4
Boston,40-31-2,56.3%,43.7%,+3.0
Charlotte,29-23-0,55.8%,44.2%,+0.4
Indiana,33-27-3,55.0%,45.0%,+4.6
Memphis,28-23-1,54.9%,45.1%,+3.7
Atlanta,30-25-2,54.6%,45.5%,+3.0
Utah,30-28-1,51.7%,48.3%,+1.2
Orlando,32-30-0,51.6%,48.4%,-0.3
Milwaukee,28-27-0,50.9%,49.1%,-0.6
Washington,28-27-2,50.9%,49.1%,+2.4
LA Clippers,32-31-2,50.8%,49.2%,+2.8
Dallas,32-34-0,48.5%,51.5%,+0.8
Phoenix,32-35-2,47.8%,52.2%,-1.5
Detroit,30-34-2,46.9%,53.1%,-3.2
LA Lakers,36-41-1,46.8%,53.3%,+0.1
Minnesota,26-30-1,46.4%,53.6%,-0.2
Houston,25-31-1,44.6%,55.4%,+1.3
Cleveland,27-38-2,41.5%,58.5%,-1.3
Denver,28-41-0,40.6%,59.4%,-4.6
Toronto,23-37-0,38.3%,61.7%,-3.1
Okla City,22-40-1,35.5%,64.5%,-4.4
