Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,1-0-1,100.0%,-20.3,+1.0
W Georgia,3-1-0,75.0%,-12.3,+3.5
TX A&M-CC,37-16-1,69.8%,-3.3,+3.0
Merrimack,26-12-2,68.4%,-1.7,+2.4
Utah Tech,19-10-0,65.5%,-5.3,+2.3
TX-Arlington,41-23-2,64.1%,-0.1,+2.1
SC Upstate,31-18-3,63.3%,-6.1,+1.5
Florida A&M,31-18-0,63.3%,-10.2,+3.4
Weber St,56-33-4,62.9%,2.9,+2.6
Sam Hous St,43-26-3,62.3%,0.2,+2.0
Boston U,41-25-1,62.1%,-0.6,+1.9
Michigan St,158-102-4,60.8%,11.3,+1.8
Abl Christian,26-17-0,60.5%,-2.4,+2.6
South Dakota,53-35-3,60.2%,0.1,+1.9
NW State,31-21-1,59.6%,-7.0,+0.3
LIU,16-11-0,59.3%,-5.4,+2.9
Baylor,95-66-5,59.0%,7.2,+1.9
Middle Tenn,73-51-3,58.9%,0.9,+1.3
Lipscomb,41-29-0,58.6%,-0.5,+2.3
Cal Poly,62-44-2,58.5%,-4.8,+0.8
Gard-Webb,31-22-0,58.5%,-3.9,+1.8
Delaware,59-42-2,58.4%,0.8,0.0
Coastal Car,21-15-2,58.3%,-1.5,+2.2
VCU,99-71-1,58.2%,6.0,+2.0
Norfolk St,32-23-5,58.2%,-4.9,+1.1
TX-Pan Am,29-21-0,58.0%,-7.4,+2.2
Maine,33-24-2,57.9%,-5.5,-0.6
NC-Wilmgton,71-52-4,57.7%,-0.1,+1.2
Southern,30-22-0,57.7%,-6.1,+1.7
Iowa St,94-69-2,57.7%,5.3,+1.9
Kansas City,42-31-1,57.5%,-4.0,+1.6
S Dakota St,51-38-2,57.3%,-0.9,+1.4
Troy,55-41-2,57.3%,0.2,+0.8
NJIT,32-24-0,57.1%,-6.2,+0.3
Seton Hall,134-101-3,57.0%,3.6,+1.3
NC Central,33-25-2,56.9%,-6.0,+1.0
Winthrop,29-22-1,56.9%,2.3,+1.3
Hofstra,58-44-2,56.9%,1.9,+1.7
Arizona,87-66-3,56.9%,11.6,+1.5
Holy Cross,29-22-0,56.9%,-1.2,+1.2
New Mexico,112-85-4,56.9%,5.2,+1.0
Beth-Cook,25-19-1,56.8%,-7.4,+1.0
VMI,38-29-4,56.7%,-8.0,+0.1
Wright St,89-68-3,56.7%,0.5,+0.9
N Colorado,64-49-1,56.6%,-4.3,+1.2
Auburn,94-72-8,56.6%,6.5,+1.8
Liberty,26-20-1,56.5%,-0.7,-0.3
Villanova,139-107-0,56.5%,6.6,+0.8
N Florida,35-27-0,56.5%,-7.1,+0.8
N Arizona,70-54-1,56.5%,-2.1,+1.4
TX Christian,98-76-4,56.3%,4.0,+2.1
Kent St,85-66-3,56.3%,4.1,+0.8
Incar Word,18-14-1,56.3%,-10.0,-0.2
Drexel,68-53-5,56.2%,1.3,+1.4
Longwood,23-18-0,56.1%,-9.3,+1.4
Utah Valley,23-18-0,56.1%,-0.1,+2.0
S Florida,126-99-7,56.0%,-0.3,+0.8
UL Monroe,57-45-0,55.9%,-5.2,+0.2
CS Bakersfld,24-19-2,55.8%,-4.0,+2.2
E Tenn St,49-39-2,55.7%,1.9,+1.6
Arkansas St,89-71-3,55.6%,-1.0,+1.3
TX A&M-Com,10-8-0,55.6%,-10.1,+1.0
IPFW,55-44-1,55.6%,-4.2,+0.4
Rob Morris,30-24-0,55.6%,-2.6,-0.3
S Indiana,5-4-0,55.6%,-7.3,-0.3
Yale,46-37-1,55.4%,0.3,+2.2
Portland St,67-54-2,55.4%,-0.7,+2.0
S Mississippi,68-55-4,55.3%,-0.6,+0.2
Binghamton,27-22-0,55.1%,-5.9,+1.8
Fairfield,98-80-4,55.1%,0.2,+1.0
E Kentucky,55-45-2,55.0%,-2.0,0.0
Army,22-18-0,55.0%,-5.3,-0.1
UC Davis,55-45-1,55.0%,-4.2,+0.8
Florida,111-91-4,55.0%,12.0,+1.9
Loyola-Chi,90-74-3,54.9%,1.8,+1.1
Utah St,91-75-2,54.8%,5.8,+1.3
Purdue,125-103-5,54.8%,7.0,+1.4
Xavier,124-103-8,54.6%,6.7,+0.8
Penn St,124-103-4,54.6%,-0.1,+0.9
Belmont,42-35-1,54.6%,3.5,+0.1
Georgia St,48-40-1,54.6%,1.4,+1.2
Le Moyne,6-5-1,54.6%,-14.6,+2.4
SE Louisiana,24-20-1,54.6%,-7.0,-0.4
Boise St,91-76-7,54.5%,5.1,+1.6
Miss State,93-78-7,54.4%,5.4,+0.7
Colgate,31-26-0,54.4%,-2.4,+0.6
Saint Louis,107-90-0,54.3%,2.8,+1.5
Miami (OH),84-71-3,54.2%,1.0,+0.8
Prairie View,26-22-2,54.2%,-12.7,+1.4
Maryland BC,26-22-0,54.2%,-4.5,+1.0
St Peters,85-72-5,54.1%,-3.9,-0.2
Oregon,85-72-4,54.1%,7.6,+0.9
Idaho,67-57-1,54.0%,-5.9,+1.3
Manhattan,101-86-4,54.0%,-0.6,+0.5
Kansas,109-93-4,54.0%,13.8,+1.2
Harvard,56-48-2,53.9%,0.8,+0.8
Oklahoma St,106-91-4,53.8%,5.8,+1.1
WI-Grn Bay,80-69-2,53.7%,-1.0,0.0
Northeastrn,44-38-1,53.7%,0.1,+1.4
Santa Clara,89-77-7,53.6%,0.3,+0.5
Gonzaga,90-78-6,53.6%,13.0,+1.0
SIU Edward,38-33-0,53.5%,-9.5,+2.3
Indiana St,92-80-2,53.5%,-0.6,+0.7
Houston,109-95-3,53.4%,6.0,+1.6
Dartmouth,39-34-3,53.4%,-5.6,+0.6
Oklahoma,78-68-4,53.4%,6.6,+1.2
Youngs St,65-57-5,53.3%,-3.4,+0.4
Toledo,73-64-3,53.3%,-0.2,-0.9
Maryland ES,33-29-0,53.2%,-12.0,-1.7
Temple,126-111-3,53.2%,3.3,+0.6
UCSD,17-15-1,53.1%,-11.6,+0.8
GA Tech,119-105-1,53.1%,1.8,+0.2
