Team,Over Record,Over %,Under %,Total +/-
Portland,1-0-0,100.0%,0.0%,+16.0
Charlotte,1-0-0,100.0%,0.0%,+46.0
Atlanta,11-3-0,78.6%,21.4%,+8.5
San Antonio,7-2-0,77.8%,22.2%,+12.0
Brooklyn,3-1-0,75.0%,25.0%,-0.9
Cleveland,15-8-0,65.2%,34.8%,+4.9
Denver,10-6-0,62.5%,37.5%,+8.6
Phoenix,9-6-0,60.0%,40.0%,+2.4
New Orleans,3-2-1,60.0%,40.0%,+1.2
Memphis,11-8-0,57.9%,42.1%,+4.2
Indiana,9-8-0,52.9%,47.1%,-4.9
Milwaukee,10-9-0,52.6%,47.4%,+0.3
Golden State,7-7-0,50.0%,50.0%,-1.9
New York,12-12-0,50.0%,50.0%,+0.5
Boston,12-13-0,48.0%,52.0%,+1.1
Houston,8-9-1,47.1%,52.9%,-4.3
Miami,7-8-0,46.7%,53.3%,+0.3
LA Lakers,7-8-0,46.7%,53.3%,+2.0
Okla City,11-13-0,45.8%,54.2%,-3.7
Sacramento,8-10-0,44.4%,55.6%,-3.5
Philadelphia,4-5-1,44.4%,55.6%,-4.6
Minnesota,10-13-0,43.5%,56.5%,-4.3
LA Clippers,3-5-0,37.5%,62.5%,-1.9
Dallas,6-10-0,37.5%,62.5%,-5.2
Orlando,6-12-0,33.3%,66.7%,-6.7
Detroit,2-5-0,28.6%,71.4%,-3.4
Chicago,1-3-0,25.0%,75.0%,-2.0
