Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Wisconsin,7-0-0,100.0%,0.0%,12.4,2-0-0,100.0%,0.0%,7.0,2-0-0,100.0%,0.0%,+22.8,,,,,6-0-0,100.0%,0.0%,+13.5,,,,,2-0-0,100.0%,0.0%,24.3,5-0-0,100.0%,0.0%,7.6,5-0-0,100.0%,0.0%,+14.0,,,,,1-0-0,100.0%,0.0%,+8.5,2-0-0,100.0%,0.0%,+12.8,3-0-0,100.0%,0.0%,15.7,4-0-0,100.0%,0.0%,+8.1
Portland St,5-0-0,100.0%,0.0%,10.9,3-0-0,100.0%,0.0%,16.0,3-0-0,100.0%,0.0%,+15.0,2-0-0,100.0%,0.0%,+4.8,2-0-0,100.0%,0.0%,+3.3,3-0-0,100.0%,0.0%,15.0,4-0-0,100.0%,0.0%,12.6,1-0-0,100.0%,0.0%,4.0,0-0-0,0.0%,0.0%,--,2-0-0,100.0%,0.0%,4.8,,,,,2-0-0,100.0%,0.0%,+3.3,,,,,0-0-0,0.0%,0.0%,--
N Florida,5-0-0,100.0%,0.0%,14.8,3-0-0,100.0%,0.0%,7.0,2-0-0,100.0%,0.0%,+7.3,1-0-0,100.0%,0.0%,+9.5,3-0-0,100.0%,0.0%,+19.8,3-0-0,100.0%,0.0%,19.0,3-0-0,100.0%,0.0%,19.0,2-0-0,100.0%,0.0%,8.5,2-0-0,100.0%,0.0%,+8.5,,,,,1-0-0,100.0%,0.0%,+8.5,0-0-0,0.0%,0.0%,--,2-0-0,100.0%,0.0%,26.5,2-0-0,100.0%,0.0%,+25.5
TN State,6-0-0,100.0%,0.0%,13.8,2-0-0,100.0%,0.0%,11.8,1-0-0,100.0%,0.0%,+11.0,4-0-0,100.0%,0.0%,+13.0,2-0-0,100.0%,0.0%,+15.3,3-0-0,100.0%,0.0%,10.8,5-0-0,100.0%,0.0%,15.7,1-0-0,100.0%,0.0%,4.0,1-0-0,100.0%,0.0%,+4.0,1-0-0,100.0%,0.0%,22.0,1-0-0,100.0%,0.0%,+2.0,2-0-0,100.0%,0.0%,+17.5,2-0-0,100.0%,0.0%,12.0,3-0-0,100.0%,0.0%,+15.8
Akron,5-0-0,100.0%,0.0%,16.2,3-0-0,100.0%,0.0%,20.0,2-0-0,100.0%,0.0%,+4.5,1-0-0,100.0%,0.0%,+2.5,3-0-0,100.0%,0.0%,+24.0,2-0-0,100.0%,0.0%,12.5,2-0-0,100.0%,0.0%,12.5,3-0-0,100.0%,0.0%,18.7,3-0-0,100.0%,0.0%,+18.7,2-0-0,100.0%,0.0%,26.8,,,,,1-0-0,100.0%,0.0%,+2.5,1-0-0,100.0%,0.0%,18.5,1-0-0,100.0%,0.0%,+18.5
Utah Valley,6-0-0,100.0%,0.0%,6.1,3-0-0,100.0%,0.0%,4.3,3-0-0,100.0%,0.0%,+5.8,2-0-0,100.0%,0.0%,+6.8,4-0-0,100.0%,0.0%,+5.8,3-0-0,100.0%,0.0%,5.0,2-0-0,100.0%,0.0%,6.0,4-0-0,100.0%,0.0%,6.1,1-0-0,100.0%,0.0%,+5.5,2-0-0,100.0%,0.0%,3.8,,,,,3-0-0,100.0%,0.0%,+7.8,,,,,1-0-0,100.0%,0.0%,+11.5
Texas Tech,5-0-1,100.0%,0.0%,3.8,2-0-0,100.0%,0.0%,4.8,2-0-1,100.0%,0.0%,+4.2,1-0-0,100.0%,0.0%,+2.0,3-0-1,100.0%,0.0%,+3.3,,,,,,,,,5-0-1,100.0%,0.0%,3.8,3-0-1,100.0%,0.0%,+3.8,1-0-0,100.0%,0.0%,2.0,,,,,1-0-1,100.0%,0.0%,+2.5,2-0-0,100.0%,0.0%,4.0,2-0-0,100.0%,0.0%,+4.0
SC Upstate,7-0-0,100.0%,0.0%,14.8,1-0-0,100.0%,0.0%,15.5,2-0-0,100.0%,0.0%,+13.8,4-0-0,100.0%,0.0%,+15.5,2-0-0,100.0%,0.0%,+13.0,5-0-0,100.0%,0.0%,14.3,7-0-0,100.0%,0.0%,14.8,,,,,1-0-0,100.0%,0.0%,+16.5,1-0-0,100.0%,0.0%,15.5,2-0-0,100.0%,0.0%,+16.8,1-0-0,100.0%,0.0%,+12.0,5-0-0,100.0%,0.0%,15.2,2-0-0,100.0%,0.0%,+13.5
Bradley,6-1-0,85.7%,14.3%,4.8,5-1-0,83.3%,16.7%,5.3,2-0-0,100.0%,0.0%,+10.8,1-0-0,100.0%,0.0%,+1.5,4-1-0,80.0%,20.0%,+5.0,1-0-0,100.0%,0.0%,10.0,1-0-0,100.0%,0.0%,10.0,5-1-0,83.3%,16.7%,3.9,2-1-0,66.7%,33.3%,0.0,1-0-0,100.0%,0.0%,4.5,1-0-0,100.0%,0.0%,+4.5,,,,,1-0-0,100.0%,0.0%,1.5,2-1-0,66.7%,33.3%,+1.0
N Carolina,6-1-0,85.7%,14.3%,12.9,3-1-0,75.0%,25.0%,12.4,3-0-0,100.0%,0.0%,+9.7,2-0-0,100.0%,0.0%,+20.0,3-1-0,75.0%,25.0%,+9.5,2-0-0,100.0%,0.0%,12.3,1-1-0,50.0%,50.0%,4.8,5-0-0,100.0%,0.0%,16.2,2-0-0,100.0%,0.0%,+12.5,1-1-0,50.0%,50.0%,8.3,,,,,2-0-0,100.0%,0.0%,+8.3,1-0-0,100.0%,0.0%,24.5,2-0-0,100.0%,0.0%,+22.5
Arizona St,6-1-0,85.7%,14.3%,3.8,1-1-0,50.0%,50.0%,-7.0,1-1-0,50.0%,50.0%,-16.8,1-0-0,100.0%,0.0%,+15.0,5-0-0,100.0%,0.0%,+10.6,1-0-0,100.0%,0.0%,11.5,4-0-0,100.0%,0.0%,9.8,2-1-0,66.7%,33.3%,-4.2,2-1-0,66.7%,33.3%,-4.2,,,,,1-0-0,100.0%,0.0%,+11.5,2-0-0,100.0%,0.0%,+4.8,3-0-0,100.0%,0.0%,10.3,4-0-0,100.0%,0.0%,+12.1
Dayton,6-1-0,85.7%,14.3%,7.9,4-0-0,100.0%,0.0%,10.9,3-0-0,100.0%,0.0%,+10.8,2-0-0,100.0%,0.0%,+17.8,3-1-0,75.0%,25.0%,+3.0,,,,,3-0-0,100.0%,0.0%,20.0,3-1-0,75.0%,25.0%,-1.3,3-1-0,75.0%,25.0%,-1.3,2-0-0,100.0%,0.0%,17.8,,,,,1-0-0,100.0%,0.0%,+24.5,1-1-0,50.0%,50.0%,-6.5,1-1-0,50.0%,50.0%,-6.5
Villanova,6-1-1,85.7%,14.3%,6.7,4-0-1,100.0%,0.0%,12.6,2-0-0,100.0%,0.0%,+11.0,2-1-1,66.7%,33.3%,-2.4,3-0-0,100.0%,0.0%,+17.5,1-0-0,100.0%,0.0%,18.0,1-0-0,100.0%,0.0%,11.5,5-1-1,83.3%,16.7%,6.0,3-1-1,75.0%,25.0%,+4.4,,,,,2-0-0,100.0%,0.0%,+14.5,,,,,2-1-0,66.7%,33.3%,-3.2,2-1-1,66.7%,33.3%,+0.6
Yale,6-1-0,85.7%,14.3%,17.0,5-1-0,83.3%,16.7%,16.8,1-0-0,100.0%,0.0%,+6.5,2-0-0,100.0%,0.0%,+20.3,3-1-0,75.0%,25.0%,+18.0,3-1-0,75.0%,25.0%,12.1,1-1-0,50.0%,50.0%,4.0,5-0-0,100.0%,0.0%,22.2,1-0-0,100.0%,0.0%,+6.5,1-0-0,100.0%,0.0%,46.0,0-0-0,0.0%,0.0%,--,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,18.0,4-1-0,80.0%,20.0%,+13.3
Wm & Mary,6-1-0,85.7%,14.3%,6.5,3-0-0,100.0%,0.0%,16.2,0-1-0,0.0%,100.0%,-19.5,4-0-0,100.0%,0.0%,+8.9,2-1-0,66.7%,33.3%,+3.3,2-1-0,66.7%,33.3%,0.8,3-1-0,75.0%,25.0%,5.9,3-0-0,100.0%,0.0%,7.3,1-0-0,100.0%,0.0%,+1.0,2-0-0,100.0%,0.0%,15.3,1-0-0,100.0%,0.0%,+4.0,1-1-0,50.0%,50.0%,-9.3,2-0-0,100.0%,0.0%,7.8,3-0-0,100.0%,0.0%,+10.2
Montana St,5-1-0,83.3%,16.7%,1.8,,,,,2-1-0,66.7%,33.3%,-1.2,2-1-0,66.7%,33.3%,-0.5,2-0-0,100.0%,0.0%,+5.5,4-0-0,100.0%,0.0%,5.5,3-0-0,100.0%,0.0%,4.5,2-1-0,66.7%,33.3%,-0.8,1-1-0,50.0%,50.0%,-5.5,,,,,3-0-0,100.0%,0.0%,+4.8,3-1-0,75.0%,25.0%,-0.3,2-0-0,100.0%,0.0%,6.0,,,,
Delaware,5-1-0,83.3%,16.7%,9.3,3-0-0,100.0%,0.0%,24.3,3-1-0,75.0%,25.0%,-0.3,3-0-0,100.0%,0.0%,+21.0,1-1-0,50.0%,50.0%,-12.0,0-1-0,0.0%,100.0%,-32.5,3-1-0,75.0%,25.0%,7.1,2-0-0,100.0%,0.0%,13.5,3-0-0,100.0%,0.0%,+11.8,1-0-0,100.0%,0.0%,46.0,,,,,2-1-0,66.7%,33.3%,-5.8,,,,,1-0-0,100.0%,0.0%,+10.5
Rhode Island,5-1-0,83.3%,16.7%,5.4,3-1-0,75.0%,25.0%,3.0,2-0-0,100.0%,0.0%,+8.3,,,,,4-1-0,80.0%,20.0%,+5.4,,,,,,,,,5-1-0,83.3%,16.7%,5.4,3-1-0,75.0%,25.0%,+5.4,1-0-0,100.0%,0.0%,1.5,,,,,2-0-0,100.0%,0.0%,+10.3,,,,,2-1-0,66.7%,33.3%,+4.8
