Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Washington,453-386-14,54.0%,46.0%,1.4,246-206-8,54.4%,45.6%,1.8,16-12-0,57.1%,42.9%,5.6,247-217-6,53.2%,46.8%,1.2,201-163-8,55.2%,44.8%,1.8,223-194-6,53.5%,46.5%,1.0,275-218-9,55.8%,44.2%,1.7,174-166-5,51.2%,48.8%,1.0,227-186-8,55.0%,45.0%,2.1,94-62-2,60.3%,39.7%,3.9,244-259-10,48.5%,51.5%,0.2,116-84-3,58.0%,42.0%,1.1,91-96-3,48.7%,51.3%,1.0,99-53-2,65.1%,34.9%,2.5
Minnesota,449-389-8,53.6%,46.4%,0.9,254-211-3,54.6%,45.4%,0.8,12-15-0,44.4%,55.6%,-1.8,254-207-8,55.1%,44.9%,1.6,189-177-0,51.6%,48.4%,0.0,234-183-5,56.1%,43.9%,2.9,263-211-5,55.5%,44.5%,1.7,181-175-3,50.8%,49.2%,-0.1,213-206-3,50.8%,49.2%,-1.2,85-58-2,59.4%,40.6%,3.9,276-244-5,53.1%,46.9%,0.3,96-101-3,48.7%,51.3%,-0.6,99-77-2,56.3%,43.8%,2.8,76-72-1,51.4%,48.7%,0.6
Toronto,467-430-9,52.1%,47.9%,0.7,253-238-8,51.5%,48.5%,0.3,16-14-0,53.3%,46.7%,1.9,198-183-0,52.0%,48.0%,0.5,262-243-9,51.9%,48.1%,0.9,229-207-6,52.5%,47.5%,0.6,178-165-3,51.9%,48.1%,1.0,287-263-6,52.2%,47.8%,0.5,231-210-3,52.4%,47.6%,0.9,84-69-1,54.9%,45.1%,1.3,285-268-6,51.5%,48.5%,0.8,105-99-0,51.5%,48.5%,0.2,109-93-1,54.0%,46.0%,2.2,82-79-2,50.9%,49.1%,-0.4
Denver,460-428-10,51.8%,48.2%,1.0,246-216-6,53.3%,46.8%,1.2,14-20-0,41.2%,58.8%,-4.3,210-165-7,56.0%,44.0%,2.5,248-254-3,49.4%,50.6%,0.1,215-213-4,50.2%,49.8%,0.1,195-154-5,55.9%,44.1%,1.3,260-272-5,48.9%,51.1%,0.7,227-206-5,52.4%,47.6%,1.5,76-70-0,52.1%,48.0%,-0.4,293-258-8,53.2%,46.8%,1.6,101-105-4,49.0%,51.0%,1.1,113-107-0,51.4%,48.6%,0.5,77-80-2,49.0%,51.0%,1.3
San Antonio,440-414-11,51.5%,48.5%,0.6,253-212-4,54.4%,45.6%,1.2,20-9-0,69.0%,31.0%,7.7,217-180-7,54.7%,45.3%,2.1,213-233-4,47.8%,52.2%,-0.9,210-210-8,50.0%,50.0%,-0.3,213-185-7,53.5%,46.5%,0.7,225-228-4,49.7%,50.3%,0.5,221-199-3,52.6%,47.4%,1.2,75-73-3,50.7%,49.3%,0.8,273-251-7,52.1%,47.9%,0.6,91-102-4,47.2%,52.9%,-0.4,96-100-3,49.0%,51.0%,0.3,72-81-1,47.1%,52.9%,-0.8
Indiana,438-419-10,51.1%,48.9%,1.1,243-239-5,50.4%,49.6%,1.1,18-12-1,60.0%,40.0%,7.1,235-185-6,56.0%,44.1%,2.0,195-231-4,45.8%,54.2%,-0.3,217-203-7,51.7%,48.3%,1.2,229-200-6,53.4%,46.6%,1.8,209-211-4,49.8%,50.2%,0.6,216-206-3,51.2%,48.8%,1.1,79-68-3,53.7%,46.3%,2.0,273-268-5,50.5%,49.5%,0.5,97-95-1,50.5%,49.5%,0.0,98-85-4,53.6%,46.5%,1.9,68-71-1,48.9%,51.1%,0.9
Atlanta,444-426-10,51.0%,49.0%,1.0,254-237-6,51.7%,48.3%,1.1,13-13-2,50.0%,50.0%,2.7,235-205-6,53.4%,46.6%,2.2,203-216-4,48.5%,51.6%,-0.4,216-220-5,49.5%,50.5%,0.2,241-211-5,53.3%,46.7%,1.9,203-213-5,48.8%,51.2%,0.0,227-206-5,52.4%,47.6%,1.8,84-75-1,52.8%,47.2%,0.1,272-256-7,51.5%,48.5%,1.2,90-89-3,50.3%,49.7%,1.0,100-100-1,50.0%,50.0%,0.8,75-82-0,47.8%,52.2%,0.9
Portland,440-424-10,50.9%,49.1%,0.9,228-226-1,50.2%,49.8%,0.7,20-10-0,66.7%,33.3%,7.7,224-214-4,51.1%,48.9%,0.9,210-205-6,50.6%,49.4%,0.8,215-213-4,50.2%,49.8%,-0.4,243-214-4,53.2%,46.8%,0.5,195-206-6,48.6%,51.4%,1.3,214-207-6,50.8%,49.2%,1.9,73-82-2,47.1%,52.9%,-0.9,269-256-7,51.2%,48.8%,0.7,108-87-5,55.4%,44.6%,2.9,104-111-4,48.4%,51.6%,-0.6,78-76-1,50.7%,49.4%,2.1
Phoenix,436-424-9,50.7%,49.3%,0.0,217-225-7,49.1%,50.9%,-0.8,15-15-1,50.0%,50.0%,-1.8,216-234-5,48.0%,52.0%,0.0,216-183-4,54.1%,45.9%,0.3,213-207-6,50.7%,49.3%,0.3,218-228-6,48.9%,51.1%,-0.2,218-193-3,53.0%,47.0%,0.4,215-214-3,50.1%,49.9%,-0.3,70-74-2,48.6%,51.4%,-0.1,265-269-5,49.6%,50.4%,-0.1,125-102-0,55.1%,44.9%,0.9,94-97-2,49.2%,50.8%,1.0,86-66-1,56.6%,43.4%,1.1
Boston,482-469-10,50.7%,49.3%,0.6,273-270-3,50.3%,49.7%,0.2,22-15-1,59.5%,40.5%,3.6,181-171-3,51.4%,48.6%,0.0,294-294-7,50.0%,50.0%,0.8,217-241-4,47.4%,52.6%,-0.1,119-143-3,45.4%,54.6%,-0.8,360-323-7,52.7%,47.3%,1.1,252-215-5,54.0%,46.0%,1.2,81-66-4,55.1%,44.9%,3.1,290-298-4,49.3%,50.7%,0.0,91-93-2,49.5%,50.5%,0.5,118-106-5,52.7%,47.3%,1.7,89-90-1,49.7%,50.3%,-0.1
