Team,Over Record,Over %,Under %,Total +/-
Denver,294-259-8,53.2%,46.8%,+1.6
Minnesota,276-246-5,52.9%,47.1%,+0.2
Cleveland,281-255-4,52.4%,47.6%,+0.8
San Antonio,274-252-7,52.1%,47.9%,+0.6
Atlanta,274-257-7,51.6%,48.4%,+1.2
Milwaukee,277-260-7,51.6%,48.4%,+1.0
New Orleans,263-248-4,51.5%,48.5%,+1.0
Toronto,286-270-6,51.4%,48.6%,+0.8
Portland,271-256-7,51.4%,48.6%,+0.8
Sacramento,245-235-12,51.0%,49.0%,+0.8
Indiana,275-269-5,50.6%,49.5%,+0.5
Utah,263-258-10,50.5%,49.5%,+0.3
Phoenix,266-269-5,49.7%,50.3%,0.0
LA Clippers,263-269-12,49.4%,50.6%,+0.4
Detroit,238-244-8,49.4%,50.6%,+0.2
Brooklyn,253-260-8,49.3%,50.7%,+0.1
Boston,291-300-4,49.2%,50.8%,0.0
LA Lakers,272-281-1,49.2%,50.8%,-0.7
Okla City,263-273-8,49.1%,50.9%,+0.1
Houston,270-281-9,49.0%,51.0%,-0.1
Washington,245-259-10,48.6%,51.4%,+0.2
Chicago,242-261-7,48.1%,51.9%,+0.7
Charlotte,236-260-7,47.6%,52.4%,0.0
Miami,273-302-3,47.5%,52.5%,-1.0
Memphis,247-276-6,47.2%,52.8%,-0.3
Philadelphia,250-281-6,47.1%,52.9%,-0.9
Dallas,256-289-5,47.0%,53.0%,-0.1
New York,242-274-7,46.9%,53.1%,+0.2
Orlando,237-277-6,46.1%,53.9%,-0.8
Golden State,251-296-7,45.9%,54.1%,-1.1
