Team,ATS Record,Cover %,MOV,ATS +/-
Okla City,501-434-14,53.6%,1.4,+0.5
Denver,482-436-13,52.5%,1.9,+0.4
Golden State,487-441-20,52.5%,2.4,+0.4
San Antonio,530-481-21,52.4%,3.3,+0.3
Indiana,510-472-29,51.9%,0.9,+0.6
Boston,564-522-19,51.9%,2.3,+0.3
Orlando,487-455-21,51.7%,-1.1,+0.2
Miami,542-508-22,51.6%,2.0,+0.2
Phoenix,464-435-14,51.6%,0.9,+0.4
New York,467-444-13,51.3%,-2.0,+0.1
Philadelphia,480-457-17,51.2%,-0.8,0.0
Dallas,497-474-21,51.2%,1.7,+0.2
Houston,482-474-13,50.4%,1.6,+0.6
Utah,453-447-18,50.3%,0.4,0.0
Charlotte,438-438-16,50.0%,-2.9,+0.3
Cleveland,483-488-20,49.7%,0.6,-0.1
Brooklyn,463-468-26,49.7%,-1.9,-0.2
Milwaukee,458-467-19,49.5%,0.4,-0.3
Toronto,484-494-18,49.5%,0.4,+0.1
Memphis,466-484-19,49.1%,-0.6,+0.1
New Orleans,433-452-14,48.9%,-1.1,0.0
LA Clippers,423-445-11,48.7%,0.6,0.0
Chicago,457-483-13,48.6%,-0.9,-0.3
Portland,423-449-18,48.5%,-1.7,-0.6
Sacramento,407-440-14,48.1%,-2.9,-0.8
Atlanta,470-520-11,47.5%,-1.5,-0.7
Detroit,447-495-27,47.5%,-1.2,-0.5
LA Lakers,432-489-22,46.9%,0.5,-0.6
Minnesota,426-488-12,46.6%,-1.7,-0.4
Washington,428-504-21,45.9%,-2.6,-0.5
