Team,Over Record,Over %,Under %,Total +/-
Milwaukee,932-864-21,51.9%,48.1%,+0.8
Denver,942-886-21,51.5%,48.5%,+0.9
Washington,895-850-32,51.3%,48.7%,+1.0
Phoenix,922-880-21,51.2%,48.8%,+0.4
Minnesota,884-844-22,51.2%,48.8%,+0.5
Atlanta,925-885-17,51.1%,48.9%,+1.0
Sacramento,872-836-31,51.1%,49.0%,+0.8
Toronto,909-886-16,50.6%,49.4%,+0.9
Utah,898-883-24,50.4%,49.6%,+0.6
Portland,886-883-21,50.1%,49.9%,+0.6
Okla City,906-911-26,49.9%,50.1%,+0.3
Boston,963-973-21,49.7%,50.3%,+0.5
Indiana,901-912-29,49.7%,50.3%,+0.2
San Antonio,937-950-27,49.7%,50.3%,+0.3
Charlotte,800-812-22,49.6%,50.4%,+0.3
LA Lakers,926-940-18,49.6%,50.4%,-0.1
Golden State,914-934-23,49.5%,50.5%,+0.2
New York,859-879-16,49.4%,50.6%,+0.4
LA Clippers,888-909-31,49.4%,50.6%,+0.2
Philadelphia,881-902-25,49.4%,50.6%,-0.1
Detroit,879-903-31,49.3%,50.7%,0.0
Dallas,909-939-25,49.2%,50.8%,+0.2
Miami,951-983-19,49.2%,50.8%,-0.3
New Orleans,855-886-24,49.1%,50.9%,+0.1
Cleveland,908-945-18,49.0%,51.0%,+0.2
Brooklyn,872-908-20,49.0%,51.0%,+0.5
Chicago,868-914-18,48.7%,51.3%,+0.5
Houston,878-925-27,48.7%,51.3%,+0.2
Orlando,845-916-28,48.0%,52.0%,-0.4
Memphis,857-930-22,48.0%,52.0%,-0.2
