Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Mercyhurst,3-0-0,100.0%,1.4,8.8,3-0-0,100.0%,-0.7,8.8,1-0-0,100.0%,-17.0,2.0,1-0-0,100.0%,5.0,12.5,1-0-0,100.0%,18.0,12.0,2-0-0,100.0%,-9.7,7.3,3-0-0,100.0%,-0.7,8.8,,,,,1-0-0,100.0%,18.0,12.0,,,,,1-0-0,100.0%,5.0,12.5,0-0-0,0.0%,26.0,--,0-0-0,0.0%,-17.0,--,1-0-0,100.0%,18.0,12.0
W Georgia,2-1-0,66.7%,-20.3,-1.7,0-1-0,0.0%,-35.0,-9.0,1-1-0,50.0%,-19.0,-2.8,2-0-0,100.0%,-13.0,2.0,,,,,2-1-0,66.7%,-20.3,-1.7,2-1-0,66.7%,-20.3,-1.7,,,,,,,,,,,,,1-0-0,100.0%,-23.0,0.5,1-0-0,100.0%,-3.0,+3.5,1-0-0,100.0%,-23.0,+0.5,,,,
Le Moyne,18-13-1,58.1%,0.2,3.6,8-11-0,42.1%,-4.9,0.5,9-4-0,69.2%,2.5,4.0,9-5-1,64.3%,6.5,6.5,8-7-0,53.3%,-2.3,1.2,11-9-1,55.0%,-10.3,2.6,12-10-1,54.6%,-10.0,1.8,6-3-0,66.7%,13.1,8.4,7-4-0,63.6%,15.5,5.7,,,,,3-6-1,33.3%,0.5,1.7,4-1-0,80.0%,22.0,+9.1,6-1-1,85.7%,-10.9,+7.8,6-3-0,66.7%,-0.1,5.3
NC Central,112-81-3,58.0%,5.7,1.0,62-48-2,56.4%,2.0,0.9,43-31-0,58.1%,5.1,2.5,47-28-2,62.7%,6.8,2.2,60-49-1,55.1%,6.7,0.3,54-43-2,55.7%,-5.4,0.1,51-39-1,56.7%,-9.8,0.2,61-41-2,59.8%,8.8,1.8,36-25-1,59.0%,19.8,1.8,9-7-0,56.3%,1.1,-1.3,33-27-0,55.0%,5.1,-0.8,23-14-0,62.2%,18.1,+2.0,27-19-1,58.7%,-2.5,+0.5,27-16-3,62.8%,8.5,1.8
St. Thomas,51-37-2,58.0%,4.1,1.8,38-19-2,66.7%,2.8,4.0,16-20-0,44.4%,1.8,-0.5,21-17-2,55.3%,4.6,2.3,28-19-0,59.6%,3.9,1.3,24-21-2,53.3%,-4.7,0.1,23-20-2,53.5%,-5.9,2.0,28-17-0,62.2%,7.0,1.5,19-14-0,57.6%,13.9,2.9,7-1-0,87.5%,2.8,7.5,15-10-2,60.0%,2.6,1.1,3-7-0,30.0%,17.2,-3.6,10-11-0,47.6%,-4.1,-1.9,13-6-0,68.4%,9.9,4.5
Sam Hous St,117-87-5,57.4%,6.3,1.5,59-46-2,56.2%,2.8,1.3,42-26-2,61.8%,7.7,2.5,40-28-1,58.8%,6.0,1.3,75-57-4,56.8%,6.1,1.6,61-44-3,58.1%,-2.3,1.2,50-46-2,52.1%,-7.8,0.3,66-40-3,62.3%,9.9,2.6,41-26-1,61.2%,16.2,2.3,5-10-0,33.3%,-3.1,-1.1,20-11-1,64.5%,5.7,2.4,22-20-0,52.4%,16.1,+0.2,36-21-3,63.2%,1.6,+2.6,50-40-2,55.6%,6.6,0.8
Yale,131-100-8,56.7%,7.3,1.4,89-70-6,56.0%,4.9,0.8,66-40-4,62.3%,9.0,2.7,33-30-1,52.4%,8.4,1.3,93-68-7,57.8%,6.1,1.1,68-53-5,56.2%,1.3,1.3,34-37-3,47.9%,-7.7,-0.3,97-61-5,61.4%,10.0,2.3,43-38-3,53.1%,15.7,0.8,30-25-1,54.6%,6.2,0.5,11-7-1,61.1%,11.3,1.3,18-15-1,54.6%,16.6,+2.4,24-15-1,61.5%,4.6,+3.0,24-28-2,46.2%,3.7,-0.4
E Washingtn,171-131-3,56.6%,4.5,1.6,106-88-3,54.6%,3.3,1.1,74-60-1,55.2%,4.3,1.5,62-44-1,58.5%,3.2,3.4,106-82-2,56.4%,5.3,0.8,96-69-2,58.2%,-2.6,1.6,75-56-1,57.3%,-6.8,1.5,93-75-2,55.4%,8.3,1.4,58-48-1,54.7%,13.8,2.0,10-6-0,62.5%,4.3,1.5,57-44-1,56.4%,4.9,1.7,35-26-0,57.4%,10.8,+2.1,30-17-0,63.8%,-1.3,+2.9,30-21-1,58.8%,4.3,1.6
Furman,160-123-5,56.5%,7.4,1.3,110-72-0,60.4%,5.5,1.7,40-30-0,57.1%,8.8,0.5,51-42-2,54.8%,6.7,1.1,108-80-3,57.5%,6.8,1.5,73-62-3,54.1%,1.1,1.2,45-39-2,53.6%,-6.8,0.6,113-83-3,57.7%,10.5,1.6,72-44-2,62.1%,14.8,1.9,6-9-0,40.0%,0.7,-1.1,26-23-1,53.1%,5.5,0.7,29-30-1,49.2%,13.8,-0.1,21-21-4,50.0%,2.2,+1.6,88-61-4,59.1%,7.9,2.1
Nevada,180-139-6,56.4%,5.4,1.2,94-72-4,56.6%,3.6,0.3,48-34-2,58.5%,6.8,1.6,54-48-1,52.9%,2.7,0.4,118-88-5,57.3%,6.4,1.4,64-56-3,53.3%,-0.7,0.4,51-49-1,51.0%,-6.4,0.2,128-90-5,58.7%,9.8,1.6,87-56-3,60.8%,11.0,2.1,12-8-0,60.0%,2.3,0.8,16-10-1,61.5%,7.0,2.9,44-38-2,53.7%,6.8,+1.0,42-29-0,59.2%,7.7,+3.5,104-87-3,54.5%,4.8,0.8
