Team,Over Record,Over %,Under %,Total +/-
Washington,190-151-4,55.7%,44.3%,+1.0
Toronto,172-140-3,55.1%,44.9%,+1.4
Philadelphia,194-159-3,55.0%,45.0%,+1.7
Milwaukee,209-179-6,53.9%,46.1%,+1.7
Phoenix,172-148-3,53.8%,46.3%,+0.8
Portland,165-155-2,51.6%,48.4%,+1.6
Golden State,187-178-4,51.2%,48.8%,+1.2
Detroit,174-166-5,51.2%,48.8%,+1.6
Dallas,177-169-4,51.2%,48.8%,+1.3
Cleveland,195-189-3,50.8%,49.2%,+0.6
Orlando,164-160-6,50.6%,49.4%,-0.2
Memphis,185-184-4,50.1%,49.9%,0.0
Boston,181-180-5,50.1%,49.9%,+0.4
Utah,170-170-2,50.0%,50.0%,+1.9
Minnesota,161-162-3,49.9%,50.2%,+0.6
Indiana,174-176-7,49.7%,50.3%,+0.4
Chicago,184-187-3,49.6%,50.4%,+1.3
Sacramento,158-161-3,49.5%,50.5%,+1.1
Charlotte,152-157-5,49.2%,50.8%,+0.5
Atlanta,172-180-3,48.9%,51.1%,+0.9
New Orleans,162-170-6,48.8%,51.2%,-0.4
LA Lakers,153-167-3,47.8%,52.2%,-1.1
Denver,160-176-3,47.6%,52.4%,+0.4
Houston,166-183-7,47.6%,52.4%,-0.1
Okla City,152-173-4,46.8%,53.2%,-1.1
LA Clippers,161-184-4,46.7%,53.3%,-0.2
New York,147-171-4,46.2%,53.8%,-1.0
San Antonio,159-190-7,45.6%,54.4%,-0.2
Brooklyn,156-194-3,44.6%,55.4%,-0.3
Miami,166-210-3,44.2%,55.9%,-1.2
