Team,Over Record,Over %,Under %,Total +/-
Phoenix,6-2-0,75.0%,25.0%,+1.8
Memphis,6-2-0,75.0%,25.0%,+9.1
Dallas,8-3-0,72.7%,27.3%,+7.3
Washington,6-3-0,66.7%,33.3%,+0.8
New York,8-4-0,66.7%,33.3%,+8.2
Indiana,7-4-0,63.6%,36.4%,-1.6
Atlanta,7-4-0,63.6%,36.4%,+2.1
San Antonio,5-3-0,62.5%,37.5%,-2.1
Miami,6-4-0,60.0%,40.0%,+2.3
Chicago,7-5-0,58.3%,41.7%,+6.8
Minnesota,5-4-0,55.6%,44.4%,+3.6
Denver,5-4-0,55.6%,44.4%,+7.8
Utah,5-4-0,55.6%,44.4%,+5.7
Cleveland,5-4-0,55.6%,44.4%,+3.4
Golden State,6-5-0,54.6%,45.5%,+0.2
Charlotte,4-4-0,50.0%,50.0%,+2.7
Brooklyn,6-6-0,50.0%,50.0%,+4.3
Orlando,6-7-0,46.2%,53.9%,-5.5
Houston,4-5-0,44.4%,55.6%,-2.8
LA Clippers,4-5-1,44.4%,55.6%,+0.6
Philadelphia,4-5-0,44.4%,55.6%,-4.4
Detroit,5-7-0,41.7%,58.3%,-2.2
LA Lakers,4-6-0,40.0%,60.0%,-1.3
Sacramento,4-6-0,40.0%,60.0%,-0.3
Okla City,4-6-0,40.0%,60.0%,-6.9
Milwaukee,3-5-0,37.5%,62.5%,-3.8
New Orleans,4-7-0,36.4%,63.6%,-6.5
Boston,4-7-0,36.4%,63.6%,+1.8
Toronto,4-8-0,33.3%,66.7%,-2.4
Portland,3-7-1,30.0%,70.0%,-10.3
