Team,Over Record,Over %,Under %,Total +/-
Indiana,6-0-0,100.0%,0.0%,+11.3
Cleveland,7-2-0,77.8%,22.2%,+9.7
Atlanta,6-2-0,75.0%,25.0%,+4.2
Denver,6-2-0,75.0%,25.0%,+6.8
Toronto,6-2-0,75.0%,25.0%,+8.0
Boston,5-2-0,71.4%,28.6%,+5.2
Memphis,6-3-0,66.7%,33.3%,+0.9
New Orleans,5-3-1,62.5%,37.5%,+2.3
LA Lakers,5-3-0,62.5%,37.5%,+7.9
Chicago,4-3-0,57.1%,42.9%,+4.6
Minnesota,4-3-0,57.1%,42.9%,+0.4
Brooklyn,4-3-0,57.1%,42.9%,+9.6
Houston,5-4-1,55.6%,44.4%,-0.3
Detroit,4-4-0,50.0%,50.0%,+4.0
San Antonio,5-5-0,50.0%,50.0%,+3.8
Portland,4-4-0,50.0%,50.0%,+3.7
Okla City,5-5-0,50.0%,50.0%,-5.8
Golden State,3-3-0,50.0%,50.0%,-6.0
Sacramento,4-4-0,50.0%,50.0%,-1.1
Phoenix,4-4-0,50.0%,50.0%,+0.3
New York,3-4-0,42.9%,57.1%,+3.0
Philadelphia,3-4-0,42.9%,57.1%,-0.9
Washington,3-4-0,42.9%,57.1%,-0.9
Miami,2-3-0,40.0%,60.0%,-4.8
Charlotte,3-5-0,37.5%,62.5%,+0.1
Dallas,3-6-0,33.3%,66.7%,-9.6
Milwaukee,3-6-0,33.3%,66.7%,-3.8
Utah,2-4-0,33.3%,66.7%,-8.6
Orlando,2-5-0,28.6%,71.4%,-11.2
LA Clippers,3-8-0,27.3%,72.7%,-7.7
