Team,ATS Record,Cover %,MOV,ATS +/-
San Antonio,502-430-20,53.9%,6.9,+0.8
Golden State,494-427-19,53.6%,5.7,+0.7
Memphis,466-422-15,52.5%,2.4,+0.2
Utah,456-415-22,52.4%,4.9,+0.7
Okla City,471-430-14,52.3%,4.1,+0.4
Indiana,462-424-26,52.1%,4.0,+0.8
Denver,468-430-14,52.1%,5.8,+0.5
Philadelphia,448-432-17,50.9%,1.6,-0.1
New Orleans,436-430-13,50.4%,1.4,-0.1
Portland,435-438-13,49.8%,2.0,-0.2
Cleveland,461-467-12,49.7%,3.3,-0.1
Atlanta,448-456-8,49.6%,1.5,-0.4
Boston,470-482-22,49.4%,5.2,+0.1
Toronto,434-447-18,49.3%,3.0,0.0
Miami,464-478-23,49.3%,4.6,-0.1
Charlotte,395-407-14,49.3%,-0.6,0.0
New York,427-440-10,49.3%,0.2,-0.3
Detroit,436-454-16,49.0%,1.5,-0.3
Houston,434-456-18,48.8%,4.1,+0.1
Dallas,439-462-24,48.7%,4.9,-0.1
LA Clippers,436-462-8,48.6%,3.3,-0.3
Orlando,417-444-18,48.4%,1.3,-0.3
Chicago,430-460-10,48.3%,1.6,-0.7
Phoenix,435-466-11,48.3%,3.1,-0.5
Milwaukee,420-459-19,47.8%,3.0,-0.5
Brooklyn,410-462-19,47.0%,0.0,-1.0
LA Lakers,426-483-18,46.9%,3.5,0.0
Sacramento,394-450-21,46.7%,0.1,-0.8
Washington,403-461-19,46.6%,0.6,0.0
Minnesota,381-485-10,44.0%,0.4,-1.0
