Team,ATS Record,Cover %,MOV,ATS +/-
Philadelphia,287-241-9,54.4%,0.7,+0.7
Boston,314-271-10,53.7%,4.5,+0.7
Dallas,287-251-12,53.4%,1.4,+0.6
Utah,276-247-8,52.8%,2.4,+0.7
Memphis,272-249-8,52.2%,0.1,+0.6
New York,267-245-11,52.2%,-1.5,+0.7
Okla City,279-259-6,51.9%,1.6,+0.2
San Antonio,270-254-9,51.5%,1.0,+0.1
LA Clippers,278-262-4,51.5%,3.3,+0.4
Phoenix,273-262-5,51.0%,-0.2,+0.1
Orlando,260-251-9,50.9%,-2.8,+0.2
Sacramento,242-239-11,50.3%,-1.4,-0.3
Brooklyn,257-254-10,50.3%,-0.8,+0.6
Indiana,270-267-12,50.3%,0.3,0.0
Denver,274-274-13,50.0%,2.0,-0.2
Toronto,276-278-8,49.8%,2.8,+0.3
Golden State,271-273-10,49.8%,5.4,0.0
Atlanta,264-270-4,49.4%,-0.7,-0.2
Charlotte,241-250-12,49.1%,-2.3,-0.2
New Orleans,247-259-9,48.8%,-0.4,+0.1
Houston,268-282-10,48.7%,0.5,-0.4
Milwaukee,258-275-11,48.4%,2.9,-0.9
Miami,273-291-14,48.4%,0.6,-0.4
Washington,240-260-14,48.0%,-1.6,-0.2
Detroit,227-247-16,47.9%,-3.6,-0.7
Chicago,241-263-6,47.8%,-2.0,-0.9
Minnesota,245-275-7,47.1%,-0.9,-0.2
Cleveland,247-279-14,47.0%,1.3,-0.2
Portland,244-280-10,46.6%,-2.5,-1.4
LA Lakers,250-294-10,46.0%,-1.7,-0.5
