Team,Over Record,Over %,Under %,Total +/-
Milwaukee,931-864-21,51.9%,48.1%,+0.8
Denver,941-886-21,51.5%,48.5%,+0.9
Washington,894-850-32,51.3%,48.7%,+1.0
Phoenix,922-879-21,51.2%,48.8%,+0.4
Minnesota,884-844-22,51.2%,48.8%,+0.5
Atlanta,925-884-17,51.1%,48.9%,+1.0
Sacramento,871-836-31,51.0%,49.0%,+0.8
Toronto,908-886-16,50.6%,49.4%,+0.9
Utah,898-881-24,50.5%,49.5%,+0.7
Portland,885-883-21,50.1%,49.9%,+0.5
Okla City,905-911-26,49.8%,50.2%,+0.3
Boston,963-972-21,49.8%,50.2%,+0.5
Indiana,900-912-29,49.7%,50.3%,+0.2
Charlotte,800-811-22,49.7%,50.3%,+0.4
LA Lakers,926-939-18,49.7%,50.4%,-0.1
San Antonio,936-950-27,49.6%,50.4%,+0.3
Golden State,914-933-23,49.5%,50.5%,+0.2
New York,859-878-16,49.5%,50.6%,+0.4
Philadelphia,881-901-25,49.4%,50.6%,-0.1
LA Clippers,887-909-31,49.4%,50.6%,+0.2
Detroit,879-902-31,49.4%,50.7%,0.0
Dallas,908-938-25,49.2%,50.8%,+0.2
Miami,950-983-19,49.2%,50.9%,-0.3
New Orleans,855-885-24,49.1%,50.9%,+0.1
Cleveland,908-944-18,49.0%,51.0%,+0.2
Brooklyn,872-907-20,49.0%,51.0%,+0.5
Chicago,868-914-18,48.7%,51.3%,+0.5
Houston,877-925-27,48.7%,51.3%,+0.2
Orlando,845-915-28,48.0%,52.0%,-0.3
Memphis,856-930-22,47.9%,52.1%,-0.2
