Team,ATS Record,Cover %,MOV,ATS +/-
Okla City,948-860-31,52.4%,1.0,+0.3
San Antonio,977-895-38,52.2%,3.7,+0.5
Boston,993-922-38,51.9%,3.0,+0.6
Golden State,946-883-38,51.7%,2.3,+0.3
Dallas,942-887-39,51.5%,2.1,+0.1
Denver,930-880-35,51.4%,1.9,+0.2
Miami,977-928-43,51.3%,1.8,+0.1
Memphis,909-864-31,51.3%,-0.4,+0.3
Indiana,915-880-42,51.0%,0.6,+0.3
New York,875-850-24,50.7%,-2.1,+0.2
Toronto,896-876-34,50.6%,0.4,+0.3
Utah,890-873-37,50.5%,1.0,+0.1
Philadelphia,894-881-30,50.4%,-1.1,+0.1
New Orleans,867-864-30,50.1%,-1.0,+0.2
Phoenix,897-895-28,50.1%,0.5,-0.1
Chicago,885-887-24,49.9%,-0.5,+0.1
Orlando,869-878-37,49.7%,-1.4,-0.1
Houston,894-906-26,49.7%,1.4,+0.2
Portland,867-891-27,49.3%,-1.2,-0.3
Sacramento,835-858-41,49.3%,-2.4,-0.4
Charlotte,787-809-33,49.3%,-3.5,-0.1
Detroit,870-897-41,49.2%,-1.1,-0.2
Cleveland,901-930-36,49.2%,0.2,-0.3
Brooklyn,864-896-35,49.1%,-2.1,-0.4
Milwaukee,873-906-35,49.1%,0.2,-0.5
LA Clippers,884-919-20,49.0%,0.8,-0.1
Atlanta,870-934-19,48.2%,-1.5,-0.4
Washington,823-913-37,47.4%,-2.5,-0.3
LA Lakers,871-976-32,47.2%,0.3,-0.4
Minnesota,804-915-27,46.8%,-1.9,-0.4
