Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team DraftKings_current_season,Away Team Covers_current_season,Home Team DraftKings_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Odds_current_season,Home Team Underdog_current_season,Away Team Team_current_season,Away Team all_games_ATS Record_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_ATS Record_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team Team_current_season,Home Team all_games_ATS Record_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_ATS Record_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Odds_current_season,Underdog is_dog ATS Record_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Odds_current_season,Favorite is_fav ATS Record_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Rank_all_time,Hotness Score_all_time,Time_all_time,Location_all_time,Away Team Rank_all_time,Away Team_all_time,Home Team Rank_all_time,Home Team_all_time,Away Team DraftKings_all_time,Away Team Covers_all_time,Home Team DraftKings_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Away Team Odds_all_time,Away Team Underdog_all_time,Home Team Spread_all_time,Home Team Odds_all_time,Home Team Underdog_all_time,Away Team Team_all_time,Away Team all_games_ATS Record_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_ATS Record_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team Team_all_time,Home Team all_games_ATS Record_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_ATS Record_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Team_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Odds_all_time,Underdog is_dog ATS Record_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Team_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Odds_all_time,Favorite is_fav ATS Record_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Rank_last_10_seasons,Hotness Score_last_10_seasons,Time_last_10_seasons,Location_last_10_seasons,Away Team Rank_last_10_seasons,Away Team_last_10_seasons,Home Team Rank_last_10_seasons,Home Team_last_10_seasons,Away Team DraftKings_last_10_seasons,Away Team Covers_last_10_seasons,Home Team DraftKings_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Away Team Odds_last_10_seasons,Away Team Underdog_last_10_seasons,Home Team Spread_last_10_seasons,Home Team Odds_last_10_seasons,Home Team Underdog_last_10_seasons,Away Team Team_last_10_seasons,Away Team all_games_ATS Record_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_ATS Record_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team Team_last_10_seasons,Home Team all_games_ATS Record_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_ATS Record_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Team_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Odds_last_10_seasons,Underdog is_dog ATS Record_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Team_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Odds_last_10_seasons,Favorite is_fav ATS Record_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons
1,99.7,10:00 PM,Climate Pledge Arena,1,Gonzaga,8,Kentucky,Gonzaga,Gonzaga,Kentucky,Kentucky,-6,−112,False,+6,−108,True,Gonzaga,6-2-0,75.0%,24.3,6.3,1-0-0,100.0%,13.0,2.0,Kentucky,4-4-0,50.0%,24.5,5.1,3-3-0,50.0%,32.5,+5.8,Kentucky,+6,−108,1-0-0,100.0%,5.0,10.5,Gonzaga,-6,−112,6-2-0,75.0%,24.3,6.3,1,99.7,10:00 PM,Climate Pledge Arena,1,Gonzaga,8,Kentucky,Gonzaga,Gonzaga,Kentucky,Kentucky,-6,−112,False,+6,−108,True,Gonzaga,459-411-20,52.8%,14.3,1.2,141-140-7,50.2%,9.3,1.3,Kentucky,453-437-21,50.9%,10.2,0.5,198-206-10,49.0%,15.9,0.1,Kentucky,+6,−108,80-69-2,53.7%,-2.4,2.1,Gonzaga,-6,−112,395-361-20,52.3%,15.5,1.1,1,99.7,10:00 PM,Climate Pledge Arena,1,Gonzaga,8,Kentucky,Gonzaga,Gonzaga,Kentucky,Kentucky,-6,−112,False,+6,−108,True,Gonzaga,184-164-9,52.9%,18.1,1.6,48-46-3,51.1%,15.1,2.7,Kentucky,174-172-6,50.3%,10.8,0.5,88-89-2,49.7%,16.6,0.6,Kentucky,+6,−108,30-24-1,55.6%,-1.7,2.4,Gonzaga,-6,−112,176-152-9,53.7%,18.9,1.8
2,97.4,1:30 PM,Fiserv Forum,36,Wisconsin,10,Marquette,Wisconsin,Wisconsin,Marquette,Marquette,+6.5,−108,True,-6.5,−112,False,Wisconsin,5-4-0,55.6%,13.9,1.5,0,0,0.0,0.0,Marquette,6-2-1,75.0%,17.3,2.6,4-1-1,80.0%,25.3,+2.8,Wisconsin,+6.5,−108,2-0-0,100.0%,10.5,14.0,Marquette,-6.5,−112,5-1-1,83.3%,23.3,3.1,2,97.4,1:30 PM,Fiserv Forum,36,Wisconsin,10,Marquette,Wisconsin,Wisconsin,Marquette,Marquette,+6.5,−108,True,-6.5,−112,False,Wisconsin,449-411-22,52.2%,7.0,0.6,155-146-7,51.5%,0.1,0.4,Marquette,420-378-14,52.6%,5.5,0.4,195-193-5,50.3%,11.3,0.2,Wisconsin,+6.5,−108,134-113-12,54.3%,-3.1,1.7,Marquette,-6.5,−112,245-235-9,51.0%,9.6,0.2,2,97.4,1:30 PM,Fiserv Forum,36,Wisconsin,10,Marquette,Wisconsin,Wisconsin,Marquette,Marquette,+6.5,−108,True,-6.5,−112,False,Wisconsin,171-168-11,50.4%,6.1,0.2,56-55-4,50.5%,-0.1,0.2,Marquette,171-159-5,51.8%,4.8,0.4,88-86-1,50.6%,10.3,0.4,Wisconsin,+6.5,−108,57-46-6,55.3%,-2.1,2.5,Marquette,-6.5,−112,107-97-2,52.5%,10.9,0.5
3,96.5,12:00 PM,Jack Breslin Student Events Center,46,Nebraska,31,Michigan St,Nebraska,Nebraska,Michigan State,Michigan St.,+7,−110,True,-7,−110,False,Nebraska,3-4-0,42.9%,15.3,1.1,1-0-0,100.0%,11.0,21.0,Michigan St,5-4-0,55.6%,11.4,0.9,2-2-0,50.0%,20.5,-2.4,Nebraska,+7,−110,2-0-0,100.0%,4.0,11.0,Michigan St,-7,−110,4-3-0,57.1%,15.4,0.3,3,96.5,12:00 PM,Jack Breslin Student Events Center,46,Nebraska,31,Michigan St,Nebraska,Nebraska,Michigan State,Michigan St.,+7,−110,True,-7,−110,False,Nebraska,364-376-12,49.2%,0.6,-0.1,126-175-4,41.9%,-9.2,-1.3,Michigan St,471-416-13,53.1%,8.7,0.5,218-172-4,55.9%,15.5,1.1,Nebraska,+7,−110,209-237-7,46.9%,-8.4,-0.4,Michigan St,-7,−110,367-311-10,54.1%,11.3,0.5,3,96.5,12:00 PM,Jack Breslin Student Events Center,46,Nebraska,31,Michigan St,Nebraska,Nebraska,Michigan State,Michigan St.,+7,−110,True,-7,−110,False,Nebraska,156-158-4,49.7%,-0.1,0.0,50-66-1,43.1%,-8.9,-0.4,Michigan St,188-163-3,53.6%,8.0,0.4,96-63-1,60.4%,15.2,1.3,Nebraska,+7,−110,89-98-2,47.6%,-8.4,-0.2,Michigan St,-7,−110,149-117-2,56.0%,11.8,0.6
3,96.5,2:00 PM,Crisler Center,47,Iowa,20,Michigan,Iowa,Iowa,Michigan,Michigan,+9.5,−110,True,-9.5,−110,False,Iowa,3-5-0,37.5%,14.6,-2.7,0,0,0.0,0.0,Michigan,6-2-0,75.0%,18.5,6.9,3-1-0,75.0%,27.5,+6.9,Iowa,+9.5,−110,0,0,0.0,0.0,Michigan,-9.5,−110,5-2-0,71.4%,20.7,7.0,3,96.5,2:00 PM,Crisler Center,47,Iowa,20,Michigan,Iowa,Iowa,Michigan,Michigan,+9.5,−110,True,-9.5,−110,False,Iowa,400-419-19,48.8%,4.4,0.1,129-164-7,44.0%,-4.0,-0.4,Michigan,430-405-11,51.5%,3.9,0.5,209-183-4,53.3%,9.6,0.4,Iowa,+9.5,−110,167-183-6,47.7%,-6.0,0.3,Michigan,-9.5,−110,256-224-6,53.3%,9.7,0.5,3,96.5,2:00 PM,Crisler Center,47,Iowa,20,Michigan,Iowa,Iowa,Michigan,Michigan,+9.5,−110,True,-9.5,−110,False,Iowa,164-161-9,50.5%,6.3,0.6,47-60-2,43.9%,-2.0,0.5,Michigan,178-165-2,51.9%,6.0,0.7,83-77-2,51.9%,11.1,0.1,Iowa,+9.5,−110,51-64-4,44.4%,-4.7,0.5,Michigan,-9.5,−110,125-108-1,53.7%,10.4,0.4
5,96.1,5:30 PM,Fertitta Center,62,Butler,5,Houston,Butler,Butler,Houston,Houston,+17.5,−112,True,-17.5,−108,False,Butler,5-3-0,62.5%,12.8,3.8,0,0,0.0,0.0,Houston,3-4-0,42.9%,19.6,0.1,3-0-0,100.0%,46.3,+14.0,Butler,+17.5,−112,3-0-0,100.0%,7.7,11.8,Houston,-17.5,−108,3-4-0,42.9%,19.6,0.1,5,96.1,5:30 PM,Fertitta Center,62,Butler,5,Houston,Butler,Butler,Houston,Houston,+17.5,−112,True,-17.5,−108,False,Butler,429-394-21,52.1%,5.8,0.7,145-162-10,47.2%,-0.1,-0.3,Houston,402-362-15,52.6%,4.8,1.1,194-149-10,56.6%,11.0,2.1,Butler,+17.5,−112,144-128-7,52.9%,-5.2,0.4,Houston,-17.5,−108,237-191-11,55.4%,11.9,1.5,5,96.1,5:30 PM,Fertitta Center,62,Butler,5,Houston,Butler,Butler,Houston,Houston,+17.5,−112,True,-17.5,−108,False,Butler,165-158-5,51.1%,3.6,0.1,51-56-2,47.7%,-4.3,-1.1,Houston,182-144-7,55.8%,12.3,2.4,90-59-6,60.4%,18.7,3.8,Butler,+17.5,−112,62-72-2,46.3%,-7.4,-1.5,Houston,-17.5,−108,150-118-7,56.0%,14.6,2.2
6,95.2,7:00 PM,Jon M. Huntsman Center,55,St Marys,41,Utah,Saint Marys,Saint Mary'S,Utah,Utah,+3.5,−112,True,-3.5,−108,False,St Marys,2-6-0,25.0%,14.9,-0.8,0,0,0.0,0.0,Utah,6-1-0,85.7%,26.7,4.1,5-1-0,83.3%,32.0,+4.3,St Marys,+3.5,−112,0,0,0.0,0.0,Utah,-3.5,−108,5-1-0,83.3%,32.0,4.3,6,95.2,7:00 PM,Jon M. Huntsman Center,55,St Marys,41,Utah,Saint Marys,Saint Mary'S,Utah,Utah,+3.5,−112,True,-3.5,−108,False,St Marys,401-383-14,51.2%,6.7,0.3,159-127-5,55.6%,1.1,1.1,Utah,407-373-23,52.2%,5.2,0.4,211-157-11,57.3%,12.5,2.0,St Marys,+3.5,−112,102-130-1,44.0%,-8.8,-1.3,Utah,-3.5,−108,254-216-9,54.0%,10.9,0.9,6,95.2,7:00 PM,Jon M. Huntsman Center,55,St Marys,41,Utah,Saint Marys,Saint Mary'S,Utah,Utah,+3.5,−112,True,-3.5,−108,False,St Marys,171-149-7,53.4%,10.2,1.0,56-39-2,59.0%,6.6,1.9,Utah,162-154-11,51.3%,5.7,0.4,92-67-7,57.9%,14.2,3.0,St Marys,+3.5,−112,24-32-1,42.9%,-7.8,-1.6,Utah,-3.5,−108,112-85-5,56.9%,13.2,2.2
7,94.6,12:00 PM,Value City Arena,67,Rutgers,24,Ohio St,Rutgers,Rutgers,Ohio State,Ohio St.,+4.5,−108,True,-4.5,−112,False,Rutgers,3-4-1,42.9%,6.4,-2.5,0-1-0,0.0%,-2.0,-13.5,Ohio St,5-3-0,62.5%,16.3,5.4,4-1-0,80.0%,32.0,+12.1,Rutgers,+4.5,−108,2-0-0,100.0%,-4.5,4.0,Ohio St,-4.5,−112,4-1-0,80.0%,32.0,12.1,7,94.6,12:00 PM,Value City Arena,67,Rutgers,24,Ohio St,Rutgers,Rutgers,Ohio State,Ohio St.,+4.5,−108,True,-4.5,−112,False,Rutgers,361-384-11,48.5%,-0.6,-0.6,143-156-3,47.8%,-8.8,-0.8,Ohio St,437-414-14,51.4%,7.4,0.6,225-198-8,53.2%,14.0,1.0,Rutgers,+4.5,−108,231-237-4,49.4%,-8.5,-0.3,Ohio St,-4.5,−112,301-278-10,52.0%,11.5,0.6,7,94.6,12:00 PM,Value City Arena,67,Rutgers,24,Ohio St,Rutgers,Rutgers,Ohio State,Ohio St.,+4.5,−108,True,-4.5,−112,False,Rutgers,150-153-6,49.5%,-0.4,-0.4,49-64-1,43.4%,-9.6,-1.8,Ohio St,162-173-5,48.4%,6.1,0.3,92-84-3,52.3%,12.9,1.1,Rutgers,+4.5,−108,91-90-1,50.3%,-8.8,-0.2,Ohio St,-4.5,−112,111-109-3,50.5%,11.8,0.6
8,93.8,11:30 AM,Carnesecca Arena,70,Kansas St,29,St Johns,Kansas State,Kansas State,Saint Johns,St. John'S,+10,−108,True,-10,−112,False,Kansas St,3-5-0,37.5%,14.6,-5.3,0,0,0.0,0.0,St Johns,5-3-0,62.5%,15.5,1.5,3-2-0,60.0%,20.6,+1.0,Kansas St,+10,−108,0,0,0.0,0.0,St Johns,-10,−112,4-3-0,57.1%,17.9,1.5,8,93.8,11:30 AM,Carnesecca Arena,70,Kansas St,29,St Johns,Kansas State,Kansas State,Saint Johns,St. John'S,+10,−108,True,-10,−112,False,Kansas St,389-374-16,51.0%,3.6,0.4,136-139-8,49.5%,-5.6,-0.3,St Johns,387-393-16,49.6%,1.4,-0.1,187-205-9,47.7%,5.9,-0.5,Kansas St,+10,−108,182-174-7,51.1%,-6.3,0.7,St Johns,-10,−112,175-190-8,48.0%,8.2,-0.6,8,93.8,11:30 AM,Carnesecca Arena,70,Kansas St,29,St Johns,Kansas State,Kansas State,Saint Johns,St. John'S,+10,−108,True,-10,−112,False,Kansas St,168-156-5,51.9%,2.1,0.1,62-47-1,56.9%,-5.3,0.5,St Johns,156-161-9,49.2%,1.8,0.0,78-79-6,49.7%,7.3,0.2,Kansas St,+10,−108,86-67-1,56.2%,-5.8,1.2,St Johns,-10,−112,81-79-5,50.6%,10.1,-0.1
9,92.4,12:00 PM,Watsco Center,30,Clemson,78,Miami,Clemson,Clemson,Miami FL,Miami-Florida,-4.5,−112,False,+4.5,−108,True,Clemson,5-4-0,55.6%,15.1,1.0,0-1-0,0.0%,-13.0,-9.5,Miami,2-6-0,25.0%,8.0,-7.3,2-3-0,40.0%,17.6,-5.0,Miami,+4.5,−108,1-1-0,50.0%,-5.0,-1.3,Clemson,-4.5,−112,4-3-0,57.1%,20.7,1.9,9,92.4,12:00 PM,Watsco Center,30,Clemson,78,Miami,Clemson,Clemson,Miami FL,Miami-Florida,-4.5,−112,False,+4.5,−108,True,Clemson,384-379-14,50.3%,4.1,0.3,135-146-7,48.0%,-3.9,-0.5,Miami,404-369-19,52.3%,4.1,0.3,171-177-9,49.1%,8.8,-0.4,Miami,+4.5,−108,195-142-8,57.9%,-4.3,1.8,Clemson,-4.5,−112,218-227-4,49.0%,8.6,0.2,9,92.4,12:00 PM,Watsco Center,30,Clemson,78,Miami,Clemson,Clemson,Miami FL,Miami-Florida,-4.5,−112,False,+4.5,−108,True,Clemson,164-149-6,52.4%,4.7,0.8,44-58-2,43.1%,-3.6,-1.0,Miami,163-167-6,49.4%,3.4,-0.6,72-80-5,47.4%,8.3,-1.3,Miami,+4.5,−108,73-60-1,54.9%,-5.2,0.8,Clemson,-4.5,−112,100-93-2,51.8%,9.2,0.7
10,92.1,4:00 PM,Lenovo Center,64,Florida St,68,Nc State,Florida State,Florida State,North Carolina State,NC State,+5,−110,True,N/A,N/A,False,Florida St,6-3-0,66.7%,12.3,5.3,0-1-0,0.0%,-10.0,-5.5,Nc State,3-5-0,37.5%,9.1,-0.6,3-3-0,50.0%,15.7,+0.9,Florida St,+5,−110,0-2-0,0.0%,-11.5,-6.5,Nc State,N/A,N/A,3-2-0,60.0%,19.6,1.4,10,92.1,4:00 PM,Lenovo Center,64,Florida St,68,Nc State,Florida State,Florida State,North Carolina State,NC State,+5,−110,True,N/A,N/A,False,Florida St,396-393-17,50.2%,3.0,-0.2,139-149-6,48.3%,-4.8,-0.9,Nc State,394-409-23,49.1%,3.8,0.3,187-214-13,46.6%,9.5,-0.3,Florida St,+5,−110,188-170-5,52.5%,-6.6,0.5,Nc State,N/A,N/A,201-218-12,48.0%,9.0,-0.3,10,92.1,4:00 PM,Lenovo Center,64,Florida St,68,Nc State,Florida State,Florida State,North Carolina State,NC State,+5,−110,True,N/A,N/A,False,Florida St,161-164-7,49.5%,4.1,-0.2,42-61-3,40.8%,-4.2,-1.8,Nc State,150-173-9,46.4%,3.7,0.3,76-94-3,44.7%,9.1,-0.1,Florida St,+5,−110,56-56-0,50.0%,-5.3,0.8,Nc State,N/A,N/A,85-98-3,46.5%,10.0,-0.1
10,92.1,4:00 PM,CenturyLink Arena Boise,58,Boise St,77,Wash State,Boise State,Boise St.,Washington State,Washington St.,-8.5,−110,False,+8.5,−110,True,Boise St,2-5-0,28.6%,14.6,-1.4,0-1-0,0.0%,-11.0,-13.0,Wash State,5-4-0,55.6%,8.0,2.8,3-1-0,75.0%,15.5,+4.8,Wash State,+8.5,−110,1-2-0,33.3%,-5.3,1.8,Boise St,-8.5,−110,2-5-0,28.6%,11.7,-1.4,10,92.1,4:00 PM,CenturyLink Arena Boise,58,Boise St,77,Wash State,Boise State,Boise St.,Washington State,Washington St.,-8.5,−110,False,+8.5,−110,True,Boise St,388-376-13,50.8%,4.6,0.7,178-155-6,53.5%,-1.4,1.2,Wash State,374-406-12,48.0%,-0.4,0.1,193-184-2,51.2%,5.0,0.7,Wash State,+8.5,−110,212-240-10,46.9%,-8.6,-0.3,Boise St,-8.5,−110,216-223-8,49.2%,8.6,0.3,10,92.1,4:00 PM,CenturyLink Arena Boise,58,Boise St,77,Wash State,Boise State,Boise St.,Washington State,Washington St.,-8.5,−110,False,+8.5,−110,True,Boise St,165-146-6,53.1%,7.3,1.3,69-54-2,56.1%,1.2,1.4,Wash State,153-169-4,47.5%,-0.5,0.3,83-79-1,51.2%,5.0,1.3,Wash State,+8.5,−110,86-95-3,47.5%,-8.2,0.0,Boise St,-8.5,−110,106-102-4,51.0%,10.0,1.0
12,89.7,2:00 PM,Dean E. Smith Center,111,Ga Tech,19,N Carolina,Georgia Tech,Georgia Tech,North Carolina,North Carolina,+17.5,−112,True,-17.5,−108,False,Ga Tech,2-6-0,25.0%,3.4,-5.9,0-1-0,0.0%,-15.0,-3.0,N Carolina,3-5-0,37.5%,6.5,-2.6,1-2-0,33.3%,17.0,-1.0,Ga Tech,+17.5,−112,0-3-0,0.0%,-15.3,-8.3,N Carolina,-17.5,−108,2-4-0,33.3%,11.3,-2.8,12,89.7,2:00 PM,Dean E. Smith Center,111,Ga Tech,19,N Carolina,Georgia Tech,Georgia Tech,North Carolina,North Carolina,+17.5,−112,True,-17.5,−108,False,Ga Tech,397-382-9,51.0%,1.5,-0.1,157-146-4,51.8%,-5.6,0.7,N Carolina,475-438-18,52.0%,9.3,0.5,213-182-6,53.9%,14.5,0.4,Ga Tech,+17.5,−112,237-214-7,52.6%,-6.6,0.5,N Carolina,-17.5,−108,397-335-14,54.2%,12.2,0.6,12,89.7,2:00 PM,Dean E. Smith Center,111,Ga Tech,19,N Carolina,Georgia Tech,Georgia Tech,North Carolina,North Carolina,+17.5,−112,True,-17.5,−108,False,Ga Tech,166-145-4,53.4%,-0.2,0.3,67-51-1,56.8%,-5.9,1.6,N Carolina,187-172-11,52.1%,8.7,0.6,79-71-4,52.7%,13.5,0.2,Ga Tech,+17.5,−112,107-94-3,53.2%,-6.4,0.6,N Carolina,-17.5,−108,160-137-9,53.9%,11.4,0.6
13,89.1,2:15 PM,Moody Coliseum,106,Virginia,48,S Methodist,Virginia,Virginia,SMU,Southern Methodist,+10,−112,True,-10,−108,False,Virginia,2-6-0,25.0%,0.8,-2.8,0-1-0,0.0%,-18.0,-0.5,S Methodist,4-5-0,44.4%,16.6,2.2,3-3-0,50.0%,23.5,+4.8,Virginia,+10,−112,1-3-0,25.0%,-13.8,-2.6,S Methodist,-10,−108,4-4-0,50.0%,19.3,2.9,13,89.1,2:15 PM,Moody Coliseum,106,Virginia,48,S Methodist,Virginia,Virginia,SMU,Southern Methodist,+10,−112,True,-10,−108,False,Virginia,389-384-17,50.3%,5.2,-0.3,144-146-7,49.7%,-2.7,-0.7,S Methodist,345-360-18,48.9%,3.5,-0.4,162-177-11,47.8%,9.0,0.0,Virginia,+10,−112,125-135-6,48.1%,-8.4,-1.1,S Methodist,-10,−108,200-206-12,49.3%,8.4,-0.2,13,89.1,2:15 PM,Moody Coliseum,106,Virginia,48,S Methodist,Virginia,Virginia,SMU,Southern Methodist,+10,−112,True,-10,−108,False,Virginia,174-155-7,52.9%,8.8,-0.2,65-45-3,59.1%,3.3,0.3,S Methodist,143-152-8,48.5%,6.8,-0.2,76-75-5,50.3%,13.0,0.8,Virginia,+10,−112,26-28-1,48.2%,-6.1,-1.9,S Methodist,-10,−108,109-108-6,50.2%,10.8,0.5
13,89.1,4:00 PM,CHI Health Center Omaha,108,Unlv,42,Creighton,UNLV,UNLV,Creighton,Creighton,+9.5,−105,True,-9.5,−115,False,Unlv,1-5-1,16.7%,2.9,-3.5,0,0,0.0,0.0,Creighton,2-6-1,25.0%,9.0,-6.1,2-4-0,33.3%,16.5,-4.8,Unlv,+9.5,−105,0-2-0,0.0%,-13.5,-6.8,Creighton,-9.5,−115,1-6-0,14.3%,10.3,-10.2,13,89.1,4:00 PM,CHI Health Center Omaha,108,Unlv,42,Creighton,UNLV,UNLV,Creighton,Creighton,+9.5,−105,True,-9.5,−115,False,Unlv,362-354-14,50.6%,4.5,-0.1,139-124-4,52.9%,-1.8,0.5,Creighton,443-392-16,53.1%,7.2,0.6,207-183-9,53.1%,13.3,1.0,Unlv,+9.5,−105,135-128-6,51.3%,-5.8,0.3,Creighton,-9.5,−115,313-286-12,52.3%,9.4,0.2,13,89.1,4:00 PM,CHI Health Center Omaha,108,Unlv,42,Creighton,UNLV,UNLV,Creighton,Creighton,+9.5,−105,True,-9.5,−115,False,Unlv,151-160-7,48.6%,2.6,-0.4,53-55-3,49.1%,-3.4,-0.4,Creighton,180-159-5,53.1%,6.9,0.9,91-76-2,54.5%,13.6,1.7,Unlv,+9.5,−105,65-69-4,48.5%,-7.3,-0.4,Creighton,-9.5,−115,126-107-2,54.1%,11.4,0.8
15,88.2,12:00 PM,Thomas M. Ryan Center,79,Providence,93,Rhode Island,Providence,Providence,Rhode Island,Rhode Island,-2,−110,False,+2,−110,True,Providence,4-5-0,44.4%,8.2,-2.9,0,0,0.0,0.0,Rhode Island,3-4-0,42.9%,19.1,6.0,3-2-0,60.0%,23.7,+11.4,Rhode Island,+2,−110,0,0,0.0,0.0,Providence,-2,−110,2-4-0,33.3%,12.2,-6.4,15,88.2,12:00 PM,Thomas M. Ryan Center,79,Providence,93,Rhode Island,Providence,Providence,Rhode Island,Rhode Island,-2,−110,False,+2,−110,True,Providence,394-402-15,49.5%,2.6,0.4,161-129-7,55.5%,-3.1,1.4,Rhode Island,365-416-13,46.7%,0.8,-0.5,154-198-5,43.8%,4.8,-1.3,Rhode Island,+2,−110,183-197-5,48.2%,-7.5,-0.2,Providence,-2,−110,183-218-10,45.6%,7.7,-0.7,15,88.2,12:00 PM,Thomas M. Ryan Center,79,Providence,93,Rhode Island,Providence,Providence,Rhode Island,Rhode Island,-2,−110,False,+2,−110,True,Providence,175-156-5,52.9%,3.6,0.8,63-43-2,59.4%,-1.7,1.9,Rhode Island,145-167-2,46.5%,3.3,-0.4,73-73-1,50.0%,7.7,-0.5,Rhode Island,+2,−110,47-67-1,41.2%,-6.0,-0.7,Providence,-2,−110,85-97-3,46.7%,8.6,-0.6
16,88.1,12:00 PM,Purcell Pavilion at the Joyce Center,97,Syracuse,73,Notre Dame,Syracuse,Syracuse,Notre Dame,Notre Dame,+4.5,−108,True,-4.5,−112,False,Syracuse,3-4-0,42.9%,-1.4,-3.0,0-1-0,0.0%,-26.0,-3.5,Notre Dame,4-4-1,50.0%,3.6,-2.3,1-3-0,25.0%,12.0,-9.0,Syracuse,+4.5,−108,2-1-0,66.7%,-11.7,3.2,Notre Dame,-4.5,−112,2-3-0,40.0%,13.8,-3.6,16,88.1,12:00 PM,Purcell Pavilion at the Joyce Center,97,Syracuse,73,Notre Dame,Syracuse,Syracuse,Notre Dame,Notre Dame,+4.5,−108,True,-4.5,−112,False,Syracuse,425-425-13,50.0%,6.6,0.1,136-127-3,51.7%,-0.1,0.4,Notre Dame,389-400-18,49.3%,5.0,0.0,176-199-11,46.9%,10.8,-0.7,Syracuse,+4.5,−108,126-121-6,51.0%,-4.0,1.4,Notre Dame,-4.5,−112,201-243-13,45.3%,8.1,-1.1,16,88.1,12:00 PM,Purcell Pavilion at the Joyce Center,97,Syracuse,73,Notre Dame,Syracuse,Syracuse,Notre Dame,Notre Dame,+4.5,−108,True,-4.5,−112,False,Syracuse,156-166-5,48.5%,3.4,0.2,46-57-1,44.7%,-4.1,-0.4,Notre Dame,157-162-8,49.2%,3.8,-0.4,70-82-3,46.1%,9.4,-1.3,Syracuse,+4.5,−108,62-67-4,48.1%,-5.5,0.9,Notre Dame,-4.5,−112,77-96-4,44.5%,8.0,-1.7
