Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-,all_games_ATS Record_numeric,equal_rest_ATS Record_numeric,four_plus_days_off_ATS Record_numeric,is_after_loss_ATS Record_numeric,is_after_win_ATS Record_numeric,is_away_ATS Record_numeric,is_dog_ATS Record_numeric,is_fav_ATS Record_numeric,is_home_ATS Record_numeric,no_rest_ATS Record_numeric,one_day_off_ATS Record_numeric,rest_advantage_ATS Record_numeric,rest_disadvantage_ATS Record_numeric,two_three_days_off_ATS Record_numeric,Home_Away_Advantage,Rest_Days_Advantage,Momentum_all_games_ATS Record_numeric_Last5,Matchup_Strength_Diff
Okla City,948-860-31,1.0,0.625,0.7272727272727273,501-434-14,1.0,0.6935483870967742,0.9285714285714286,35-25-2,0.7712609970674488,0.5849056603773585,0.527027027027027,435-388-19,0.6962025316455698,0.5652173913043479,0.5714285714285715,501-463-11,0.8888888888888893,0.6714285714285713,0.7272727272727272,468-422-17,0.7432432432432439,0.6142857142857143,0.5,432-386-21,0.765432098765432,0.3157894736842106,0.34782608695652173,509-473-10,0.8072289156626509,0.6585365853658537,0.6818181818181818,470-430-14,0.8265306122448983,0.6184210526315789,0.7777777777777778,174-164-7,0.6767676767676765,0.4810126582278481,0.5151515151515151,567-521-15,0.8550724637681153,0.6617647058823529,0.8125,214-206-9,0.7105263157894735,0.6136363636363636,0.5909090909090909,233-220-8,0.5413533834586461,0.5411764705882353,0.5,172-150-7,0.7878787878787881,0.6867469879518071,0.7297297297297297,103.5,74.0,11.0,56.5,43.5,54.5,56.5,41.0,47.0,13.5,53.5,12.5,17.0,25.5,0.004135338345864548,0.07245989304812839,103.5,0.34274711168164307
San Antonio,976-895-38,0.9642857142857153,1.0,0.9090909090909091,529-481-21,0.8441558441558437,1.0,0.7857142857142858,39-32-0,0.6715542521994137,1.0,0.8378378378378377,365-331-18,0.6329113924050631,0.9710144927536233,0.7142857142857144,599-554-20,0.8888888888888893,0.9999999999999998,0.8181818181818181,471-460-17,0.4729729729729728,1.0,0.6,291-295-8,0.38271604938271686,0.3421052631578949,0.13043478260869565,681-594-30,1.0,1.0,1.0,500-427-20,1.0,1.0,1.0,175-168-8,0.6262626262626263,0.9999999999999999,0.6363636363636364,582-528-23,0.8985507246376807,1.0,0.875,219-196-8,0.947368421052631,1.0,0.9090909090909091,228-218-9,0.5187969924812026,1.0,0.75,180-167-7,0.6742424242424243,0.9999999999999999,0.6756756756756757,100.0,58.5,7.0,43.0,55.0,19.5,0.0,102.0,83.0,11.0,65.5,27.0,14.5,16.5,0.0,0.0,101.75,0.6578947368421051
Boston,993-921-38,0.9107142857142865,0.9027777777777779,1.0,564-522-19,0.779220779220779,0.8387096774193549,0.7857142857142858,38-33-1,0.6304985337243404,0.8962264150943395,0.8783783783783783,423-374-8,0.7215189873417724,0.8985507246376812,0.6666666666666667,556-540-29,0.7283950617283956,0.8857142857142857,0.9090909090909091,510-431-15,0.9594594594594597,1.0,1.0,371-307-15,1.0,1.0,1.0,617-608-23,0.6385542168674698,0.6097560975609758,0.6363636363636364,468-479-22,0.5408163265306118,0.7631578947368421,0.6111111111111112,194-161-6,1.0,0.9620253164556961,1.0,583-554-18,0.7391304347826075,0.8970588235294118,0.8125,195-193-10,0.6184210526315788,0.9090909090909092,0.9090909090909091,234-206-9,0.6766917293233083,1.0,1.0,178-173-13,0.5833333333333335,0.8313253012048192,0.6216216216216216,91.0,51.5,5.5,53.0,30.5,86.5,71.5,20.5,0.0,36.0,38.0,7.0,32.5,11.5,-0.23684210526315785,-0.09090909090909083,98.16666666666667,-0.3902439024390242
Golden State,946-882-38,0.8928571428571423,0.8055555555555556,0.7272727272727273,487-440-20,0.8571428571428568,0.8548387096774195,0.8571428571428572,31-37-0,0.39882697947214096,0.5471698113207547,0.1756756756756756,428-362-13,0.8607594936708862,0.8405797101449275,1.0,507-509-25,0.6296296296296298,0.7857142857142856,0.4545454545454545,453-457-19,0.364864864864864,0.7428571428571429,0.4,393-354-16,0.7407407407407414,0.42105263157894757,0.3913043478260869,550-523-22,0.7469879518072284,0.9024390243902439,0.7272727272727272,492-425-19,0.9795918367346941,0.8289473684210527,0.9444444444444444,186-170-8,0.7575757575757569,0.6835443037974683,0.6666666666666667,533-512-22,0.695652173913043,0.8382352941176471,0.75,240-217-13,0.9078947368421053,0.8295454545454546,0.6363636363636364,219-225-5,0.38345864661654083,0.6588235294117646,0.5357142857142857,196-163-8,0.8787878787878789,0.9277108433734939,0.7567567567567567,83.0,57.0,-6.0,72.5,10.5,5.5,47.0,38.0,76.5,20.0,32.0,29.5,-3.5,37.0,0.08609022556390977,0.17072192513369,94.375,0.48138639281129636
Dallas,941-887-39,0.8392857142857153,0.7777777777777779,0.5454545454545454,496-474-21,0.675324675324676,0.7419354838709677,0.7142857142857144,29-35-1,0.39002932551319647,0.5188679245283019,0.39189189189189183,420-339-20,1.0,1.0,1.0,510-537-19,0.48148148148148184,0.6142857142857142,0.3636363636363636,498-416-14,1.0,0.8285714285714285,0.65,384-318-10,1.0,0.8157894736842107,0.6956521739130436,552-562-29,0.5421686746987957,0.46341463414634154,0.40909090909090906,437-462-24,0.45918367346938727,0.7236842105263158,0.5,176-165-7,0.6868686868686869,0.7341772151898733,0.5454545454545454,556-526-24,0.753623188405796,0.7941176470588236,0.6875,210-200-8,0.7368421052631584,0.8522727272727273,0.5909090909090909,235-213-10,0.6240601503759398,0.776470588235294,0.5357142857142857,180-161-7,0.7424242424242422,0.8192771084337348,0.7297297297297297,73.5,32.5,-5.5,91.0,-17.5,89.0,71.0,4.5,-13.0,14.5,42.0,14.0,27.0,22.5,-0.1048872180451127,0.07580213903743327,90.2,-0.3523748395378692
Denver,930-879-35,0.8214285714285712,0.75,0.6363636363636364,482-435-13,0.8701298701298708,0.7741935483870968,0.8571428571428572,43-23-2,0.9736070381231675,0.9245283018867925,0.9999999999999998,403-365-10,0.6455696202531644,0.8840579710144928,0.5714285714285715,513-507-24,0.6790123456790118,0.6285714285714286,0.5909090909090908,445-442-20,0.4189189189189193,0.6285714285714286,0.30000000000000004,381-350-16,0.6790123456790127,0.6578947368421053,0.4782608695652174,543-526-19,0.6867469879518069,0.5609756097560977,0.5454545454545454,468-427-14,0.8367346938775508,0.8552631578947368,0.8888888888888888,162-187-7,0.16161616161616177,0.4430379746835443,0.12121212121212122,564-499-20,1.0,0.8676470588235294,1.0,233-205-13,1.0,0.8409090909090908,0.7272727272727273,215-239-9,0.24060150375939804,0.6,0.2857142857142857,161-170-6,0.4242424242424243,0.7349397590361444,0.45945945945945943,68.5,53.5,21.0,43.0,18.0,13.0,39.0,26.5,48.0,-21.5,75.0,34.5,-19.5,-6.0,0.22669172932330828,0.24090909090909085,83.2,-0.09691912708600758
Miami,977-928-43,0.8035714285714288,0.7361111111111112,0.5454545454545454,542-508-22,0.7402597402597406,0.7903225806451614,0.7142857142857144,40-30-0,0.7360703812316717,0.8490566037735849,0.6756756756756755,436-366-18,0.8860759493670889,0.8695652173913044,0.7619047619047621,530-551-25,0.518518518518519,0.6428571428571428,0.4545454545454545,495-441-20,0.7837837837837833,0.7857142857142857,0.6,376-350-17,0.6419753086419746,0.6052631578947372,0.5217391304347827,598-575-26,0.7108433734939759,0.46341463414634154,0.49999999999999994,461-477-23,0.5204081632653059,0.6842105263157894,0.5,168-161-13,0.6363636363636367,0.6329113924050632,0.36363636363636365,575-559-23,0.6521739130434785,0.75,0.6875,213-205-8,0.7105263157894735,0.6704545454545454,0.5454545454545454,222-215-13,0.49624060150375904,0.7176470588235293,0.5,194-178-7,0.6969696969696972,0.7831325301204819,0.7297297297297297,70.5,45.0,10.0,79.0,-8.5,64.0,34.5,36.0,-4.5,13.5,27.5,12.0,13.5,19.5,-0.10150375939849632,-0.04719251336898389,77.3,-0.14184852374839563
Memphis,909-864-31,0.8035714285714288,0.4305555555555556,0.7272727272727273,466-484-19,0.4155844155844157,0.3709677419354839,0.6428571428571429,16-34-1,0.0,0.09433962264150941,0.0,442-436-13,0.367088607594936,0.42028985507246375,0.4285714285714286,462-411-18,1.0,0.48571428571428565,1.0,444-437-16,0.4459459459459456,0.4714285714285714,0.65,476-454-15,0.567901234567902,0.44736842105263164,0.5217391304347827,425-404-16,0.7469879518072284,0.2682926829268294,0.49999999999999994,462-421-15,0.8367346938775508,0.39473684210526316,0.6666666666666667,206-173-2,0.9696969696969688,0.430379746835443,0.5757575757575758,502-477-21,0.7391304347826075,0.45588235294117646,0.875,209-207-7,0.6052631578947372,0.5,0.5,234-173-5,1.0,0.4705882352941176,0.9642857142857142,185-180-7,0.5833333333333335,0.5301204819277108,0.7297297297297297,60.5,-8.5,-17.5,12.5,60.0,15.0,29.5,29.0,48.5,34.0,35.5,5.5,63.5,8.5,-0.07669172932330826,0.029411764705882415,71.2,-0.17907573812580224
Indiana,915-879-42,0.75,0.5694444444444445,0.7272727272727273,510-471-28,0.7922077922077921,0.6129032258064517,1.0,39-20-3,1.0,0.9433962264150944,0.8513513513513512,456-395-23,0.7848101265822791,0.7536231884057971,0.9047619047619049,444-477-19,0.41975308641975406,0.39999999999999997,0.4545454545454545,446-450-17,0.364864864864864,0.5285714285714285,0.4,438-423-24,0.5308641975308639,0.6315789473684212,0.5217391304347827,468-449-18,0.7108433734939759,0.3658536585365856,0.5909090909090908,462-421-25,0.8367346938775508,0.6052631578947368,1.0,175-208-5,0.09090909090909172,0.430379746835443,0.2121212121212121,506-499-24,0.6086956521739122,0.5588235294117647,0.75,206-205-10,0.5921052631578947,0.6136363636363636,0.7272727272727273,199-203-4,0.39849624060150335,0.4470588235294117,0.3571428571428571,195-152-10,1.0,0.7349397590361444,1.0,57.0,53.0,20.5,72.5,-23.5,4.5,27.0,28.0,53.5,-30.5,19.0,6.0,-2.0,48.0,0.07669172932330837,0.16657754010695197,66.0,-0.26572528883183566
New York,875-850-24,0.696428571428573,0.19444444444444448,0.6363636363636364,467-444-13,0.7012987012987013,0.14516129032258063,0.6428571428571429,29-24-1,0.6656891495601175,0.12264150943396235,0.41891891891891886,497-493-14,0.35443037974683556,0.21739130434782605,0.380952380952381,366-348-9,0.8024691358024691,0.24285714285714283,0.8181818181818181,450-409-14,0.7162162162162158,0.30000000000000004,0.8,542-543-18,0.4197530864197532,0.26315789473684226,0.34782608695652173,323-302-6,0.7951807228915673,0.14634146341463417,0.49999999999999994,424-440-10,0.5102040816326525,0.09210526315789473,0.33333333333333337,175-176-7,0.5151515151515147,0.25316455696202533,0.5454545454545454,516-488-12,0.753623188405796,0.22058823529411764,0.875,201-203-4,0.5526315789473681,0.2159090909090909,0.40909090909090906,207-203-7,0.4736842105263155,0.2941176470588235,0.75,155-162-4,0.4469696969696968,0.21686746987951802,0.43243243243243246,37.0,29.5,5.5,11.0,22.5,48.0,8.0,24.0,-11.0,2.5,34.0,0.0,7.5,-5.0,-0.2078947368421053,-0.07820855614973257,58.7,-0.11681643132220809
