Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,5-2-1,71.4%,-12.3,+1.6
St Peters,92-56-1,62.2%,-4.6,+2.5
Lipscomb,65-40-2,61.9%,-5.9,+2.7
Gard-Webb,67-42-0,61.5%,-6.6,+2.2
Oakland,84-54-2,60.9%,-7.2,+1.3
Providence,89-58-2,60.5%,-2.8,+2.6
Toledo,46-30-1,60.5%,-2.5,+2.2
Penn St,98-65-2,60.1%,-4.5,+2.1
SE Louisiana,75-51-0,59.5%,-9.8,+0.4
Seton Hall,80-55-0,59.3%,-4.1,+1.1
Florida A&M,90-62-0,59.2%,-11.6,+1.9
S Alabama,99-69-2,58.9%,-5.1,+1.8
W Kentucky,67-48-1,58.3%,-4.7,+1.6
Hofstra,50-36-3,58.1%,-4.5,+1.8
S Dakota St,50-36-2,58.1%,-5.2,+1.7
Temple,81-59-5,57.9%,-5.5,+1.3
S Car State,86-63-4,57.7%,-12.3,+1.6
Boise St,57-42-2,57.6%,-3.0,+1.9
N Florida,75-56-2,57.3%,-9.5,+1.7
Jksnville St,80-60-5,57.1%,-5.8,+2.1
NC Central,53-40-2,57.0%,-9.6,+0.3
Harvard,54-41-1,56.8%,-4.8,+1.5
TX-Arlington,76-58-3,56.7%,-5.7,+2.6
Loyola-Chi,56-43-1,56.6%,-4.6,+1.3
E Washingtn,76-59-1,56.3%,-6.9,+1.5
Kansas St,86-67-1,56.2%,-5.8,+1.2
TX A&M-Com,28-22-2,56.0%,-10.8,-0.1
Colgate,33-26-2,55.9%,-7.2,+1.7
Jackson St,68-54-3,55.7%,-12.0,+0.8
TX A&M-CC,64-51-0,55.7%,-7.5,+1.7
Kentucky,30-24-1,55.6%,-1.7,+2.4
Portland St,86-69-6,55.5%,-5.6,+1.1
IPFW,76-61-3,55.5%,-5.5,+0.9
Wichita St,41-33-4,55.4%,-5.4,+0.2
Stetson,82-66-6,55.4%,-8.4,+1.2
Houston,31-25-0,55.4%,-2.9,+3.2
Wisconsin,57-46-6,55.3%,-2.1,+2.5
Texas,68-55-1,55.3%,-3.6,+1.8
Army,63-51-3,55.3%,-6.1,+0.7
Buffalo,65-53-3,55.1%,-6.9,+1.0
Miami,73-60-1,54.9%,-5.2,+0.8
E Tenn St,62-51-2,54.9%,-4.8,+1.7
UC Davis,79-65-0,54.9%,-4.8,+1.9
Santa Clara,85-70-6,54.8%,-8.1,+0.4
Maine,86-71-4,54.8%,-10.7,+0.4
UAB,52-43-3,54.7%,-3.9,+2.2
Presbyterian,81-67-3,54.7%,-8.6,+0.2
Oregon,49-41-1,54.4%,-3.6,+1.1
Campbell,62-52-2,54.4%,-5.5,+1.3
Villanova,25-21-2,54.4%,-3.8,+0.2
Norfolk St,51-43-0,54.3%,-9.5,+0.5
Mississippi,77-65-1,54.2%,-4.9,+1.0
TX Southern,58-49-3,54.2%,-12.8,+1.8
Morehead St,78-66-5,54.2%,-8.2,+0.8
E Kentucky,78-66-2,54.2%,-7.9,+1.0
Notre Dame,78-66-4,54.2%,-5.1,+1.1
Arkansas St,96-82-4,53.9%,-6.6,+0.7
NW State,76-65-2,53.9%,-12.4,+0.4
SC Upstate,90-77-2,53.9%,-9.2,+0.5
Belmont,35-30-2,53.9%,-5.1,+0.9
N Arizona,120-103-5,53.8%,-9.8,-0.3
App State,92-79-6,53.8%,-6.0,+1.2
St Josephs,92-79-6,53.8%,-6.7,+0.6
Coastal Car,79-68-5,53.7%,-5.5,+0.5
American,65-56-1,53.7%,-6.7,+0.7
Loyola Mymt,88-76-7,53.7%,-8.9,-0.2
NC-Grnsboro,59-51-3,53.6%,-5.0,+2.0
Maryland BC,59-51-1,53.6%,-6.1,+2.2
Utah Valley,61-53-1,53.5%,-5.9,+2.0
Clemson,62-54-4,53.5%,-4.0,+0.9
