Team,Over Record,Over %,Under %,Total +/-
Atlanta,516-475-10,52.1%,47.9%,+0.9
Washington,485-450-18,51.9%,48.1%,+1.4
Utah,467-437-15,51.7%,48.3%,+0.5
Denver,473-444-15,51.6%,48.4%,+0.8
Minnesota,470-445-11,51.4%,48.6%,+0.2
Sacramento,434-412-15,51.3%,48.7%,+0.9
Milwaukee,475-452-17,51.2%,48.8%,+0.7
Okla City,480-457-12,51.2%,48.8%,+0.8
San Antonio,519-501-13,50.9%,49.1%,+0.5
New York,466-450-9,50.9%,49.1%,+1.2
Phoenix,454-448-11,50.3%,49.7%,-0.1
Miami,530-529-13,50.1%,50.0%,+0.1
New Orleans,443-443-13,50.0%,50.0%,+0.7
Portland,443-443-5,50.0%,50.0%,+0.5
Golden State,467-468-13,50.0%,50.1%,-0.4
Boston,544-556-6,49.5%,50.6%,0.0
Memphis,476-487-7,49.4%,50.6%,+0.4
Toronto,485-497-14,49.4%,50.6%,+0.5
Detroit,467-483-19,49.2%,50.8%,0.0
LA Lakers,458-477-8,49.0%,51.0%,-0.2
Dallas,479-502-11,48.8%,51.2%,+0.2
Indiana,485-510-16,48.7%,51.3%,+0.1
Chicago,457-486-10,48.5%,51.5%,0.0
LA Clippers,419-446-15,48.4%,51.6%,-0.5
Charlotte,425-455-13,48.3%,51.7%,0.0
Houston,458-497-14,48.0%,52.0%,-0.1
Brooklyn,449-494-14,47.6%,52.4%,+0.1
Orlando,449-501-14,47.3%,52.7%,-0.3
Cleveland,464-520-7,47.2%,52.9%,-0.3
Philadelphia,441-501-12,46.8%,53.2%,-0.9
