Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Sam Hous St,3-0-0,100.0%,0.0%,+17.2,3-0-0,100.0%,0.0%,17.2,2-0-0,100.0%,0.0%,+15.3,1-0-0,100.0%,0.0%,+8.5,1-0-0,100.0%,0.0%,+21.0,3-0-0,100.0%,0.0%,17.2,2-0-0,100.0%,0.0%,21.5,1-0-0,100.0%,0.0%,8.5,,,,,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+21.0
Lg Beach St,1-0-0,100.0%,0.0%,+13.0,1-0-0,100.0%,0.0%,13.0,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+13.0,1-0-0,100.0%,0.0%,13.0,1-0-0,100.0%,0.0%,13.0,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+13.0
LA Tech,1-0-0,100.0%,0.0%,+20.0,1-0-0,100.0%,0.0%,20.0,1-0-0,100.0%,0.0%,+20.0,,,,,1-0-0,100.0%,0.0%,+20.0,1-0-0,100.0%,0.0%,20.0,1-0-0,100.0%,0.0%,20.0,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,
Georgia,3-0-0,100.0%,0.0%,+12.2,2-0-0,100.0%,0.0%,14.3,2-0-0,100.0%,0.0%,+14.0,,,,,2-0-0,100.0%,0.0%,+8.3,,,,,,,,,3-0-0,100.0%,0.0%,12.2,3-0-0,100.0%,0.0%,+12.2,,,,,1-0-0,100.0%,0.0%,+8.5,1-0-0,100.0%,0.0%,+8.0,,,,,,,,
Wisconsin,3-0-0,100.0%,0.0%,+4.2,1-0-0,100.0%,0.0%,5.5,1-0-0,100.0%,0.0%,+5.5,,,,,2-0-0,100.0%,0.0%,+3.5,,,,,,,,,3-0-0,100.0%,0.0%,4.2,3-0-0,100.0%,0.0%,+4.2,,,,,,,,,,,,,2-0-0,100.0%,0.0%,3.5,2-0-0,100.0%,0.0%,+3.5
TX El Paso,1-0-0,100.0%,0.0%,+5.5,1-0-0,100.0%,0.0%,5.5,1-0-0,100.0%,0.0%,+5.5,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,+5.5,1-0-0,100.0%,0.0%,5.5,1-0-0,100.0%,0.0%,5.5,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,0-0-0,0.0%,0.0%,--
St Johns,2-0-0,100.0%,0.0%,+8.5,1-0-0,100.0%,0.0%,5.0,2-0-0,100.0%,0.0%,+8.5,,,,,1-0-0,100.0%,0.0%,+12.0,,,,,,,,,2-0-0,100.0%,0.0%,8.5,2-0-0,100.0%,0.0%,+8.5,,,,,,,,,1-0-0,100.0%,0.0%,+12.0,,,,,,,,
Canisius,2-0-0,100.0%,0.0%,+13.0,2-0-0,100.0%,0.0%,13.0,2-0-0,100.0%,0.0%,+13.0,1-0-0,100.0%,0.0%,+25.0,,,,,1-0-0,100.0%,0.0%,1.0,2-0-0,100.0%,0.0%,13.0,,,,,1-0-0,100.0%,0.0%,+25.0,,,,,,,,,,,,,,,,,,,,
Rhode Island,2-0-0,100.0%,0.0%,+11.5,2-0-0,100.0%,0.0%,11.5,1-0-0,100.0%,0.0%,+5.5,,,,,1-0-0,100.0%,0.0%,+17.5,,,,,,,,,2-0-0,100.0%,0.0%,11.5,2-0-0,100.0%,0.0%,+11.5,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+17.5
Wash State,3-0-0,100.0%,0.0%,+16.3,2-0-0,100.0%,0.0%,24.3,1-0-0,100.0%,0.0%,+38.5,,,,,2-0-0,100.0%,0.0%,+5.3,,,,,,,,,3-0-0,100.0%,0.0%,16.3,3-0-0,100.0%,0.0%,+16.3,,,,,,,,,,,,,1-0-0,100.0%,0.0%,0.5,2-0-0,100.0%,0.0%,+5.3
