Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Akron,5-0-0,100.0%,0.0%,16.2,3-0-0,100.0%,0.0%,20.0,2-0-0,100.0%,0.0%,+4.5,1-0-0,100.0%,0.0%,+2.5,3-0-0,100.0%,0.0%,+24.0,2-0-0,100.0%,0.0%,12.5,2-0-0,100.0%,0.0%,12.5,3-0-0,100.0%,0.0%,18.7,3-0-0,100.0%,0.0%,+18.7,2-0-0,100.0%,0.0%,+26.8,,,,,1-0-0,100.0%,0.0%,+2.5,1-0-0,100.0%,0.0%,18.5,1-0-0,100.0%,0.0%,+18.5
Sam Hous St,4-0-0,100.0%,0.0%,14.8,3-0-0,100.0%,0.0%,17.2,3-0-0,100.0%,0.0%,+12.7,2-0-0,100.0%,0.0%,+8.0,1-0-0,100.0%,0.0%,+21.0,4-0-0,100.0%,0.0%,14.8,2-0-0,100.0%,0.0%,21.5,2-0-0,100.0%,0.0%,8.0,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,7.5,1-0-0,100.0%,0.0%,+21.0
Davidson,3-0-0,100.0%,0.0%,15.0,1-0-0,100.0%,0.0%,29.5,2-0-0,100.0%,0.0%,+7.8,,,,,3-0-0,100.0%,0.0%,+15.0,1-0-0,100.0%,0.0%,29.5,,,,,3-0-0,100.0%,0.0%,15.0,2-0-0,100.0%,0.0%,+7.8,,,,,,,,,2-0-0,100.0%,0.0%,+7.8,,,,,1-0-0,100.0%,0.0%,+29.5
N Florida,5-0-0,100.0%,0.0%,14.8,3-0-0,100.0%,0.0%,7.0,2-0-0,100.0%,0.0%,+7.3,1-0-0,100.0%,0.0%,+9.5,3-0-0,100.0%,0.0%,+19.8,3-0-0,100.0%,0.0%,19.0,3-0-0,100.0%,0.0%,19.0,2-0-0,100.0%,0.0%,8.5,2-0-0,100.0%,0.0%,+8.5,,,,,1-0-0,100.0%,0.0%,+8.5,0-0-0,0.0%,0.0%,--,2-0-0,100.0%,0.0%,26.5,2-0-0,100.0%,0.0%,+25.5
Utah Valley,3-0-0,100.0%,0.0%,5.8,1-0-0,100.0%,0.0%,5.5,3-0-0,100.0%,0.0%,+5.8,1-0-0,100.0%,0.0%,+9.0,2-0-0,100.0%,0.0%,+4.3,2-0-0,100.0%,0.0%,6.0,1-0-0,100.0%,0.0%,9.0,2-0-0,100.0%,0.0%,4.3,1-0-0,100.0%,0.0%,+5.5,,,,,,,,,2-0-0,100.0%,0.0%,+6.0,,,,,,,,
N Carolina,4-0-0,100.0%,0.0%,12.4,2-0-0,100.0%,0.0%,16.5,3-0-0,100.0%,0.0%,+9.7,1-0-0,100.0%,0.0%,+12.5,2-0-0,100.0%,0.0%,+12.3,2-0-0,100.0%,0.0%,12.3,1-0-0,100.0%,0.0%,20.5,3-0-0,100.0%,0.0%,9.7,2-0-0,100.0%,0.0%,+12.5,,,,,,,,,2-0-0,100.0%,0.0%,+8.3,,,,,1-0-0,100.0%,0.0%,+20.5
Cornell,3-0-1,100.0%,0.0%,7.5,1-0-1,100.0%,0.0%,3.3,1-0-0,100.0%,0.0%,+10.5,0-0-1,0.0%,0.0%,0.0,3-0-0,100.0%,0.0%,+10.0,1-0-0,100.0%,0.0%,13.0,2-0-0,100.0%,0.0%,9.8,1-0-1,100.0%,0.0%,5.3,2-0-1,100.0%,0.0%,+5.7,,,,,,,,,2-0-0,100.0%,0.0%,+11.8,,,,,2-0-1,100.0%,0.0%,+6.5
SC Upstate,6-0-0,100.0%,0.0%,14.3,1-0-0,100.0%,0.0%,15.5,2-0-0,100.0%,0.0%,+13.8,3-0-0,100.0%,0.0%,+14.7,2-0-0,100.0%,0.0%,+13.0,4-0-0,100.0%,0.0%,13.4,6-0-0,100.0%,0.0%,14.3,,,,,1-0-0,100.0%,0.0%,+16.5,1-0-0,100.0%,0.0%,+15.5,2-0-0,100.0%,0.0%,+16.8,1-0-0,100.0%,0.0%,+12.0,4-0-0,100.0%,0.0%,14.5,1-0-0,100.0%,0.0%,+9.0
TX El Paso,2-0-0,100.0%,0.0%,7.5,1-0-0,100.0%,0.0%,5.5,2-0-0,100.0%,0.0%,+7.5,0-0-0,0.0%,0.0%,--,2-0-0,100.0%,0.0%,+7.5,2-0-0,100.0%,0.0%,7.5,2-0-0,100.0%,0.0%,7.5,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,1-0-0,100.0%,0.0%,+9.5,,,,,0-0-0,0.0%,0.0%,--
Wisconsin,7-0-0,100.0%,0.0%,12.4,2-0-0,100.0%,0.0%,7.0,2-0-0,100.0%,0.0%,+22.8,,,,,6-0-0,100.0%,0.0%,+13.5,,,,,2-0-0,100.0%,0.0%,24.3,5-0-0,100.0%,0.0%,7.6,5-0-0,100.0%,0.0%,+14.0,,,,,1-0-0,100.0%,0.0%,+8.5,2-0-0,100.0%,0.0%,+12.8,3-0-0,100.0%,0.0%,15.7,4-0-0,100.0%,0.0%,+8.1
