Team,ATS Record,Cover %,MOV,ATS +/-
Boston,152-108-5,58.5%,-1.9,+2.9
Okla City,209-178-10,54.0%,-5.7,+0.4
Miami,212-185-6,53.4%,-3.7,+1.6
Brooklyn,267-245-12,52.2%,-5.9,+0.6
Sacramento,261-240-16,52.1%,-5.8,+0.5
Denver,179-165-8,52.0%,-4.4,+1.0
Dallas,220-204-9,51.9%,-4.2,+1.2
Indiana,220-204-9,51.9%,-4.3,+1.0
Utah,178-167-7,51.6%,-5.0,+0.7
Toronto,169-163-9,50.9%,-4.2,+0.7
New Orleans,233-225-7,50.9%,-4.2,+1.3
Philadelphia,216-213-8,50.4%,-6.9,+0.4
Memphis,228-226-5,50.2%,-5.5,+0.7
Golden State,113-112-2,50.2%,-5.1,+0.2
San Antonio,195-199-8,49.5%,-6.6,-0.2
Orlando,294-303-10,49.3%,-6.7,-0.1
Detroit,273-283-19,49.1%,-6.7,+0.3
LA Clippers,147-153-1,49.0%,-4.7,+0.5
Minnesota,229-242-7,48.6%,-5.8,+0.4
Washington,237-251-10,48.6%,-6.2,+0.1
Atlanta,219-232-3,48.6%,-5.6,+0.3
Chicago,242-258-9,48.4%,-5.9,-0.1
Phoenix,215-231-5,48.2%,-7.2,-0.4
New York,261-281-11,48.2%,-6.4,+0.2
LA Lakers,233-252-6,48.0%,-6.4,+0.4
Houston,188-208-7,47.5%,-6.7,-0.1
Charlotte,236-264-16,47.2%,-7.0,-0.5
Cleveland,177-201-6,46.8%,-6.9,-0.3
Portland,208-237-10,46.7%,-7.4,-0.8
Milwaukee,128-156-3,45.1%,-5.6,-0.7
