Team,ATS Record,Cover %,MOV,ATS +/-
Boston,510-426-20,54.5%,4.3,+1.0
Okla City,446-407-14,52.3%,1.1,+0.3
Philadelphia,451-414-17,52.1%,-0.1,+0.4
Indiana,434-409-18,51.5%,0.3,+0.4
Miami,455-430-23,51.4%,0.8,+0.2
Utah,433-410-21,51.4%,2.1,+0.5
Dallas,441-419-20,51.3%,0.6,+0.4
Memphis,432-417-13,50.9%,-0.6,+0.3
Golden State,472-456-21,50.9%,5.3,+0.1
LA Clippers,449-437-7,50.7%,2.9,+0.2
Orlando,415-405-13,50.6%,-3.5,-0.1
San Antonio,427-418-15,50.5%,1.0,+0.2
New York,414-408-15,50.4%,-2.4,+0.4
Sacramento,402-398-24,50.3%,-2.4,-0.3
Toronto,446-442-13,50.2%,2.3,+0.2
New Orleans,415-416-11,49.9%,-0.4,+0.4
Brooklyn,415-419-16,49.8%,-2.0,0.0
Denver,434-439-20,49.7%,1.5,-0.1
Milwaukee,438-447-20,49.5%,2.7,-0.5
Portland,418-432-18,49.2%,-1.3,-0.4
Detroit,391-405-22,49.1%,-3.6,-0.1
Houston,429-445-14,49.1%,0.4,-0.2
Phoenix,420-436-10,49.1%,-1.3,-0.6
Chicago,402-420-13,48.9%,-1.9,-0.4
Atlanta,420-447-8,48.4%,-0.9,-0.6
Charlotte,386-411-18,48.4%,-2.7,-0.3
Washington,395-437-17,47.5%,-2.2,-0.6
LA Lakers,404-448-12,47.4%,-1.8,-0.3
Cleveland,420-467-21,47.4%,0.6,-0.4
Minnesota,389-438-14,47.0%,-1.1,-0.1
