Team,Over Record,Over %,Under %,Total +/-
Washington,207-170-6,54.9%,45.1%,+2.2
Charlotte,200-172-4,53.8%,46.2%,+1.5
Minnesota,192-168-6,53.3%,46.7%,+1.1
Okla City,181-159-5,53.2%,46.8%,+1.8
Toronto,189-166-2,53.2%,46.8%,+1.2
Denver,188-166-2,53.1%,46.9%,+1.2
Orlando,186-168-8,52.5%,47.5%,+0.6
Philadelphia,195-178-2,52.3%,47.7%,+1.2
LA Lakers,174-160-5,52.1%,47.9%,+1.3
LA Clippers,199-185-2,51.8%,48.2%,0.0
Utah,190-177-3,51.8%,48.2%,+1.4
Boston,182-173-6,51.3%,48.7%,+1.7
New York,182-175-1,51.0%,49.0%,+0.9
Phoenix,178-172-7,50.9%,49.1%,+0.1
Atlanta,200-194-3,50.8%,49.2%,-0.2
Miami,169-168-5,50.2%,49.9%,0.0
Houston,181-181-4,50.0%,50.0%,+0.8
Milwaukee,192-197-4,49.4%,50.6%,-0.3
San Antonio,170-175-6,49.3%,50.7%,+0.3
Indiana,187-194-7,49.1%,50.9%,+0.1
Brooklyn,184-191-3,49.1%,50.9%,+1.9
Golden State,175-183-6,48.9%,51.1%,+1.0
New Orleans,174-183-8,48.7%,51.3%,+0.1
Dallas,167-176-5,48.7%,51.3%,-0.6
Chicago,187-198-2,48.6%,51.4%,+0.3
Cleveland,185-198-3,48.3%,51.7%,+0.2
Sacramento,174-190-6,47.8%,52.2%,-0.7
Portland,169-190-5,47.1%,52.9%,-0.7
Detroit,176-203-9,46.4%,53.6%,-0.3
Memphis,173-201-7,46.3%,53.7%,-0.6
