Team,ATS Record,Cover %,MOV,ATS +/-
Boston,371-307-15,54.7%,-3.1,+2.0
Dallas,383-318-10,54.6%,-3.8,+1.3
Okla City,432-386-21,52.8%,-5.7,+0.5
Golden State,393-354-16,52.6%,-5.3,+0.6
Denver,380-349-16,52.1%,-4.4,+0.8
Miami,375-349-17,51.8%,-4.6,+0.9
New Orleans,507-479-17,51.4%,-4.8,+1.3
Memphis,474-454-15,51.1%,-5.2,+0.9
Indiana,438-422-24,50.9%,-4.5,+0.9
Sacramento,535-518-24,50.8%,-6.1,+0.3
Chicago,477-469-12,50.4%,-5.0,+0.7
Toronto,442-435-22,50.4%,-4.9,+0.6
New York,542-543-18,50.0%,-5.9,+0.5
Philadelphia,487-488-14,50.0%,-6.3,+0.4
San Antonio,290-293-8,49.7%,-5.6,0.0
Orlando,501-510-23,49.6%,-6.2,+0.2
Houston,378-385-11,49.5%,-4.9,+0.9
Brooklyn,521-533-20,49.4%,-6.2,+0.2
Phoenix,397-413-13,49.0%,-5.9,+0.3
Utah,390-407-16,48.9%,-5.6,+0.2
Detroit,474-496-25,48.9%,-6.1,+0.3
Charlotte,538-570-28,48.6%,-6.9,-0.1
Cleveland,413-438-14,48.5%,-6.7,-0.2
Washington,523-556-24,48.5%,-6.2,+0.2
LA Lakers,401-427-13,48.4%,-5.9,+0.4
Minnesota,484-522-16,48.1%,-6.4,+0.1
Portland,451-489-15,48.0%,-6.7,-0.3
Milwaukee,396-431-10,47.9%,-5.9,-0.1
Atlanta,480-523-9,47.9%,-6.0,+0.1
LA Clippers,371-426-7,46.6%,-6.0,-0.1
