Team,Over Record,Over %,Under %,Total +/-
Washington,93-61-2,60.4%,39.6%,+3.9
Minnesota,85-56-2,60.3%,39.7%,+4.1
Okla City,80-64-3,55.6%,44.4%,+1.9
Toronto,83-68-1,55.0%,45.0%,+1.3
Charlotte,84-69-1,54.9%,45.1%,+0.9
Orlando,81-67-3,54.7%,45.3%,+0.6
LA Clippers,85-71-1,54.5%,45.5%,+0.5
Boston,79-66-4,54.5%,45.5%,+2.9
Houston,80-67-1,54.4%,45.6%,+2.0
Indiana,78-67-3,53.8%,46.2%,+1.9
Philadelphia,78-68-2,53.4%,46.6%,+1.1
LA Lakers,72-63-3,53.3%,46.7%,+1.9
Miami,74-65-1,53.2%,46.8%,0.0
Atlanta,84-74-1,53.2%,46.8%,+0.3
Denver,76-69-0,52.4%,47.6%,-0.3
Golden State,77-72-4,51.7%,48.3%,+1.8
San Antonio,75-71-3,51.4%,48.6%,+1.1
Utah,75-73-1,50.7%,49.3%,+1.5
Dallas,72-73-3,49.7%,50.3%,-0.1
New York,70-72-1,49.3%,50.7%,-0.9
New Orleans,71-74-3,49.0%,51.0%,-0.3
Chicago,75-80-1,48.4%,51.6%,-1.7
Phoenix,68-73-2,48.2%,51.8%,-0.2
Portland,73-80-2,47.7%,52.3%,-0.7
Memphis,69-79-5,46.6%,53.4%,-0.4
Brooklyn,67-78-2,46.2%,53.8%,+0.8
Milwaukee,69-85-1,44.8%,55.2%,-1.3
Sacramento,71-88-1,44.7%,55.4%,-1.8
Cleveland,68-88-2,43.6%,56.4%,-1.2
Detroit,65-89-3,42.2%,57.8%,-0.6
