Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Cleveland,14-5-0,73.7%,11.2,4.3,8-3-0,72.7%,14.9,6.6,1-0-0,100.0%,30.0,23.5,1-0-0,100.0%,28.0,14.0,12-5-0,70.6%,9.1,2.6,6-2-0,75.0%,9.5,5.7,3-0-0,100.0%,1.3,5.2,11-5-0,68.8%,13.0,4.1,8-3-0,72.7%,12.4,3.3,3-1-0,75.0%,13.3,4.8,9-3-0,75.0%,10.5,4.7,2-2-0,50.0%,6.3,-4.1,4-0-0,100.0%,5.8,6.3,1-1-0,50.0%,1.5,-8.8
Brooklyn,13-5-1,72.2%,-1.9,5.0,6-3-1,66.7%,-2.3,4.0,1-0-0,100.0%,-4.0,2.5,7-2-1,77.8%,0.4,7.9,5-3-0,62.5%,-4.6,1.7,9-2-1,81.8%,-1.4,7.7,11-3-1,78.6%,-2.3,7.0,2-2-0,50.0%,-0.8,-2.5,4-3-0,57.1%,-2.9,0.4,4-0-0,100.0%,4.5,14.9,7-4-1,63.6%,-2.7,2.9,3-2-0,60.0%,-7.8,0.5,4-0-0,100.0%,6.3,13.1,1-1-0,50.0%,-9.5,-1.3
Houston,14-6-0,70.0%,8.5,5.0,9-4-0,69.2%,11.5,5.8,0-1-0,0.0%,-5.0,-13.0,5-1-0,83.3%,10.3,8.6,9-4-0,69.2%,8.7,4.8,6-3-0,66.7%,4.3,4.6,4-1-0,80.0%,0.8,5.3,10-5-0,66.7%,11.1,4.9,8-3-0,72.7%,11.9,5.4,3-2-0,60.0%,2.4,-3.0,9-3-0,75.0%,12.6,8.9,2-0-0,100.0%,6.0,10.8,3-2-0,60.0%,1.8,0.6,2-0-0,100.0%,6.0,10.8
Toronto,13-6-0,68.4%,-4.1,4.0,6-3-0,66.7%,-3.6,4.3,0-1-0,0.0%,-30.0,-23.5,10-4-0,71.4%,-1.8,5.5,3-1-0,75.0%,-5.5,5.6,7-4-0,63.6%,-5.6,3.7,13-6-0,68.4%,-4.1,4.0,,,,,6-2-0,75.0%,-1.9,4.5,4-1-0,80.0%,-6.6,4.5,7-2-0,77.8%,0.1,7.3,2-1-0,66.7%,1.7,5.5,5-2-0,71.4%,-7.1,3.0,2-2-0,50.0%,-3.8,3.0
Memphis,13-6-0,68.4%,8.3,6.1,7-4-0,63.6%,8.8,5.8,0-1-0,0.0%,2.0,-0.5,6-1-0,85.7%,8.0,7.4,7-4-0,63.6%,9.1,6.0,5-3-0,62.5%,5.4,6.3,5-1-0,83.3%,2.7,7.7,8-5-0,61.5%,10.9,5.4,8-3-0,72.7%,10.5,6.0,3-0-0,100.0%,14.0,17.5,8-5-0,61.5%,8.3,4.3,1-2-0,33.3%,-1.3,-8.0,5-0-0,100.0%,13.0,15.4,2-0-0,100.0%,3.0,4.5
LA Clippers,13-7-0,65.0%,2.4,4.2,6-3-0,66.7%,0.3,3.4,1-0-0,100.0%,-3.0,2.0,4-4-0,50.0%,0.3,0.8,8-3-0,72.7%,4.4,6.9,6-3-0,66.7%,0.7,5.1,8-5-0,61.5%,-2.8,3.1,5-2-0,71.4%,12.0,6.4,7-4-0,63.6%,3.7,3.5,2-3-0,40.0%,-5.0,-0.4,9-3-0,75.0%,5.9,6.8,4-2-0,66.7%,3.5,2.3,3-2-0,60.0%,4.6,7.9,1-1-0,50.0%,2.0,1.8
Golden State,11-7-0,61.1%,7.2,3.9,10-2-0,83.3%,12.3,10.2,1-0-0,100.0%,36.0,28.5,4-1-0,80.0%,8.0,6.5,6-6-0,50.0%,4.4,0.8,6-4-0,60.0%,8.5,6.3,5-1-0,83.3%,3.0,7.7,6-6-0,50.0%,9.3,2.1,5-3-0,62.5%,5.5,1.1,1-1-0,50.0%,2.5,-0.8,8-4-0,66.7%,6.7,3.6,1-4-0,20.0%,-1.6,-7.5,0-1-0,0.0%,-10.0,-13.5,1-2-0,33.3%,2.7,0.2
Charlotte,11-7-0,61.1%,-4.9,0.8,7-4-0,63.6%,-5.8,0.9,1-0-0,100.0%,5.0,13.0,6-5-0,54.6%,-6.5,-2.1,4-2-0,66.7%,-3.7,4.0,5-3-0,62.5%,-8.6,-1.4,11-6-0,64.7%,-5.5,0.9,0-1-0,0.0%,5.0,-1.5,6-4-0,60.0%,-1.9,2.5,1-2-0,33.3%,-10.7,-1.8,8-4-0,66.7%,-5.6,0.3,3-1-0,75.0%,-1.0,1.5,1-2-0,33.3%,-6.7,-0.5,1-1-0,50.0%,3.0,1.8
Portland,11-7-1,61.1%,-8.4,0.1,6-6-0,50.0%,-11.8,-2.9,0-1-0,0.0%,-36.0,-28.5,8-3-0,72.7%,-4.7,3.4,3-3-1,50.0%,-10.3,-0.9,6-4-1,60.0%,-9.3,0.5,11-7-1,61.1%,-8.4,0.1,,,,,5-3-0,62.5%,-7.3,-0.3,3-1-1,75.0%,-6.0,5.9,6-4-0,60.0%,-7.5,-0.1,3-1-0,75.0%,-0.3,5.3,2-0-1,100.0%,-6.0,5.3,2-1-0,66.7%,-6.3,0.7
Orlando,12-8-0,60.0%,4.8,2.5,8-5-0,61.5%,7.8,4.0,1-0-0,100.0%,19.0,21.0,2-5-0,28.6%,-3.6,-0.4,9-3-0,75.0%,8.5,2.6,4-7-0,36.4%,-3.9,-1.9,2-5-0,28.6%,-7.1,-1.5,10-3-0,76.9%,11.2,4.7,8-1-0,88.9%,15.4,7.9,2-2-0,50.0%,-6.0,-1.6,8-6-0,57.1%,6.5,2.1,2-1-0,66.7%,9.3,2.8,2-2-0,50.0%,-8.5,-2.8,1-0-0,100.0%,10.0,5.5
