Team,ATS Record,Cover %,MOV,ATS +/-
Portland,2-0-1,100.0%,-6.0,+5.3
Brooklyn,4-0-0,100.0%,6.3,+13.1
Memphis,5-0-0,100.0%,13.0,+15.4
Cleveland,4-0-0,100.0%,5.8,+6.3
Philadelphia,2-0-0,100.0%,3.5,+7.5
Detroit,4-1-0,80.0%,1.0,+5.6
San Antonio,3-1-0,75.0%,0.5,+5.5
Toronto,5-2-0,71.4%,-7.1,+3.0
Utah,4-2-0,66.7%,-2.2,+6.4
LA Clippers,4-2-0,66.7%,4.5,+7.8
Houston,3-2-0,60.0%,1.8,+0.6
Dallas,5-4-0,55.6%,6.1,+3.4
Denver,2-2-0,50.0%,12.8,+7.8
LA Lakers,1-1-0,50.0%,-11.5,-10.8
Orlando,2-2-0,50.0%,-8.5,-2.8
New Orleans,1-1-0,50.0%,-5.5,-5.0
Charlotte,1-2-0,33.3%,-6.7,-0.5
Okla City,2-4-0,33.3%,7.3,-0.5
Phoenix,2-4-0,33.3%,-5.0,-4.6
Boston,2-4-0,33.3%,10.3,-2.5
Miami,1-2-0,33.3%,6.0,+1.8
Atlanta,2-5-0,28.6%,-6.3,-4.1
Minnesota,1-3-0,25.0%,-6.3,-8.9
Washington,1-3-0,25.0%,-16.5,-6.9
Chicago,1-4-0,20.0%,-13.8,-4.8
Indiana,1-4-0,20.0%,-9.8,-10.9
Golden State,0-1-0,0.0%,-10.0,-13.5
Sacramento,0-4-0,0.0%,-9.8,-12.9
New York,0-1-0,0.0%,-1.0,-9.5
Milwaukee,0-4-0,0.0%,-7.0,-6.1
