Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Richmond,1-0-0,100.0%,0.0%,+9.5,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+9.5,,,,,,,,,1-0-0,100.0%,0.0%,9.5,1-0-0,100.0%,0.0%,+9.5,,,,,,,,,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,9.5,1-0-0,100.0%,0.0%,+9.5
Charl South,2-0-0,100.0%,0.0%,+9.8,2-0-0,100.0%,0.0%,9.8,1-0-0,100.0%,0.0%,+12.0,1-0-0,100.0%,0.0%,+7.5,,,,,2-0-0,100.0%,0.0%,9.8,2-0-0,100.0%,0.0%,9.8,,,,,,,,,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+7.5
North Texas,1-0-0,100.0%,0.0%,+10.0,1-0-0,100.0%,0.0%,10.0,1-0-0,100.0%,0.0%,+10.0,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,1-0-0,100.0%,0.0%,10.0,1-0-0,100.0%,0.0%,+10.0,,,,,0-0-0,0.0%,0.0%,--,0-0-0,0.0%,0.0%,--,,,,,,,,
Towson,1-0-0,100.0%,0.0%,+18.5,1-0-0,100.0%,0.0%,18.5,1-0-0,100.0%,0.0%,+18.5,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,18.5,1-0-0,100.0%,0.0%,18.5,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,0-0-0,0.0%,0.0%,--
Texas Tech,2-0-0,100.0%,0.0%,+5.0,1-0-0,100.0%,0.0%,7.5,1-0-0,100.0%,0.0%,+7.5,,,,,1-0-0,100.0%,0.0%,+2.5,,,,,,,,,2-0-0,100.0%,0.0%,5.0,2-0-0,100.0%,0.0%,+5.0,,,,,,,,,,,,,1-0-0,100.0%,0.0%,2.5,1-0-0,100.0%,0.0%,+2.5
Elon,1-0-0,100.0%,0.0%,+12.5,1-0-0,100.0%,0.0%,12.5,1-0-0,100.0%,0.0%,+12.5,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,12.5,1-0-0,100.0%,0.0%,12.5,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,
Detroit,2-0-0,100.0%,0.0%,+13.5,2-0-0,100.0%,0.0%,13.5,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,+15.5,1-0-0,100.0%,0.0%,+11.5,1-0-0,100.0%,0.0%,11.5,1-0-0,100.0%,0.0%,11.5,1-0-0,100.0%,0.0%,15.5,1-0-0,100.0%,0.0%,+15.5,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,2-0-0,100.0%,0.0%,+13.5
TX-Arlington,1-0-0,100.0%,0.0%,+20.0,1-0-0,100.0%,0.0%,20.0,1-0-0,100.0%,0.0%,+20.0,,,,,1-0-0,100.0%,0.0%,+20.0,,,,,,,,,1-0-0,100.0%,0.0%,20.0,1-0-0,100.0%,0.0%,+20.0,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,
SC Upstate,2-0-0,100.0%,0.0%,+16.3,1-0-0,100.0%,0.0%,15.5,1-0-0,100.0%,0.0%,+15.5,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,+17.0,2-0-0,100.0%,0.0%,16.3,2-0-0,100.0%,0.0%,16.3,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+17.0,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,17.0,,,,
Sam Hous St,2-0-0,100.0%,0.0%,+15.3,2-0-0,100.0%,0.0%,15.3,2-0-0,100.0%,0.0%,+15.3,1-0-0,100.0%,0.0%,+8.5,,,,,2-0-0,100.0%,0.0%,15.3,1-0-0,100.0%,0.0%,22.0,1-0-0,100.0%,0.0%,8.5,,,,,,,,,,,,,,,,,,,,,,,,
Cal Poly,2-0-0,100.0%,0.0%,+7.5,1-0-0,100.0%,0.0%,10.5,1-0-0,100.0%,0.0%,+10.5,1-0-0,100.0%,0.0%,+4.5,,,,,2-0-0,100.0%,0.0%,7.5,2-0-0,100.0%,0.0%,7.5,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+4.5,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,4.5,0-0-0,0.0%,0.0%,--
IL-Chicago,1-0-0,100.0%,0.0%,+31.5,1-0-0,100.0%,0.0%,31.5,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+31.5,,,,,1-0-0,100.0%,0.0%,31.5,,,,,1-0-0,100.0%,0.0%,+31.5,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+31.5
Marshall,1-0-0,100.0%,0.0%,+9.5,1-0-0,100.0%,0.0%,9.5,1-0-0,100.0%,0.0%,+9.5,,,,,1-0-0,100.0%,0.0%,+9.5,,,,,1-0-0,100.0%,0.0%,9.5,,,,,1-0-0,100.0%,0.0%,+9.5,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,
Notre Dame,1-0-0,100.0%,0.0%,+7.0,,,,,1-0-0,100.0%,0.0%,+7.0,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,7.0,1-0-0,100.0%,0.0%,+7.0,,,,,,,,,1-0-0,100.0%,0.0%,+7.0,,,,,,,,
Duke,2-0-0,100.0%,0.0%,+16.3,2-0-0,100.0%,0.0%,16.3,1-0-0,100.0%,0.0%,+18.5,,,,,1-0-0,100.0%,0.0%,+14.0,,,,,,,,,2-0-0,100.0%,0.0%,16.3,2-0-0,100.0%,0.0%,+16.3,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+14.0
Idaho,1-0-0,100.0%,0.0%,+10.5,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+10.5,,,,,1-0-0,100.0%,0.0%,10.5,,,,,1-0-0,100.0%,0.0%,+10.5,,,,,,,,,1-0-0,100.0%,0.0%,+10.5,,,,,1-0-0,100.0%,0.0%,+10.5
Lg Beach St,1-0-0,100.0%,0.0%,+13.0,1-0-0,100.0%,0.0%,13.0,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+13.0,1-0-0,100.0%,0.0%,13.0,1-0-0,100.0%,0.0%,13.0,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+13.0
Stony Brook,2-0-0,100.0%,0.0%,+11.8,2-0-0,100.0%,0.0%,11.8,1-0-0,100.0%,0.0%,+16.0,1-0-0,100.0%,0.0%,+7.5,,,,,2-0-0,100.0%,0.0%,11.8,2-0-0,100.0%,0.0%,11.8,,,,,,,,,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+7.5
Quinnipiac,2-0-0,100.0%,0.0%,+9.3,1-0-0,100.0%,0.0%,6.5,1-0-0,100.0%,0.0%,+6.5,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,+12.0,2-0-0,100.0%,0.0%,9.3,2-0-0,100.0%,0.0%,9.3,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+12.0,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,12.0,0-0-0,0.0%,0.0%,--
N Dakota St,1-0-0,100.0%,0.0%,+6.0,1-0-0,100.0%,0.0%,6.0,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+6.0,,,,,,,,,1-0-0,100.0%,0.0%,6.0,1-0-0,100.0%,0.0%,+6.0,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+6.0
N Colorado,1-0-0,100.0%,0.0%,+26.0,1-0-0,100.0%,0.0%,26.0,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+26.0,1-0-0,100.0%,0.0%,26.0,1-0-0,100.0%,0.0%,26.0,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+26.0
Mt St Marys,1-0-0,100.0%,0.0%,+0.5,1-0-0,100.0%,0.0%,0.5,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+0.5,1-0-0,100.0%,0.0%,0.5,1-0-0,100.0%,0.0%,0.5,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+0.5
Hofstra,2-0-0,100.0%,0.0%,+13.0,1-0-0,100.0%,0.0%,17.5,1-0-0,100.0%,0.0%,+8.5,,,,,1-0-0,100.0%,0.0%,+17.5,,,,,,,,,1-0-0,100.0%,0.0%,17.5,2-0-0,100.0%,0.0%,+13.0,,,,,,,,,1-0-0,100.0%,0.0%,+8.5,,,,,1-0-0,100.0%,0.0%,+17.5
Central Mich,2-0-0,100.0%,0.0%,+6.5,2-0-0,100.0%,0.0%,6.5,1-0-0,100.0%,0.0%,+5.5,,,,,1-0-0,100.0%,0.0%,+7.5,1-0-0,100.0%,0.0%,5.5,1-0-0,100.0%,0.0%,5.5,1-0-0,100.0%,0.0%,7.5,1-0-0,100.0%,0.0%,+7.5,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+7.5
Portland St,1-0-0,100.0%,0.0%,+38.5,1-0-0,100.0%,0.0%,38.5,1-0-0,100.0%,0.0%,+38.5,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,38.5,1-0-0,100.0%,0.0%,38.5,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,0-0-0,0.0%,0.0%,--
Gard-Webb,2-0-0,100.0%,0.0%,+15.0,2-0-0,100.0%,0.0%,15.0,1-0-0,100.0%,0.0%,+2.5,1-0-0,100.0%,0.0%,+27.5,,,,,2-0-0,100.0%,0.0%,15.0,2-0-0,100.0%,0.0%,15.0,,,,,,,,,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+27.5
Canisius,2-0-0,100.0%,0.0%,+13.0,2-0-0,100.0%,0.0%,13.0,2-0-0,100.0%,0.0%,+13.0,1-0-0,100.0%,0.0%,+25.0,,,,,1-0-0,100.0%,0.0%,1.0,2-0-0,100.0%,0.0%,13.0,,,,,1-0-0,100.0%,0.0%,+25.0,,,,,,,,,,,,,,,,,,,,
Pepperdine,2-0-0,100.0%,0.0%,+15.3,1-0-0,100.0%,0.0%,25.5,1-0-0,100.0%,0.0%,+5.0,,,,,1-0-0,100.0%,0.0%,+25.5,1-0-0,100.0%,0.0%,25.5,1-0-0,100.0%,0.0%,25.5,1-0-0,100.0%,0.0%,5.0,1-0-0,100.0%,0.0%,+5.0,,,,,,,,,1-0-0,100.0%,0.0%,+5.0,,,,,1-0-0,100.0%,0.0%,+25.5
Lindenwood,1-0-0,100.0%,0.0%,+13.5,1-0-0,100.0%,0.0%,13.5,1-0-0,100.0%,0.0%,+13.5,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,13.5,1-0-0,100.0%,0.0%,13.5,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,0-0-0,0.0%,0.0%,--
Charlotte,2-0-0,100.0%,0.0%,+31.3,1-0-0,100.0%,0.0%,31.5,2-0-0,100.0%,0.0%,+31.3,,,,,1-0-0,100.0%,0.0%,+31.0,1-0-0,100.0%,0.0%,31.0,1-0-0,100.0%,0.0%,31.0,1-0-0,100.0%,0.0%,31.5,1-0-0,100.0%,0.0%,+31.5,,,,,,,,,1-0-0,100.0%,0.0%,+31.0,,,,,,,,
Florida A&M,2-0-0,100.0%,0.0%,+21.5,2-0-0,100.0%,0.0%,21.5,1-0-0,100.0%,0.0%,+17.5,1-0-0,100.0%,0.0%,+25.5,,,,,2-0-0,100.0%,0.0%,21.5,2-0-0,100.0%,0.0%,21.5,,,,,,,,,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+25.5
Wyoming,1-0-0,100.0%,0.0%,+2.0,,,,,1-0-0,100.0%,0.0%,+2.0,,,,,1-0-0,100.0%,0.0%,+2.0,,,,,,,,,1-0-0,100.0%,0.0%,2.0,1-0-0,100.0%,0.0%,+2.0,,,,,,,,,1-0-0,100.0%,0.0%,+2.0,,,,,,,,
E Tenn St,1-0-0,100.0%,0.0%,+9.5,1-0-0,100.0%,0.0%,9.5,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+9.5,,,,,,,,,1-0-0,100.0%,0.0%,9.5,1-0-0,100.0%,0.0%,+9.5,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+9.5
NC-Grnsboro,1-0-0,100.0%,0.0%,+2.5,1-0-0,100.0%,0.0%,2.5,1-0-0,100.0%,0.0%,+2.5,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,2.5,1-0-0,100.0%,0.0%,+2.5,,,,,,,,,,,,,,,,,,,,
S Illinois,1-0-0,100.0%,0.0%,+24.0,1-0-0,100.0%,0.0%,24.0,1-0-0,100.0%,0.0%,+24.0,0-0-0,0.0%,0.0%,--,,,,,,,,,1-0-0,100.0%,0.0%,24.0,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,0-0-0,0.0%,0.0%,--
Temple,2-0-0,100.0%,0.0%,+17.8,2-0-0,100.0%,0.0%,17.8,1-0-0,100.0%,0.0%,+6.0,,,,,1-0-0,100.0%,0.0%,+29.5,,,,,,,,,2-0-0,100.0%,0.0%,17.8,1-0-0,100.0%,0.0%,+6.0,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+29.5
Santa Clara,2-0-0,100.0%,0.0%,+5.0,1-0-0,100.0%,0.0%,5.5,1-0-0,100.0%,0.0%,+5.5,,,,,1-0-0,100.0%,0.0%,+4.5,,,,,,,,,2-0-0,100.0%,0.0%,5.0,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+4.5,,,,,1-0-0,100.0%,0.0%,+4.5
Pittsburgh,1-0-1,100.0%,0.0%,+6.3,1-0-1,100.0%,0.0%,6.3,1-0-0,100.0%,0.0%,+12.5,,,,,0-0-1,0.0%,0.0%,0.0,,,,,,,,,1-0-1,100.0%,0.0%,6.3,1-0-1,100.0%,0.0%,+6.3,,,,,,,,,,,,,,,,,0-0-1,0.0%,0.0%,0.0
S Car State,2-0-0,100.0%,0.0%,+23.0,1-0-0,100.0%,0.0%,1.5,1-0-0,100.0%,0.0%,+44.5,,,,,1-0-0,100.0%,0.0%,+1.5,1-0-0,100.0%,0.0%,1.5,1-0-0,100.0%,0.0%,1.5,1-0-0,100.0%,0.0%,44.5,1-0-0,100.0%,0.0%,+44.5,,,,,,,,,1-0-0,100.0%,0.0%,+44.5,,,,,1-0-0,100.0%,0.0%,+1.5
Saint Louis,1-0-0,100.0%,0.0%,+5.5,1-0-0,100.0%,0.0%,5.5,1-0-0,100.0%,0.0%,+5.5,0-0-0,0.0%,0.0%,--,,,,,,,,,1-0-0,100.0%,0.0%,5.5,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,
McNeese St,1-0-0,100.0%,0.0%,+8.5,1-0-0,100.0%,0.0%,8.5,1-0-0,100.0%,0.0%,+8.5,0-0-0,0.0%,0.0%,--,,,,,,,,,,,,,1-0-0,100.0%,0.0%,8.5,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,0-0-0,0.0%,0.0%,--
St Marys,2-0-0,100.0%,0.0%,+20.3,2-0-0,100.0%,0.0%,20.3,1-0-0,100.0%,0.0%,+18.5,,,,,1-0-0,100.0%,0.0%,+22.0,,,,,,,,,2-0-0,100.0%,0.0%,20.3,2-0-0,100.0%,0.0%,+20.3,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+22.0
TN Tech,1-0-0,100.0%,0.0%,+20.0,1-0-0,100.0%,0.0%,20.0,1-0-0,100.0%,0.0%,+20.0,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,20.0,1-0-0,100.0%,0.0%,20.0,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,0-0-0,0.0%,0.0%,--
Le Moyne,2-0-0,100.0%,0.0%,+17.5,2-0-0,100.0%,0.0%,17.5,1-0-0,100.0%,0.0%,+16.5,1-0-0,100.0%,0.0%,+18.5,,,,,1-0-0,100.0%,0.0%,16.5,2-0-0,100.0%,0.0%,17.5,,,,,1-0-0,100.0%,0.0%,+18.5,,,,,1-0-0,100.0%,0.0%,+18.5,0-0-0,0.0%,0.0%,--,,,,,0-0-0,0.0%,0.0%,--
Texas,1-0-1,100.0%,0.0%,+2.3,1-0-1,100.0%,0.0%,2.3,1-0-0,100.0%,0.0%,+4.5,0-0-1,0.0%,0.0%,0.0,,,,,,,,,,,,,1-0-1,100.0%,0.0%,2.3,0-0-1,0.0%,0.0%,0.0,,,,,,,,,,,,,,,,,0-0-1,0.0%,0.0%,0.0
Wash State,2-0-0,100.0%,0.0%,+24.3,2-0-0,100.0%,0.0%,24.3,1-0-0,100.0%,0.0%,+38.5,,,,,1-0-0,100.0%,0.0%,+10.0,,,,,,,,,2-0-0,100.0%,0.0%,24.3,2-0-0,100.0%,0.0%,+24.3,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+10.0
Utah Valley,1-0-0,100.0%,0.0%,+5.5,1-0-0,100.0%,0.0%,5.5,1-0-0,100.0%,0.0%,+5.5,,,,,1-0-0,100.0%,0.0%,+5.5,,,,,,,,,1-0-0,100.0%,0.0%,5.5,1-0-0,100.0%,0.0%,+5.5,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,
James Mad,2-0-0,100.0%,0.0%,+12.0,1-0-0,100.0%,0.0%,17.0,2-0-0,100.0%,0.0%,+12.0,,,,,1-0-0,100.0%,0.0%,+7.0,1-0-0,100.0%,0.0%,7.0,,,,,2-0-0,100.0%,0.0%,12.0,1-0-0,100.0%,0.0%,+17.0,,,,,,,,,1-0-0,100.0%,0.0%,+7.0,,,,,,,,
Iona,2-0-0,100.0%,0.0%,+17.0,2-0-0,100.0%,0.0%,17.0,1-0-0,100.0%,0.0%,+16.5,1-0-0,100.0%,0.0%,+17.5,,,,,2-0-0,100.0%,0.0%,17.0,2-0-0,100.0%,0.0%,17.0,,,,,,,,,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+17.5
Wisconsin,3-0-0,100.0%,0.0%,+4.2,1-0-0,100.0%,0.0%,5.5,1-0-0,100.0%,0.0%,+5.5,,,,,2-0-0,100.0%,0.0%,+3.5,,,,,,,,,3-0-0,100.0%,0.0%,4.2,3-0-0,100.0%,0.0%,+4.2,,,,,,,,,,,,,2-0-0,100.0%,0.0%,3.5,2-0-0,100.0%,0.0%,+3.5
Villanova,3-0-0,100.0%,0.0%,+13.2,2-0-0,100.0%,0.0%,16.8,1-0-0,100.0%,0.0%,+10.5,1-0-0,100.0%,0.0%,+6.0,1-0-0,100.0%,0.0%,+23.0,,,,,,,,,3-0-0,100.0%,0.0%,13.2,3-0-0,100.0%,0.0%,+13.2,,,,,2-0-0,100.0%,0.0%,+14.5,,,,,1-0-0,100.0%,0.0%,6.0,,,,
Buffalo,1-0-0,100.0%,0.0%,+18.5,1-0-0,100.0%,0.0%,18.5,1-0-0,100.0%,0.0%,+18.5,,,,,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,18.5,1-0-0,100.0%,0.0%,18.5,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,0-0-0,0.0%,0.0%,--
Ohio St,1-0-0,100.0%,0.0%,+4.5,1-0-0,100.0%,0.0%,4.5,1-0-0,100.0%,0.0%,+4.5,,,,,,,,,,,,,1-0-0,100.0%,0.0%,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern,2-0-0,100.0%,0.0%,+15.5,2-0-0,100.0%,0.0%,15.5,1-0-0,100.0%,0.0%,+28.5,1-0-0,100.0%,0.0%,+2.5,,,,,2-0-0,100.0%,0.0%,15.5,2-0-0,100.0%,0.0%,15.5,,,,,,,,,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+2.5
Stetson,1-0-0,100.0%,0.0%,+5.5,1-0-0,100.0%,0.0%,5.5,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+5.5,,,,,,,,,1-0-0,100.0%,0.0%,5.5,1-0-0,100.0%,0.0%,+5.5,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+5.5
Cornell,1-0-0,100.0%,0.0%,+6.5,1-0-0,100.0%,0.0%,6.5,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+6.5,,,,,1-0-0,100.0%,0.0%,6.5,,,,,1-0-0,100.0%,0.0%,+6.5,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+6.5
Loyola-MD,1-0-0,100.0%,0.0%,+14.5,1-0-0,100.0%,0.0%,14.5,1-0-0,100.0%,0.0%,+14.5,0-0-0,0.0%,0.0%,--,,,,,,,,,1-0-0,100.0%,0.0%,14.5,,,,,1-0-0,100.0%,0.0%,+14.5,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,
Kentucky,2-0-0,100.0%,0.0%,+10.5,1-0-0,100.0%,0.0%,3.5,2-0-0,100.0%,0.0%,+10.5,,,,,1-0-0,100.0%,0.0%,+17.5,,,,,,,,,2-0-0,100.0%,0.0%,10.5,2-0-0,100.0%,0.0%,+10.5,,,,,,,,,1-0-0,100.0%,0.0%,+17.5,,,,,,,,
WI-Grn Bay,2-0-0,100.0%,0.0%,+15.0,2-0-0,100.0%,0.0%,15.0,1-0-0,100.0%,0.0%,+10.0,1-0-0,100.0%,0.0%,+20.0,,,,,1-0-0,100.0%,0.0%,10.0,2-0-0,100.0%,0.0%,15.0,,,,,1-0-0,100.0%,0.0%,+20.0,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+20.0
Mass Lowell,1-0-0,100.0%,0.0%,+19.5,1-0-0,100.0%,0.0%,19.5,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+19.5,,,,,,,,,1-0-0,100.0%,0.0%,19.5,1-0-0,100.0%,0.0%,+19.5,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+19.5
NW State,1-0-0,100.0%,0.0%,+2.5,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+2.5,1-0-0,100.0%,0.0%,2.5,1-0-0,100.0%,0.0%,2.5,,,,,0-0-0,0.0%,0.0%,--,,,,,,,,,1-0-0,100.0%,0.0%,+2.5,,,,,1-0-0,100.0%,0.0%,+2.5
Iowa,2-0-0,100.0%,0.0%,+2.0,2-0-0,100.0%,0.0%,2.0,1-0-0,100.0%,0.0%,+1.5,,,,,1-0-0,100.0%,0.0%,+2.5,,,,,,,,,2-0-0,100.0%,0.0%,2.0,2-0-0,100.0%,0.0%,+2.0,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+2.5
Holy Cross,2-0-0,100.0%,0.0%,+11.5,2-0-0,100.0%,0.0%,11.5,1-0-0,100.0%,0.0%,+5.5,1-0-0,100.0%,0.0%,+17.5,,,,,2-0-0,100.0%,0.0%,11.5,2-0-0,100.0%,0.0%,11.5,,,,,,,,,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+17.5
Cal Baptist,2-0-0,100.0%,0.0%,+15.8,1-0-0,100.0%,0.0%,17.0,2-0-0,100.0%,0.0%,+15.8,,,,,1-0-0,100.0%,0.0%,+14.5,,,,,,,,,2-0-0,100.0%,0.0%,15.8,2-0-0,100.0%,0.0%,+15.8,,,,,,,,,1-0-0,100.0%,0.0%,+14.5,,,,,,,,
Samford,1-0-0,100.0%,0.0%,+6.5,1-0-0,100.0%,0.0%,6.5,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+6.5,1-0-0,100.0%,0.0%,6.5,,,,,1-0-0,100.0%,0.0%,6.5,0-0-0,0.0%,0.0%,--,,,,,,,,,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+6.5
Hawaii,1-0-0,100.0%,0.0%,+16.0,1-0-0,100.0%,0.0%,16.0,0-0-0,0.0%,0.0%,--,,,,,1-0-0,100.0%,0.0%,+16.0,,,,,,,,,1-0-0,100.0%,0.0%,16.0,1-0-0,100.0%,0.0%,+16.0,,,,,1-0-0,100.0%,0.0%,+16.0,0-0-0,0.0%,0.0%,--,,,,,,,,
Ark Pine Bl,2-0-0,100.0%,0.0%,+16.5,1-0-0,100.0%,0.0%,12.0,1-0-0,100.0%,0.0%,+12.0,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,+21.0,2-0-0,100.0%,0.0%,16.5,2-0-0,100.0%,0.0%,16.5,,,,,0-0-0,0.0%,0.0%,--,,,,,0-0-0,0.0%,0.0%,--,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,21.0,1-0-0,100.0%,0.0%,+21.0
Tulsa,1-0-0,100.0%,0.0%,+21.0,,,,,1-0-0,100.0%,0.0%,+21.0,,,,,1-0-0,100.0%,0.0%,+21.0,,,,,,,,,1-0-0,100.0%,0.0%,21.0,1-0-0,100.0%,0.0%,+21.0,,,,,,,,,1-0-0,100.0%,0.0%,+21.0,,,,,,,,
Clemson,2-0-0,100.0%,0.0%,+7.5,2-0-0,100.0%,0.0%,7.5,1-0-0,100.0%,0.0%,+12.0,,,,,1-0-0,100.0%,0.0%,+3.0,,,,,,,,,2-0-0,100.0%,0.0%,7.5,2-0-0,100.0%,0.0%,+7.5,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+3.0
St Johns,2-0-0,100.0%,0.0%,+8.5,1-0-0,100.0%,0.0%,5.0,2-0-0,100.0%,0.0%,+8.5,,,,,1-0-0,100.0%,0.0%,+12.0,,,,,,,,,2-0-0,100.0%,0.0%,8.5,2-0-0,100.0%,0.0%,+8.5,,,,,,,,,1-0-0,100.0%,0.0%,+12.0,,,,,,,,
