Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Washington,453-383-14,54.2%,45.8%,1.5,246-205-8,54.6%,45.5%,1.8,16-12-0,57.1%,42.9%,5.6,247-214-6,53.6%,46.4%,1.3,201-163-8,55.2%,44.8%,1.8,223-193-6,53.6%,46.4%,1.1,275-215-9,56.1%,43.9%,1.8,174-166-5,51.2%,48.8%,1.0,227-184-8,55.2%,44.8%,2.2,94-61-2,60.7%,39.4%,4.0,244-257-10,48.7%,51.3%,0.2,116-84-3,58.0%,42.0%,1.1,91-94-3,49.2%,50.8%,1.1,99-53-2,65.1%,34.9%,2.5
Minnesota,448-386-8,53.7%,46.3%,0.9,254-210-3,54.7%,45.3%,0.8,12-15-0,44.4%,55.6%,-1.8,253-204-8,55.4%,44.6%,1.7,189-177-0,51.6%,48.4%,0.0,234-182-5,56.3%,43.8%,2.9,263-210-5,55.6%,44.4%,1.7,180-173-3,51.0%,49.0%,-0.1,212-204-3,51.0%,49.0%,-1.2,85-57-2,59.9%,40.1%,3.9,275-243-5,53.1%,46.9%,0.3,96-100-3,49.0%,51.0%,-0.5,98-76-2,56.3%,43.7%,2.8,76-71-1,51.7%,48.3%,0.7
Toronto,466-427-9,52.2%,47.8%,0.7,252-237-8,51.5%,48.5%,0.2,16-14-0,53.3%,46.7%,1.9,198-181-0,52.2%,47.8%,0.6,261-242-9,51.9%,48.1%,0.8,228-204-6,52.8%,47.2%,0.7,177-162-3,52.2%,47.8%,1.1,287-263-6,52.2%,47.8%,0.5,231-210-3,52.4%,47.6%,0.9,84-68-1,55.3%,44.7%,1.5,284-267-6,51.5%,48.5%,0.8,105-99-0,51.5%,48.5%,0.2,109-91-1,54.5%,45.5%,2.3,82-78-2,51.3%,48.8%,-0.4
Denver,459-427-10,51.8%,48.2%,0.9,245-216-6,53.2%,46.9%,1.1,14-20-0,41.2%,58.8%,-4.3,210-164-7,56.2%,43.9%,2.5,247-254-3,49.3%,50.7%,0.0,215-212-4,50.4%,49.7%,0.1,195-154-5,55.9%,44.1%,1.3,259-271-5,48.9%,51.1%,0.6,226-206-5,52.3%,47.7%,1.5,76-70-0,52.1%,48.0%,-0.4,292-257-8,53.2%,46.8%,1.5,101-104-4,49.3%,50.7%,1.1,113-107-0,51.4%,48.6%,0.5,77-80-2,49.0%,51.0%,1.3
San Antonio,439-413-11,51.5%,48.5%,0.6,252-211-4,54.4%,45.6%,1.2,20-9-0,69.0%,31.0%,7.7,217-180-7,54.7%,45.3%,2.1,212-232-4,47.8%,52.3%,-0.9,209-210-8,49.9%,50.1%,-0.3,213-184-7,53.7%,46.4%,0.7,224-228-4,49.6%,50.4%,0.4,221-198-3,52.7%,47.3%,1.2,75-72-3,51.0%,49.0%,0.9,273-251-7,52.1%,47.9%,0.6,91-102-4,47.2%,52.9%,-0.4,96-100-3,49.0%,51.0%,0.3,71-81-1,46.7%,53.3%,-0.9
Indiana,436-417-10,51.1%,48.9%,1.1,241-238-5,50.3%,49.7%,1.2,18-12-1,60.0%,40.0%,7.1,235-184-6,56.1%,43.9%,2.1,193-230-4,45.6%,54.4%,-0.3,217-203-7,51.7%,48.3%,1.2,229-200-6,53.4%,46.6%,1.8,207-209-4,49.8%,50.2%,0.6,214-204-3,51.2%,48.8%,1.1,79-67-3,54.1%,45.9%,2.0,271-267-5,50.4%,49.6%,0.5,97-95-1,50.5%,49.5%,0.0,98-84-4,53.9%,46.2%,1.9,68-71-1,48.9%,51.1%,0.9
Portland,439-422-10,51.0%,49.0%,0.9,227-224-1,50.3%,49.7%,0.8,20-10-0,66.7%,33.3%,7.7,223-213-4,51.2%,48.9%,0.9,210-204-6,50.7%,49.3%,0.8,214-212-4,50.2%,49.8%,-0.4,242-212-4,53.3%,46.7%,0.5,195-206-6,48.6%,51.4%,1.3,214-206-6,51.0%,49.1%,1.9,73-82-2,47.1%,52.9%,-0.9,268-254-7,51.3%,48.7%,0.7,108-87-5,55.4%,44.6%,2.9,104-111-4,48.4%,51.6%,-0.6,78-76-1,50.7%,49.4%,2.1
Atlanta,442-425-10,51.0%,49.0%,1.0,254-236-6,51.8%,48.2%,1.1,13-13-2,50.0%,50.0%,2.7,233-205-6,53.2%,46.8%,2.2,203-215-4,48.6%,51.4%,-0.3,215-220-5,49.4%,50.6%,0.2,240-210-5,53.3%,46.7%,2.0,202-213-5,48.7%,51.3%,0.0,226-205-5,52.4%,47.6%,1.8,84-75-1,52.8%,47.2%,0.1,271-255-7,51.5%,48.5%,1.2,89-89-3,50.0%,50.0%,0.9,99-100-1,49.8%,50.3%,0.7,74-82-0,47.4%,52.6%,0.9
Milwaukee,456-443-9,50.7%,49.3%,0.7,257-239-8,51.8%,48.2%,1.1,17-15-0,53.1%,46.9%,-2.8,185-172-6,51.8%,48.2%,0.1,263-268-3,49.5%,50.5%,1.0,217-220-6,49.7%,50.3%,0.5,136-148-3,47.9%,52.1%,-0.3,315-291-6,52.0%,48.0%,1.0,229-212-3,51.9%,48.1%,0.9,71-85-1,45.5%,54.5%,-0.9,277-259-7,51.7%,48.3%,1.1,109-99-1,52.4%,47.6%,1.4,90-105-0,46.2%,53.9%,-1.1,91-84-1,52.0%,48.0%,1.5
Phoenix,435-423-9,50.7%,49.3%,0.0,217-225-7,49.1%,50.9%,-0.8,15-14-1,51.7%,48.3%,-1.7,216-233-5,48.1%,51.9%,0.0,215-183-4,54.0%,46.0%,0.3,213-207-6,50.7%,49.3%,0.3,218-228-6,48.9%,51.1%,-0.2,217-192-3,53.1%,46.9%,0.3,214-213-3,50.1%,49.9%,-0.3,69-74-2,48.3%,51.8%,-0.2,265-269-5,49.6%,50.4%,-0.1,125-101-0,55.3%,44.7%,1.0,93-97-2,49.0%,51.1%,0.9,86-66-1,56.6%,43.4%,1.1
