Team,Over Record,Over %,Under %,Total +/-
Washington,275-215-9,56.1%,43.9%,+1.8
Denver,195-153-5,56.0%,44.0%,+1.4
Minnesota,263-210-5,55.6%,44.4%,+1.7
San Antonio,213-183-7,53.8%,46.2%,+0.8
Portland,242-211-4,53.4%,46.6%,+0.6
Indiana,229-200-6,53.4%,46.6%,+1.8
Atlanta,240-210-5,53.3%,46.7%,+2.0
Toronto,177-162-3,52.2%,47.8%,+1.1
LA Lakers,249-239-3,51.0%,49.0%,+0.1
Utah,177-170-7,51.0%,49.0%,+1.6
Memphis,229-227-4,50.2%,49.8%,+0.9
LA Clippers,147-148-8,49.8%,50.2%,+1.3
Chicago,250-255-6,49.5%,50.5%,+0.7
Orlando,296-304-8,49.3%,50.7%,-0.1
Phoenix,218-228-6,48.9%,51.1%,-0.2
Charlotte,249-263-6,48.6%,51.4%,-0.5
Houston,194-205-4,48.6%,51.4%,+0.4
Brooklyn,251-266-8,48.6%,51.5%,+1.0
Detroit,273-293-9,48.2%,51.8%,+0.2
Philadelphia,208-224-5,48.2%,51.9%,-1.1
New Orleans,222-240-6,48.1%,52.0%,-0.2
Sacramento,244-264-9,48.0%,52.0%,+0.1
New York,261-283-9,48.0%,52.0%,+0.1
Milwaukee,136-148-3,47.9%,52.1%,-0.3
Golden State,107-117-3,47.8%,52.2%,+0.1
Miami,188-214-1,46.8%,53.2%,-1.5
Cleveland,179-204-2,46.7%,53.3%,-0.5
Dallas,200-230-4,46.5%,53.5%,0.0
Okla City,181-213-3,45.9%,54.1%,-1.4
Boston,119-143-3,45.4%,54.6%,-0.8
