Team,Over Record,Over %,Under %,Total +/-
Washington,201-163-8,55.2%,44.8%,+1.8
Phoenix,214-183-4,53.9%,46.1%,+0.3
Orlando,167-148-4,53.0%,47.0%,+0.9
Toronto,261-241-9,52.0%,48.0%,+0.9
Minnesota,188-176-0,51.7%,48.4%,0.0
Portland,210-201-6,51.1%,48.9%,+0.9
Memphis,211-204-10,50.8%,49.2%,+0.9
Detroit,142-139-8,50.5%,49.5%,+0.4
Boston,289-292-7,49.7%,50.3%,+0.8
New Orleans,191-195-4,49.5%,50.5%,+0.4
Denver,246-253-3,49.3%,50.7%,0.0
Milwaukee,259-267-3,49.2%,50.8%,+0.8
New York,163-168-5,49.2%,50.8%,+0.6
LA Clippers,251-260-12,49.1%,50.9%,+0.1
Utah,224-232-6,49.1%,50.9%,+0.5
Charlotte,166-173-3,49.0%,51.0%,0.0
Philadelphia,212-221-6,49.0%,51.0%,-0.2
Cleveland,234-245-6,48.9%,51.2%,+0.5
Golden State,297-313-11,48.7%,51.3%,0.0
Atlanta,202-213-4,48.7%,51.3%,-0.2
Brooklyn,176-188-4,48.4%,51.7%,+0.6
Chicago,178-191-3,48.2%,51.8%,+1.0
Okla City,219-237-6,48.0%,52.0%,-0.2
LA Lakers,182-200-3,47.6%,52.4%,-0.4
San Antonio,209-231-4,47.5%,52.5%,-1.0
Miami,227-258-1,46.8%,53.2%,-0.6
Sacramento,161-184-7,46.7%,53.3%,-0.9
Houston,205-244-7,45.7%,54.3%,-1.4
Indiana,192-229-4,45.6%,54.4%,-0.2
Dallas,195-241-4,44.7%,55.3%,-0.9
