Team,Over Record,Over %,Under %,Total +/-
Minnesota,98-76-2,56.3%,43.7%,+2.8
Toronto,109-90-1,54.8%,45.2%,+2.4
Indiana,97-84-4,53.6%,46.4%,+1.9
Boston,118-104-5,53.2%,46.9%,+1.9
Charlotte,90-82-1,52.3%,47.7%,+0.5
LA Clippers,118-108-3,52.2%,47.8%,+1.0
New Orleans,107-99-4,51.9%,48.1%,-0.4
Miami,97-90-1,51.9%,48.1%,-0.6
Denver,113-106-0,51.6%,48.4%,+0.5
Orlando,94-90-3,51.1%,48.9%,-0.2
Golden State,101-97-3,51.0%,49.0%,+1.3
Philadelphia,107-105-3,50.5%,49.5%,+0.6
Atlanta,99-98-1,50.3%,49.8%,+0.9
Brooklyn,96-96-2,50.0%,50.0%,+0.7
LA Lakers,107-107-2,50.0%,50.0%,-0.1
Dallas,100-101-3,49.8%,50.3%,-0.4
Memphis,92-94-5,49.5%,50.5%,-0.1
Phoenix,93-96-2,49.2%,50.8%,+0.9
Houston,94-97-1,49.2%,50.8%,+0.8
Washington,91-94-3,49.2%,50.8%,+1.1
San Antonio,96-100-3,49.0%,51.0%,+0.3
Okla City,107-113-4,48.6%,51.4%,-0.3
Portland,104-111-4,48.4%,51.6%,-0.6
Cleveland,98-105-3,48.3%,51.7%,-0.1
Utah,92-106-3,46.5%,53.5%,0.0
Milwaukee,89-105-0,45.9%,54.1%,-1.2
Sacramento,90-110-2,45.0%,55.0%,-1.6
New York,84-103-1,44.9%,55.1%,-1.8
Chicago,82-102-2,44.6%,55.4%,-0.8
Detroit,88-110-4,44.4%,55.6%,-0.1
