Team,ATS Record,Cover %,MOV,ATS +/-
Okla City,501-435-14,53.5%,1.4,+0.5
Golden State,488-441-20,52.5%,2.4,+0.4
Denver,482-437-13,52.5%,1.9,+0.4
San Antonio,531-482-21,52.4%,3.3,+0.3
Boston,565-522-19,52.0%,2.4,+0.3
Indiana,510-473-29,51.9%,0.9,+0.6
Orlando,488-455-21,51.8%,-1.1,+0.2
Miami,542-508-22,51.6%,2.0,+0.2
Phoenix,464-435-14,51.6%,0.9,+0.4
New York,468-445-13,51.3%,-2.0,+0.1
Philadelphia,480-457-17,51.2%,-0.8,0.0
Dallas,498-474-21,51.2%,1.7,+0.2
Houston,482-474-13,50.4%,1.6,+0.6
Utah,453-448-18,50.3%,0.4,0.0
Charlotte,438-439-16,49.9%,-2.9,+0.2
Cleveland,483-488-20,49.7%,0.6,-0.1
Brooklyn,463-468-26,49.7%,-1.9,-0.2
Toronto,485-494-18,49.5%,0.5,+0.1
Milwaukee,458-467-19,49.5%,0.4,-0.3
Memphis,468-484-19,49.2%,-0.5,+0.1
New Orleans,433-453-14,48.9%,-1.1,0.0
LA Clippers,423-446-11,48.7%,0.5,0.0
Chicago,457-483-13,48.6%,-0.9,-0.3
Portland,424-450-18,48.5%,-1.8,-0.6
Sacramento,407-440-14,48.1%,-2.9,-0.8
Atlanta,470-520-11,47.5%,-1.5,-0.7
Detroit,447-496-27,47.4%,-1.2,-0.5
LA Lakers,433-489-22,47.0%,0.5,-0.6
Minnesota,426-488-12,46.6%,-1.7,-0.4
Washington,428-504-21,45.9%,-2.6,-0.5
